eighth_note,dur_weighted_midi_note,dur_weighted_relative_pitch_class,dur_weighted_velocity
0,67,0,105
1,69,2,80
2,67,0,80
3,72,5,80
4,67,0,105
5,69,2,80
6,67,0,80
7,72,5,80
8,67,0,105
9,72,5,80
10,67,0,80
11,72,5,80
12,72,5,105
13,71,4,80
14,71,4,80
15,67,0,105
16,67,0,105
17,66,11,80
18,67,0,80
19,74,7,80
20,67,0,105
21,66,11,80
22,67,0,80
23,74,7,80
24,67,0,105
25,74,7,80
26,67,0,80
27,74,7,80
28,74,7,105
29,72,5,80
30,72,5,80
31,71,4,105
32,71,4,105
33,74,7,80
34,72,5,80
35,69,2,80
36,67,0,105
37,66,11,80
38,66,11,80
39,67,0,80
40,69,2,105
41,67,0,80
42,67,0,80
43,69,2,80
44,71,4,105
45,76,9,80
46,74,7,80
47,71,4,105
48,71,4,105
49,74,7,80
50,72,5,80
51,69,2,80
52,67,0,105
53,66,11,80
54,66,11,80
55,67,0,80
56,69,2,105
57,71,4,80
58,71,4,80
59,69,2,80
60,67,0,105
61,67,0,80
62,67,0,80
63,74,7,105
64,74,7,105
65,72,5,80
66,74,7,80
67,76,9,105
68,76,9,105
69,74,7,80
70,71,4,80
71,79,0,80
72,78,11,105
73,69,2,80
74,72,5,80
75,76,9,80
76,74,7,105
77,67,0,80
78,71,4,80
79,74,7,105
80,74,7,105
81,72,5,80
82,74,7,80
83,76,9,105
84,76,9,105
85,74,7,80
86,71,4,80
87,79,0,80
88,78,11,105
89,76,9,80
90,72,5,80
91,69,2,80
92,67,0,105
93,67,0,80
94,67,0,80
