eighth_note,dur_weighted_midi_note,dur_weighted_relative_pitch_class,dur_weighted_velocity
0,71,2,105
1,72,3,105
2,71,2,80
3,69,0,80
4,74,5,95
5,72,3,80
6,71,2,80
7,69,0,105
8,64,7,80
9,66,9,80
10,67,10,95
11,69,0,80
12,71,2,80
13,72,3,105
14,71,2,80
15,69,0,80
16,74,5,95
17,71,2,80
18,71,2,80
19,69,0,105
20,71,2,80
21,69,0,80
22,69,0,95
23,71,2,80
24,71,2,80
25,72,3,105
26,71,2,80
27,69,0,80
28,74,5,95
29,72,3,80
30,71,2,80
31,69,0,105
32,64,7,80
33,66,9,80
34,67,10,95
35,69,0,80
36,71,2,80
37,72,3,105
38,76,7,80
39,76,7,80
40,74,5,95
41,71,2,80
42,67,10,80
43,69,0,105
44,71,2,80
45,69,0,80
46,69,0,95
47,71,2,80
48,71,2,80
49,72,3,105
50,71,2,80
51,69,0,80
52,74,5,95
53,72,3,80
54,71,2,80
55,69,0,105
56,64,7,80
57,66,9,80
58,67,10,95
59,69,0,80
60,71,2,80
61,72,3,105
62,71,2,80
63,69,0,80
64,74,5,95
65,71,2,80
66,71,2,80
67,69,0,105
68,71,2,80
69,69,0,80
70,69,0,95
71,71,2,80
72,71,2,80
73,72,3,105
74,71,2,80
75,69,0,80
76,74,5,95
77,72,3,80
78,71,2,80
79,69,0,105
80,64,7,80
81,66,9,80
82,67,10,95
83,69,0,80
84,71,2,80
85,72,3,105
86,76,7,80
87,76,7,80
88,74,5,95
89,71,2,80
90,67,10,80
91,69,0,105
92,71,2,80
93,69,0,80
94,69,0,95
95,78,9,80
96,78,9,80
97,79,10,105
98,81,0,95
99,81,0,95
100,81,0,95
101,79,10,80
102,78,9,80
103,79,10,105
104,76,7,80
105,76,7,80
106,76,7,95
107,74,5,80
108,71,2,80
109,81,0,105
110,76,7,80
111,76,7,80
112,81,0,95
113,76,7,80
114,76,7,80
115,81,0,105
116,76,7,80
117,76,7,80
118,76,7,95
119,74,5,80
120,71,2,80
121,79,10,105
122,81,0,95
123,81,0,95
124,81,0,95
125,79,10,80
126,78,9,80
127,79,10,105
128,76,7,80
129,76,7,80
130,76,7,95
131,74,5,80
132,71,2,80
133,72,3,105
134,76,7,80
135,76,7,80
136,74,5,95
137,71,2,80
138,67,10,80
139,69,0,105
140,71,2,80
141,69,0,80
142,69,0,95
143,78,9,80
144,78,9,80
145,79,10,105
146,81,0,95
147,81,0,95
148,81,0,95
149,79,10,80
150,78,9,80
151,79,10,105
152,76,7,80
153,76,7,80
154,76,7,95
155,74,5,80
156,71,2,80
157,81,0,105
158,76,7,80
159,76,7,80
160,81,0,95
161,76,7,80
162,76,7,80
163,81,0,105
164,76,7,80
165,76,7,80
166,76,7,95
167,74,5,80
168,71,2,80
169,79,10,105
170,81,0,95
171,81,0,95
172,81,0,95
173,79,10,80
174,78,9,80
175,79,10,105
176,76,7,80
177,76,7,80
178,76,7,95
179,74,5,80
180,71,2,80
181,72,3,105
182,76,7,80
183,76,7,80
184,74,5,95
185,71,2,80
186,67,10,80
187,69,0,105
188,71,2,80
189,69,0,80
190,69,0,95
