eighth_note,dur_weighted_midi_note,dur_weighted_relative_pitch_class,dur_weighted_velocity
0,69,7,105
1,74,0,80
2,74,0,80
3,72,10,80
4,69,7,95
5,67,5,80
6,67,5,80
7,64,2,80
8,64,2,105
9,62,0,80
10,69,7,80
11,71,9,80
12,72,10,95
13,69,7,80
14,69,7,80
15,67,5,80
16,69,7,105
17,74,0,80
18,74,0,80
19,72,10,80
20,69,7,95
21,67,5,80
22,67,5,80
23,64,2,80
24,64,2,105
25,62,0,80
26,67,5,80
27,64,2,80
28,64,2,95
29,62,0,80
30,62,0,80
31,69,7,105
32,69,7,105
33,74,0,80
34,74,0,80
35,72,10,80
36,69,7,95
37,67,5,80
38,67,5,80
39,64,2,80
40,64,2,105
41,62,0,80
42,69,7,80
43,71,9,80
44,72,10,95
45,69,7,80
46,69,7,80
47,67,5,80
48,69,7,105
49,74,0,80
50,74,0,80
51,72,10,80
52,69,7,95
53,67,5,80
54,67,5,80
55,64,2,80
56,64,2,105
57,62,0,80
58,67,5,80
59,64,2,80
60,64,2,95
61,62,0,80
62,62,0,80
63,78,4,105
64,78,4,105
65,69,7,80
66,69,7,80
67,74,0,80
68,76,2,95
69,78,4,80
70,78,4,80
71,76,2,80
72,74,0,105
73,72,10,80
74,69,7,80
75,71,9,80
76,72,10,95
77,71,9,80
78,72,10,80
79,74,0,80
80,76,2,105
81,79,5,80
82,78,4,80
83,79,5,80
84,76,2,95
85,74,0,80
86,72,10,80
87,74,0,80
88,76,2,105
89,81,7,80
90,81,7,80
91,79,5,80
92,76,2,95
93,74,0,80
94,72,10,80
95,74,0,80
96,76,2,105
97,79,5,80
98,78,4,80
99,74,0,80
100,76,2,95
101,78,4,80
102,78,4,80
103,76,2,80
104,74,0,105
105,72,10,80
106,69,7,80
107,71,9,80
108,72,10,95
109,69,7,80
110,69,7,80
111,67,5,80
112,69,7,105
113,74,0,80
114,74,0,80
115,72,10,80
116,69,7,95
117,67,5,80
118,67,5,80
119,64,2,80
120,64,2,105
121,62,0,80
122,67,5,80
123,64,2,80
124,64,2,95
125,62,0,80
126,62,0,80
