,midi_note,onset,duration,velocity,pitch_class,interval,root,relative_pitch,relative_pitch_class,parsons_code,parsons_cumsum
0,69,0,1,105,9,0,2,7,7,0,0
1,66,1,1,80,6,-3,2,4,4,-1,-1
2,71,2,1,80,11,5,2,9,9,1,0
3,69,3,1,95,9,-2,2,7,7,-1,-1
4,66,4,1,80,6,-3,2,4,4,-1,-2
5,69,5,1,80,9,3,2,7,7,1,-1
6,71,6,1,105,11,2,2,9,9,1,0
7,69,7,1,80,9,-2,2,7,7,-1,-1
8,66,8,1,80,6,-3,2,4,4,-1,-2
9,69,9,3,95,9,3,2,7,7,1,-1
10,69,12,1,105,9,0,2,7,7,0,-1
11,74,13,1,80,2,5,2,12,0,1,0
12,71,14,1,80,11,-3,2,9,9,-1,-1
13,69,15,1,95,9,-2,2,7,7,-1,-2
14,66,16,1,80,6,-3,2,4,4,-1,-3
15,69,17,1,80,9,3,2,7,7,1,-2
16,74,18,3,105,2,5,2,12,0,1,-1
17,74,21,2,95,2,0,2,12,0,0,-1
18,76,23,1,80,4,2,2,14,2,1,0
19,78,24,1,105,6,2,2,16,4,1,1
20,78,25,0,80,6,0,2,16,4,0,1
21,76,25,0,80,4,-2,2,14,2,-1,0
22,78,26,1,80,6,2,2,16,4,1,1
23,79,27,2,95,7,1,2,17,5,1,2
24,78,29,1,80,6,-1,2,16,4,-1,1
25,76,30,1,105,4,-2,2,14,2,-1,0
26,78,31,1,80,6,2,2,16,4,1,1
27,76,32,1,80,4,-2,2,14,2,-1,0
28,74,33,2,95,2,-2,2,12,0,-1,-1
29,71,35,1,80,11,-3,2,9,9,-1,-2
30,69,36,1,105,9,-2,2,7,7,-1,-3
31,66,37,0,80,6,-3,2,4,4,-1,-4
32,66,37,0,80,6,0,2,4,4,0,-4
33,66,38,1,80,6,0,2,4,4,0,-4
34,62,39,1,95,2,-4,2,0,0,-1,-5
35,64,40,1,80,4,2,2,2,2,1,-4
36,62,41,1,80,2,-2,2,0,0,-1,-5
37,64,42,1,105,4,2,2,2,2,1,-4
38,64,43,0,80,4,0,2,2,2,0,-4
39,62,43,0,80,2,-2,2,0,0,-1,-5
40,64,44,1,80,4,2,2,2,2,1,-4
41,64,45,1,95,4,0,2,2,2,0,-4
42,66,46,1,80,6,2,2,4,4,1,-3
43,67,47,1,80,7,1,2,5,5,1,-2
44,69,48,2,105,9,2,2,7,7,1,-1
45,71,50,1,80,11,2,2,9,9,1,0
46,69,51,1,95,9,-2,2,7,7,-1,-1
47,66,52,1,80,6,-3,2,4,4,-1,-2
48,69,53,1,80,9,3,2,7,7,1,-1
49,71,54,1,105,11,2,2,9,9,1,0
50,69,55,1,80,9,-2,2,7,7,-1,-1
51,66,56,1,80,6,-3,2,4,4,-1,-2
52,69,57,3,95,9,3,2,7,7,1,-1
53,69,60,1,105,9,0,2,7,7,0,-1
54,74,61,1,80,2,5,2,12,0,1,0
55,71,62,1,80,11,-3,2,9,9,-1,-1
56,69,63,1,95,9,-2,2,7,7,-1,-2
57,66,64,1,80,6,-3,2,4,4,-1,-3
58,69,65,1,80,9,3,2,7,7,1,-2
59,74,66,3,105,2,5,2,12,0,1,-1
60,74,69,2,95,2,0,2,12,0,0,-1
61,76,71,1,80,4,2,2,14,2,1,0
62,78,72,1,105,6,2,2,16,4,1,1
63,78,73,0,80,6,0,2,16,4,0,1
64,76,73,0,80,4,-2,2,14,2,-1,0
65,78,74,1,80,6,2,2,16,4,1,1
66,79,75,2,95,7,1,2,17,5,1,2
67,78,77,1,80,6,-1,2,16,4,-1,1
68,76,78,1,105,4,-2,2,14,2,-1,0
69,78,79,1,80,6,2,2,16,4,1,1
70,76,80,1,80,4,-2,2,14,2,-1,0
71,74,81,2,95,2,-2,2,12,0,-1,-1
72,71,83,1,80,11,-3,2,9,9,-1,-2
73,76,84,1,105,4,5,2,14,2,1,-1
74,81,85,0,80,9,5,2,19,7,1,0
75,81,85,0,80,9,0,2,19,7,0,0
76,81,86,1,80,9,0,2,19,7,0,0
77,78,87,2,95,6,-3,2,16,4,-1,-1
78,76,89,1,80,4,-2,2,14,2,-1,-2
79,74,90,3,105,2,-2,2,12,0,-1,-3
80,74,93,2,95,2,0,2,12,0,0,-3
81,76,95,1,80,4,2,2,14,2,1,-2
82,78,96,2,105,6,2,2,16,4,1,-1
83,76,98,1,80,4,-2,2,14,2,-1,-2
84,78,99,2,95,6,2,2,16,4,1,-1
85,76,101,1,80,4,-2,2,14,2,-1,-2
86,78,102,2,105,6,2,2,16,4,1,-1
87,76,104,1,80,4,-2,2,14,2,-1,-2
88,78,105,1,95,6,2,2,16,4,1,-1
89,79,106,1,80,7,1,2,17,5,1,0
90,81,107,1,80,9,2,2,19,7,1,1
91,69,108,1,105,9,-12,2,7,7,-1,0
92,69,109,0,80,9,0,2,7,7,0,0
93,69,109,0,80,9,0,2,7,7,0,0
94,69,110,1,80,9,0,2,7,7,0,0
95,71,111,1,95,11,2,2,9,9,1,1
96,69,112,1,80,9,-2,2,7,7,-1,0
97,66,113,1,80,6,-3,2,4,4,-1,-1
98,69,114,3,105,9,3,2,7,7,1,0
99,69,117,1,95,9,0,2,7,7,0,0
100,71,118,0,80,11,2,2,9,9,1,1
101,73,118,0,80,1,2,2,11,11,1,2
102,74,119,1,80,2,1,2,12,0,1,3
103,76,120,2,105,4,2,2,14,2,1,4
104,78,122,1,80,6,2,2,16,4,1,5
105,76,123,2,95,4,-2,2,14,2,-1,4
106,78,125,1,80,6,2,2,16,4,1,5
107,76,126,2,105,4,-2,2,14,2,-1,4
108,78,128,1,80,6,2,2,16,4,1,5
109,76,129,1,95,4,-2,2,14,2,-1,4
