,midi_note,onset,duration,velocity,pitch_class,interval,root,relative_pitch,relative_pitch_class,parsons_code,parsons_cumsum
0,69,0,1,105,9,0,2,7,7,0,0
1,74,1,1,105,2,5,2,12,0,1,1
2,69,2,0,80,9,-5,2,7,7,-1,0
3,74,2,0,80,2,5,2,12,0,1,1
4,78,3,1,80,6,4,2,16,4,1,2
5,76,4,1,80,4,-2,2,14,2,-1,1
6,74,5,1,105,2,-2,2,12,0,-1,0
7,71,6,1,80,11,-3,2,9,9,-1,-1
8,71,7,1,80,11,0,2,9,9,0,-1
9,73,8,0,80,1,2,2,11,11,1,0
10,71,8,0,80,11,-2,2,9,9,-1,-1
11,69,9,1,105,9,-2,2,7,7,-1,-2
12,74,10,1,80,2,5,2,12,0,1,-1
13,78,11,1,80,6,4,2,16,4,1,0
14,76,12,1,80,4,-2,2,14,2,-1,-1
15,74,13,1,105,2,-2,2,12,0,-1,-2
16,78,14,1,80,6,4,2,16,4,1,-1
17,81,15,1,80,9,3,2,19,7,1,0
18,78,16,1,80,6,-3,2,16,4,-1,-1
19,74,17,1,105,2,-4,2,12,0,-1,-2
20,69,18,0,80,9,-5,2,7,7,-1,-3
21,74,18,0,80,2,5,2,12,0,1,-2
22,78,19,1,80,6,4,2,16,4,1,-1
23,76,20,1,80,4,-2,2,14,2,-1,-2
24,74,21,1,105,2,-2,2,12,0,-1,-3
25,71,22,1,80,11,-3,2,9,9,-1,-4
26,71,23,1,80,11,0,2,9,9,0,-4
27,73,24,0,80,1,2,2,11,11,1,-3
28,71,24,0,80,11,-2,2,9,9,-1,-4
29,69,25,1,105,9,-2,2,7,7,-1,-5
30,74,26,1,80,2,5,2,12,0,1,-4
31,78,27,1,80,6,4,2,16,4,1,-3
32,76,28,1,80,4,-2,2,14,2,-1,-4
33,74,29,1,105,2,-2,2,12,0,-1,-5
34,78,30,1,80,6,4,2,16,4,1,-4
35,81,31,1,80,9,3,2,19,7,1,-3
36,69,32,1,80,9,-12,2,7,7,-1,-4
37,74,33,1,105,2,5,2,12,0,1,-3
38,69,34,0,80,9,-5,2,7,7,-1,-4
39,74,34,0,80,2,5,2,12,0,1,-3
40,78,35,1,80,6,4,2,16,4,1,-2
41,76,36,1,80,4,-2,2,14,2,-1,-3
42,74,37,1,105,2,-2,2,12,0,-1,-4
43,71,38,1,80,11,-3,2,9,9,-1,-5
44,71,39,1,80,11,0,2,9,9,0,-5
45,73,40,0,80,1,2,2,11,11,1,-4
46,71,40,0,80,11,-2,2,9,9,-1,-5
47,69,41,1,105,9,-2,2,7,7,-1,-6
48,74,42,1,80,2,5,2,12,0,1,-5
49,78,43,1,80,6,4,2,16,4,1,-4
50,76,44,1,80,4,-2,2,14,2,-1,-5
51,74,45,1,105,2,-2,2,12,0,-1,-6
52,78,46,1,80,6,4,2,16,4,1,-5
53,81,47,1,80,9,3,2,19,7,1,-4
54,78,48,1,80,6,-3,2,16,4,-1,-5
55,74,49,1,105,2,-4,2,12,0,-1,-6
56,69,50,0,80,9,-5,2,7,7,-1,-7
57,74,50,0,80,2,5,2,12,0,1,-6
58,78,51,1,80,6,4,2,16,4,1,-5
59,76,52,1,80,4,-2,2,14,2,-1,-6
60,74,53,1,105,2,-2,2,12,0,-1,-7
61,71,54,1,80,11,-3,2,9,9,-1,-8
62,71,55,1,80,11,0,2,9,9,0,-8
63,73,56,0,80,1,2,2,11,11,1,-7
64,71,56,0,80,11,-2,2,9,9,-1,-8
65,69,57,1,105,9,-2,2,7,7,-1,-9
66,74,58,1,80,2,5,2,12,0,1,-8
67,78,59,1,80,6,4,2,16,4,1,-7
68,76,60,1,80,4,-2,2,14,2,-1,-8
69,74,61,1,105,2,-2,2,12,0,-1,-9
70,78,62,1,80,6,4,2,16,4,1,-8
71,81,63,1,80,9,3,2,19,7,1,-7
72,76,64,1,80,4,-5,2,14,2,-1,-8
73,78,65,1,105,6,2,2,16,4,1,-7
74,81,66,1,80,9,3,2,19,7,1,-6
75,86,67,2,80,2,5,2,24,0,1,-5
76,85,69,1,105,1,-1,2,23,11,-1,-6
77,83,70,1,80,11,-2,2,21,9,-1,-7
78,81,71,2,80,9,-2,2,19,7,-1,-8
79,79,73,1,105,7,-2,2,17,5,-1,-9
80,79,74,0,80,7,0,2,17,5,0,-9
81,78,74,0,80,6,-1,2,16,4,-1,-10
82,79,75,1,80,7,1,2,17,5,1,-9
83,83,76,1,80,11,4,2,21,9,1,-8
84,83,77,1,105,11,0,2,21,9,0,-8
85,81,78,1,80,9,-2,2,19,7,-1,-9
86,81,79,2,80,9,0,2,19,7,0,-9
87,78,81,1,105,6,-3,2,16,4,-1,-10
88,81,82,1,80,9,3,2,19,7,1,-9
89,86,83,2,80,2,5,2,24,0,1,-8
90,85,85,1,105,1,-1,2,23,11,-1,-9
91,83,86,1,80,11,-2,2,21,9,-1,-10
92,81,87,2,80,9,-2,2,19,7,-1,-11
93,79,89,1,105,7,-2,2,17,5,-1,-12
94,79,90,0,80,7,0,2,17,5,0,-12
95,78,90,0,80,6,-1,2,16,4,-1,-13
96,79,91,1,80,7,1,2,17,5,1,-12
97,83,92,1,80,11,4,2,21,9,1,-11
98,81,93,1,105,9,-2,2,19,7,-1,-12
99,79,94,1,80,7,-2,2,17,5,-1,-13
100,79,95,1,80,7,0,2,17,5,0,-13
101,76,96,1,80,4,-3,2,14,2,-1,-14
