,midi_note,onset,duration,velocity,pitch_class,interval,root,relative_pitch,relative_pitch_class,parsons_code,parsons_cumsum
0,74,0,1,105,2,0,4,10,10,0,0
1,73,1,1,80,1,-1,4,9,9,-1,-1
2,71,2,1,105,11,-2,4,7,7,-1,-2
3,64,3,1,80,4,-7,4,0,0,-1,-3
4,64,4,2,80,4,0,4,0,0,0,-3
5,67,6,1,95,7,3,4,3,3,1,-2
6,71,7,1,80,11,4,4,7,7,1,-1
7,69,8,1,80,9,-2,4,5,5,-1,-2
8,67,9,1,80,7,-2,4,3,3,-1,-3
9,66,10,0,105,6,-1,4,2,2,-1,-4
10,64,10,0,80,4,-2,4,0,0,-1,-5
11,62,11,0,80,2,-2,4,-2,10,-1,-6
12,69,12,1,80,9,7,4,5,5,1,-5
13,62,13,1,80,2,-7,4,-2,10,-1,-6
14,71,14,2,95,11,9,4,7,7,1,-5
15,69,16,1,80,9,-2,4,5,5,-1,-6
16,66,17,1,80,6,-3,4,2,2,-1,-7
17,67,18,1,105,7,1,4,3,3,1,-6
18,66,19,1,80,6,-1,4,2,2,-1,-7
19,64,20,1,80,4,-2,4,0,0,-1,-8
20,66,21,1,80,6,2,4,2,2,1,-7
21,67,22,1,95,7,1,4,3,3,1,-6
22,69,23,1,80,9,2,4,5,5,1,-5
23,71,24,1,80,11,2,4,7,7,1,-4
24,73,25,1,80,1,2,4,9,9,1,-3
25,74,26,1,105,2,1,4,10,10,1,-2
26,73,27,1,80,1,-1,4,9,9,-1,-3
27,74,28,1,80,2,1,4,10,10,1,-2
28,78,29,1,80,6,4,4,14,2,1,-1
29,76,30,1,95,4,-2,4,12,0,-1,-2
30,73,31,1,80,1,-3,4,9,9,-1,-3
31,74,32,1,80,2,1,4,10,10,1,-2
32,73,33,1,80,1,-1,4,9,9,-1,-3
33,71,34,1,105,11,-2,4,7,7,-1,-4
34,64,35,1,80,4,-7,4,0,0,-1,-5
35,64,36,2,80,4,0,4,0,0,0,-5
36,67,38,1,95,7,3,4,3,3,1,-4
37,71,39,1,80,11,4,4,7,7,1,-3
38,69,40,1,80,9,-2,4,5,5,-1,-4
39,67,41,1,80,7,-2,4,3,3,-1,-5
40,66,42,0,105,6,-1,4,2,2,-1,-6
41,64,42,0,80,4,-2,4,0,0,-1,-7
42,62,43,0,80,2,-2,4,-2,10,-1,-8
43,69,44,1,80,9,7,4,5,5,1,-7
44,62,45,1,80,2,-7,4,-2,10,-1,-8
45,71,46,1,95,11,9,4,7,7,1,-7
46,62,47,1,80,2,-9,4,-2,10,-1,-8
47,69,48,1,80,9,7,4,5,5,1,-7
48,66,49,1,80,6,-3,4,2,2,-1,-8
49,67,50,1,105,7,1,4,3,3,1,-7
50,66,51,1,80,6,-1,4,2,2,-1,-8
51,64,52,1,80,4,-2,4,0,0,-1,-9
52,66,53,1,80,6,2,4,2,2,1,-8
53,67,54,1,95,7,1,4,3,3,1,-7
54,69,55,1,80,9,2,4,5,5,1,-6
55,71,56,1,80,11,2,4,7,7,1,-5
56,72,57,1,80,0,1,4,8,8,1,-4
57,74,58,3,105,2,2,4,10,10,1,-3
58,74,61,1,80,2,0,4,10,10,0,-3
59,76,62,2,95,4,2,4,12,0,1,-2
60,74,64,1,80,2,-2,4,10,10,-1,-3
61,73,65,1,80,1,-1,4,9,9,-1,-4
62,71,66,1,105,11,-2,4,7,7,-1,-5
63,64,67,1,80,4,-7,4,0,0,-1,-6
64,64,68,2,80,4,0,4,0,0,0,-6
65,67,70,1,95,7,3,4,3,3,1,-5
66,71,71,1,80,11,4,4,7,7,1,-4
67,69,72,1,80,9,-2,4,5,5,-1,-5
68,67,73,1,80,7,-2,4,3,3,-1,-6
69,66,74,0,105,6,-1,4,2,2,-1,-7
70,64,74,0,80,4,-2,4,0,0,-1,-8
71,62,75,0,80,2,-2,4,-2,10,-1,-9
72,69,76,1,80,9,7,4,5,5,1,-8
73,62,77,1,80,2,-7,4,-2,10,-1,-9
74,71,78,2,95,11,9,4,7,7,1,-8
75,69,80,1,80,9,-2,4,5,5,-1,-9
76,66,81,1,80,6,-3,4,2,2,-1,-10
77,67,82,1,105,7,1,4,3,3,1,-9
78,66,83,1,80,6,-1,4,2,2,-1,-10
79,64,84,1,80,4,-2,4,0,0,-1,-11
80,66,85,1,80,6,2,4,2,2,1,-10
81,67,86,1,95,7,1,4,3,3,1,-9
82,69,87,1,80,9,2,4,5,5,1,-8
83,71,88,1,80,11,2,4,7,7,1,-7
84,73,89,1,80,1,2,4,9,9,1,-6
85,74,90,1,105,2,1,4,10,10,1,-5
86,73,91,1,80,1,-1,4,9,9,-1,-6
