,midi_note,onset,duration,velocity,pitch_class,interval,root,relative_pitch,relative_pitch_class,parsons_code,parsons_cumsum
0,62,0,1,105,2,0,7,-5,7,0,0
1,67,1,3,105,7,5,7,0,0,1,1
3,69,5,3,95,9,-2,7,2,2,1,2
5,67,9,1,105,7,1,7,0,0,-1,1
9,66,13,1,95,6,-1,7,-1,11,-1,0
12,62,17,1,105,2,0,7,-5,7,-1,-1
16,67,21,1,95,7,1,7,0,0,1,0
20,74,25,1,105,2,2,7,7,7,1,1
24,78,29,1,95,6,2,7,11,11,1,2
28,67,33,3,105,7,-2,7,0,0,-1,1
30,69,37,3,95,9,-2,7,2,2,1,2
32,67,41,1,105,7,1,7,0,0,-1,1
36,66,45,1,95,6,-1,7,-1,11,-1,0
39,62,49,1,105,2,0,7,-5,7,-1,-1
43,67,53,1,95,7,1,7,0,0,1,0
47,74,57,0,105,2,2,7,7,7,1,1
53,71,61,1,95,11,2,7,4,4,-1,0
57,71,65,0,105,11,2,7,4,4,0,0
62,62,69,1,95,2,-9,7,-5,7,-1,-1
66,69,73,1,105,9,-2,7,2,2,1,0
70,69,77,1,95,9,2,7,2,2,0,0
74,71,81,0,105,11,2,7,4,4,1,1
79,62,85,1,95,2,-9,7,-5,7,-1,0
83,72,89,1,105,0,1,7,5,5,1,1
87,69,93,1,95,9,2,7,2,2,-1,0
90,71,97,0,105,11,4,7,4,4,1,1
95,67,101,1,95,7,-4,7,0,0,-1,0
99,69,105,1,105,9,-2,7,2,2,1,1
103,69,109,1,95,9,2,7,2,2,0,1
107,71,113,3,105,11,2,7,4,4,1,2
109,74,117,1,95,2,2,7,7,7,1,3
113,78,121,1,105,6,2,7,11,11,1,4
117,71,125,1,95,11,2,7,4,4,-1,3
121,79,129,2,105,7,5,7,12,0,1,4
124,79,133,1,95,7,1,7,12,0,0,4
128,72,137,1,105,0,-2,7,5,5,-1,3
132,72,141,1,95,0,1,7,5,5,0,3
136,79,145,2,105,7,1,7,12,0,1,4
139,79,149,1,95,7,1,7,12,0,0,4
143,72,153,1,105,0,-2,7,5,5,-1,3
147,71,157,1,95,11,-1,7,4,4,-1,2
151,79,161,2,105,7,5,7,12,0,1,3
154,79,165,1,95,7,1,7,12,0,0,3
158,72,169,1,105,0,-2,7,5,5,-1,2
162,72,173,1,95,0,1,7,5,5,0,2
166,79,177,1,105,7,1,7,12,0,1,3
171,79,181,1,95,7,1,7,12,0,0,3
175,72,185,1,105,0,1,7,5,5,-1,2
179,71,189,1,95,11,-1,7,4,4,-1,1
183,67,193,16,105,7,1,7,0,0,-1,0
