,midi_note,onset,duration,velocity,pitch_class,interval,root,relative_pitch,relative_pitch_class,parsons_code,parsons_cumsum
0,67,0,1,105,7,0,7,0,0,0,0
2,62,2,2,105,2,-2,7,-5,7,-1,-1
5,67,6,1,95,7,3,7,0,0,1,0
9,72,10,1,105,0,5,7,5,5,1,1
13,69,14,1,95,9,2,7,2,2,-1,0
17,62,18,0,105,2,-5,7,-5,7,-1,-1
22,67,22,1,95,7,3,7,0,0,1,0
26,69,26,1,105,9,2,7,2,2,1,1
30,67,30,2,95,7,1,7,0,0,-1,0
33,62,34,2,105,2,-2,7,-5,7,-1,-1
36,67,38,1,95,7,3,7,0,0,1,0
40,72,42,1,105,0,5,7,5,5,1,1
44,69,46,1,95,9,2,7,2,2,-1,0
48,62,50,0,105,2,-5,7,-5,7,-1,-1
53,67,54,1,95,7,3,7,0,0,1,0
57,69,58,1,105,9,2,7,2,2,1,1
61,67,62,2,95,7,1,7,0,0,-1,0
63,71,66,1,105,11,2,7,4,4,1,1
66,76,70,1,95,4,2,7,9,9,1,2
70,74,74,2,105,2,2,7,7,7,-1,1
73,69,78,1,95,9,2,7,2,2,-1,0
77,71,82,1,105,11,9,7,4,4,1,1
80,76,86,1,95,4,2,7,9,9,1,2
84,74,90,1,105,2,2,7,7,7,-1,1
88,71,94,1,95,11,-1,7,4,4,-1,0
92,71,98,1,105,11,2,7,4,4,0,0
95,76,102,1,95,4,2,7,9,9,1,1
99,74,106,2,105,2,2,7,7,7,-1,0
102,69,110,1,95,9,2,7,2,2,-1,-1
106,79,114,1,105,7,17,7,12,0,1,0
110,76,118,1,95,4,2,7,9,9,-1,-1
114,74,122,1,105,2,-2,7,7,7,-1,-2
118,67,126,3,95,7,-4,7,0,0,-1,-3
