,midi_note,onset,duration,velocity,pitch_class,interval,root,relative_pitch,relative_pitch_class,parsons_code,parsons_cumsum
0,73,0,1,105,1,0,2,11,11,0,0
1,74,1,2,105,2,1,2,12,0,1,1
4,74,5,1,95,2,1,2,12,0,0,1
8,71,9,1,105,11,9,2,9,9,-1,0
12,73,13,1,95,1,-1,2,11,11,1,1
16,74,17,2,105,2,1,2,12,0,1,2
19,74,21,1,95,2,1,2,12,0,0,2
23,67,25,1,105,7,1,2,5,5,-1,1
27,62,29,2,95,2,-4,2,0,0,-1,0
30,74,33,2,105,2,1,2,12,0,1,1
33,74,37,1,95,2,1,2,12,0,0,1
37,71,41,1,105,11,9,2,9,9,-1,0
41,73,45,1,95,1,-1,2,11,11,1,1
45,74,49,2,105,2,1,2,12,0,1,2
48,74,53,1,95,2,1,2,12,0,0,2
52,67,57,1,105,7,1,2,5,5,-1,1
56,62,61,2,95,2,-4,2,0,0,-1,0
59,78,65,1,105,6,-1,2,16,4,1,1
63,78,69,1,95,6,4,2,16,4,0,1
67,79,73,1,105,7,1,2,17,5,1,2
71,79,77,1,95,7,3,2,17,5,0,2
75,78,81,1,105,6,-1,2,16,4,-1,1
79,78,85,1,95,6,4,2,16,4,0,1
83,78,89,1,105,6,-1,2,16,4,0,1
87,74,93,2,95,2,1,2,12,0,-1,0
90,78,97,1,105,6,-1,2,16,4,1,1
94,78,101,1,95,6,4,2,16,4,0,1
98,79,105,1,105,7,1,2,17,5,1,2
102,79,109,1,95,7,3,2,17,5,0,2
106,78,113,1,105,6,-1,2,16,4,-1,1
110,74,117,1,95,2,1,2,12,0,-1,0
114,67,121,1,105,7,1,2,5,5,-1,-1
118,62,125,4,95,2,-4,2,0,0,-1,-2
