,midi_note,onset,duration,velocity,pitch_class,interval,root,relative_pitch,relative_pitch_class,parsons_code,parsons_cumsum
0,64,0,1,105,4,0,9,-5,7,0,0
4,72,4,1,95,0,1,9,3,3,1,1
8,64,8,1,105,4,-3,9,-5,7,-1,0
12,64,12,1,95,4,-3,9,-5,7,0,0
16,64,16,1,105,4,4,9,-5,7,0,0
20,72,20,1,95,0,1,9,3,3,1,1
24,74,24,2,105,2,2,9,5,5,1,2
27,74,28,1,95,2,-2,9,5,5,0,2
31,64,32,1,105,4,-3,9,-5,7,-1,1
35,72,36,1,95,0,1,9,3,3,1,2
39,64,40,1,105,4,-3,9,-5,7,-1,1
43,64,44,1,95,4,-3,9,-5,7,0,1
47,64,48,1,105,4,4,9,-5,7,0,1
51,72,52,1,95,0,1,9,3,3,1,2
55,74,56,2,105,2,2,9,5,5,1,3
58,74,60,1,95,2,-2,9,5,5,0,3
62,79,64,1,105,7,-2,9,10,10,1,4
66,69,68,1,95,9,-7,9,0,0,-1,3
70,79,72,1,105,7,3,9,10,10,1,4
74,81,76,1,95,9,2,9,12,0,1,5
78,76,80,1,105,4,-5,9,7,7,-1,4
81,69,84,1,95,9,-3,9,0,0,-1,3
85,67,88,1,105,7,3,9,-2,10,-1,2
89,76,92,1,95,4,2,9,7,7,1,3
92,79,96,1,105,7,5,9,10,10,1,4
95,69,100,1,95,9,-3,9,0,0,-1,3
99,79,104,1,105,7,7,9,10,10,1,4
103,81,108,1,95,9,2,9,12,0,1,5
107,72,112,2,105,0,-2,9,3,3,-1,4
110,79,116,1,95,7,7,9,10,10,1,5
114,76,120,1,105,4,4,9,7,7,-1,4
118,74,124,1,95,2,-2,9,5,5,-1,3
