,midi_note,onset,duration,velocity,pitch_class,interval,root,relative_pitch,relative_pitch_class,parsons_code,parsons_cumsum
0,74,0,1,105,2,0,2,12,0,0,0
2,69,2,1,105,9,-2,2,7,7,-1,-1
6,64,6,0,95,4,2,2,2,2,-1,-2
11,72,10,1,105,0,1,2,10,10,1,-1
15,60,14,1,95,0,-4,2,-2,10,-1,-2
19,69,18,1,105,9,-2,2,7,7,1,-1
23,64,22,0,95,4,2,2,2,2,-1,-2
28,72,26,3,105,0,1,2,10,10,1,-1
30,74,30,1,95,2,1,2,12,0,1,0
34,69,34,1,105,9,2,2,7,7,-1,-1
38,64,38,0,95,4,2,2,2,2,-1,-2
43,72,42,1,105,0,1,2,10,10,1,-1
47,60,46,1,95,0,-4,2,-2,10,-1,-2
51,69,50,1,105,9,-2,2,7,7,1,-1
55,64,54,0,95,4,2,2,2,2,-1,-2
60,72,58,1,105,0,1,2,10,10,1,-1
64,64,62,1,95,4,0,2,2,2,-1,-2
67,69,66,1,105,9,7,2,7,7,1,-1
71,64,70,0,95,4,2,2,2,2,-1,-2
76,72,74,1,105,0,1,2,10,10,1,-1
80,60,78,1,95,0,-4,2,-2,10,-1,-2
84,69,82,1,105,9,-2,2,7,7,1,-1
88,64,86,0,95,4,2,2,2,2,-1,-2
93,72,90,3,105,0,1,2,10,10,1,-1
95,74,94,1,95,2,1,2,12,0,1,0
99,69,98,1,105,9,2,2,7,7,-1,-1
103,64,102,0,95,4,2,2,2,2,-1,-2
108,72,106,1,105,0,1,2,10,10,1,-1
112,60,110,1,95,0,-4,2,-2,10,-1,-2
116,69,114,1,105,9,-2,2,7,7,1,-1
120,64,118,0,95,4,2,2,2,2,-1,-2
125,72,122,1,105,0,1,2,10,10,1,-1
129,64,126,1,95,4,0,2,2,2,-1,-2
132,69,130,1,105,9,7,2,7,7,1,-1
136,69,134,1,95,9,-5,2,7,7,0,-1
140,76,138,1,105,4,2,2,14,2,1,0
144,76,142,1,95,4,2,2,14,2,0,0
148,69,146,1,105,9,-10,2,7,7,-1,-1
153,69,150,1,95,9,-5,2,7,7,0,-1
157,76,154,1,105,4,2,2,14,2,1,0
161,76,158,1,95,4,2,2,14,2,0,0
165,69,162,1,105,9,-2,2,7,7,-1,-1
170,69,166,1,95,9,-5,2,7,7,0,-1
174,76,170,1,105,4,2,2,14,2,1,0
178,76,174,1,95,4,2,2,14,2,0,0
182,78,178,1,105,6,2,2,16,4,1,1
186,76,182,1,95,4,-3,2,14,2,-1,0
190,78,186,0,105,6,2,2,16,4,1,1
195,74,190,1,95,2,-2,2,12,0,-1,0
199,69,194,1,105,9,-2,2,7,7,-1,-1
203,69,198,1,95,9,-5,2,7,7,0,-1
207,76,202,1,105,4,2,2,14,2,1,0
211,76,206,1,95,4,2,2,14,2,0,0
215,69,210,1,105,9,-10,2,7,7,-1,-1
220,69,214,1,95,9,-5,2,7,7,0,-1
224,76,218,1,105,4,2,2,14,2,1,0
228,76,222,1,95,4,2,2,14,2,0,0
232,69,226,1,105,9,-2,2,7,7,-1,-1
237,69,230,1,95,9,-5,2,7,7,0,-1
241,76,234,1,105,4,2,2,14,2,1,0
245,76,238,1,95,4,2,2,14,2,0,0
249,78,242,1,105,6,2,2,16,4,1,1
253,76,246,1,95,4,-3,2,14,2,-1,0
257,78,250,0,105,6,2,2,16,4,1,1
262,74,254,2,95,2,-2,2,12,0,-1,0
