,midi_note,onset,duration,velocity,pitch_class,interval,root,relative_pitch,relative_pitch_class,parsons_code,parsons_cumsum
0,62,0,2,105,2,0,2,0,0,0,0
3,62,4,2,95,2,-7,2,0,0,0,0
6,74,8,1,105,2,5,2,12,0,1,1
10,73,12,1,95,1,-1,2,11,11,-1,0
14,74,16,2,105,2,1,2,12,0,1,1
17,71,20,0,95,11,2,2,9,9,-1,0
22,67,24,1,105,7,1,2,5,5,-1,-1
26,67,28,1,95,7,1,2,5,5,0,-1
30,62,32,2,105,2,-4,2,0,0,-1,-2
33,62,36,2,95,2,-7,2,0,0,0,-2
36,74,40,1,105,2,5,2,12,0,1,-1
40,73,44,1,95,1,-1,2,11,11,-1,-2
44,74,48,2,105,2,1,2,12,0,1,-1
47,71,52,0,95,11,2,2,9,9,-1,-2
52,67,56,1,105,7,1,2,5,5,-1,-3
56,66,60,1,95,6,-1,2,4,4,-1,-4
59,62,64,2,105,2,0,2,0,0,-1,-5
62,62,68,2,95,2,-7,2,0,0,0,-5
65,74,72,1,105,2,5,2,12,0,1,-4
69,73,76,1,95,1,-1,2,11,11,-1,-5
73,74,80,2,105,2,1,2,12,0,1,-4
76,71,84,0,95,11,2,2,9,9,-1,-5
81,67,88,1,105,7,1,2,5,5,-1,-6
85,67,92,1,95,7,1,2,5,5,0,-6
89,62,96,2,105,2,-4,2,0,0,-1,-7
92,62,100,2,95,2,-7,2,0,0,0,-7
95,74,104,1,105,2,5,2,12,0,1,-6
99,73,108,1,95,1,-1,2,11,11,-1,-7
103,74,112,2,105,2,1,2,12,0,1,-6
106,71,116,0,95,11,2,2,9,9,-1,-7
111,67,120,1,105,7,1,2,5,5,-1,-8
115,66,124,1,95,6,-1,2,4,4,-1,-9
118,81,128,2,105,9,19,2,19,7,1,-8
121,78,132,1,95,6,4,2,16,4,-1,-9
125,79,136,1,105,7,1,2,17,5,1,-8
129,73,140,1,95,1,-1,2,11,11,-1,-9
133,81,144,2,105,9,3,2,19,7,1,-8
136,78,148,1,95,6,4,2,16,4,-1,-9
140,83,152,1,105,11,5,2,21,9,1,-8
144,78,156,1,95,6,-1,2,16,4,-1,-9
148,81,160,2,105,9,3,2,19,7,1,-8
151,78,164,1,95,6,4,2,16,4,-1,-9
155,79,168,1,105,7,1,2,17,5,1,-8
159,73,172,1,95,1,-1,2,11,11,-1,-9
163,81,176,1,105,9,3,2,19,7,1,-8
167,78,180,1,95,6,2,2,16,4,-1,-9
171,73,184,1,105,1,-1,2,11,11,-1,-10
175,66,188,1,95,6,2,2,4,4,-1,-11
178,81,192,2,105,9,19,2,19,7,1,-10
181,78,196,1,95,6,4,2,16,4,-1,-11
185,79,200,1,105,7,1,2,17,5,1,-10
189,73,204,1,95,1,-1,2,11,11,-1,-11
193,81,208,2,105,9,3,2,19,7,1,-10
196,78,212,1,95,6,4,2,16,4,-1,-11
200,83,216,1,105,11,5,2,21,9,1,-10
204,78,220,1,95,6,-1,2,16,4,-1,-11
208,81,224,2,105,9,3,2,19,7,1,-10
211,78,228,1,95,6,4,2,16,4,-1,-11
215,79,232,1,105,7,1,2,17,5,1,-10
219,73,236,1,95,1,-1,2,11,11,-1,-11
223,81,240,1,105,9,3,2,19,7,1,-10
227,78,244,1,95,6,2,2,16,4,-1,-11
231,73,248,1,105,1,-1,2,11,11,-1,-12
235,66,252,1,95,6,2,2,4,4,-1,-13
