,midi_note,onset,duration,velocity,pitch_class,interval,root,relative_pitch,relative_pitch_class,parsons_code,parsons_cumsum
0,74,0,0,105,2,0,2,12,0,0,0
3,69,1,2,105,9,-2,2,7,7,-1,-1
5,66,4,1,95,6,0,2,4,4,-1,-2
8,69,7,2,105,9,3,2,7,7,1,-1
10,66,10,2,95,6,0,2,4,4,-1,-2
12,66,13,1,105,6,2,2,4,4,0,-2
15,64,16,2,95,4,-2,2,2,2,-1,-3
17,64,19,1,105,4,2,2,2,2,0,-3
20,64,22,1,95,4,0,2,2,2,0,-3
23,69,25,2,105,9,10,2,7,7,1,-2
25,66,28,1,95,6,0,2,4,4,-1,-3
28,69,31,2,105,9,3,2,7,7,1,-2
30,66,34,2,95,6,0,2,4,4,-1,-3
32,66,37,1,105,6,2,2,4,4,0,-3
35,64,40,1,95,4,-2,2,2,2,-1,-4
38,62,43,3,105,2,-2,2,0,0,-1,-5
39,62,46,2,95,2,0,2,0,0,0,-5
43,69,49,2,105,9,-2,2,7,7,1,-4
45,66,52,1,95,6,0,2,4,4,-1,-5
48,69,55,2,105,9,3,2,7,7,1,-4
50,66,58,2,95,6,0,2,4,4,-1,-5
52,66,61,1,105,6,2,2,4,4,0,-5
55,64,64,2,95,4,-2,2,2,2,-1,-6
57,64,67,1,105,4,2,2,2,2,0,-6
60,64,70,1,95,4,0,2,2,2,0,-6
63,69,73,2,105,9,10,2,7,7,1,-5
65,66,76,1,95,6,0,2,4,4,-1,-6
68,69,79,2,105,9,3,2,7,7,1,-5
70,66,82,2,95,6,0,2,4,4,-1,-6
72,66,85,1,105,6,2,2,4,4,0,-6
75,64,88,1,95,4,-2,2,2,2,-1,-7
78,62,91,3,105,2,-2,2,0,0,-1,-8
79,62,94,2,95,2,0,2,0,0,0,-8
81,78,97,1,105,6,2,2,16,4,1,-7
84,74,100,2,95,2,-4,2,12,0,-1,-8
86,76,103,1,105,4,-2,2,14,2,1,-7
89,69,106,2,95,9,-2,2,7,7,-1,-8
91,79,109,1,105,7,1,2,17,5,1,-7
94,76,112,2,95,4,-3,2,14,2,-1,-8
96,73,115,1,105,1,-1,2,11,11,-1,-9
99,69,118,2,95,9,-4,2,7,7,-1,-10
101,78,121,1,105,6,9,2,16,4,1,-9
104,74,124,2,95,2,-4,2,12,0,-1,-10
106,76,127,1,105,4,-2,2,14,2,1,-9
109,69,130,2,95,9,-2,2,7,7,-1,-10
111,78,133,1,105,6,2,2,16,4,1,-9
114,76,136,1,95,4,-2,2,14,2,-1,-10
117,74,139,3,105,2,-2,2,12,0,-1,-11
118,74,142,2,95,2,0,2,12,0,0,-11
120,78,145,1,105,6,2,2,16,4,1,-10
123,74,148,2,95,2,-4,2,12,0,-1,-11
125,76,151,1,105,4,-2,2,14,2,1,-10
128,69,154,2,95,9,-2,2,7,7,-1,-11
130,79,157,1,105,7,1,2,17,5,1,-10
133,76,160,2,95,4,-3,2,14,2,-1,-11
135,73,163,1,105,1,-1,2,11,11,-1,-12
138,69,166,2,95,9,-4,2,7,7,-1,-13
140,78,169,1,105,6,9,2,16,4,1,-12
143,74,172,2,95,2,-4,2,12,0,-1,-13
145,76,175,1,105,4,-2,2,14,2,1,-12
148,69,178,2,95,9,-2,2,7,7,-1,-13
150,78,181,1,105,6,2,2,16,4,1,-12
153,76,184,1,95,4,-2,2,14,2,-1,-13
156,74,187,3,105,2,-2,2,12,0,-1,-14
157,74,190,2,95,2,0,2,12,0,0,-14
