eighth_note,dur_weighted_midi_note,dur_weighted_relative_pitch_class,dur_weighted_velocity
0,69,7,105
1,74,0,105
2,76,2,80
3,74,0,80
4,71,9,95
5,69,7,80
6,66,4,80
7,74,0,105
8,69,7,80
9,66,4,80
10,62,0,95
11,66,4,80
12,69,7,80
13,74,0,105
14,76,2,80
15,74,0,80
16,76,2,95
17,74,0,80
18,78,4,80
19,81,7,105
20,78,4,80
21,74,0,80
22,76,2,95
23,74,0,80
24,71,9,80
25,74,0,105
26,76,2,80
27,74,0,80
28,76,2,95
29,74,0,80
30,71,9,80
31,74,0,105
32,69,7,80
33,66,4,80
34,62,0,95
35,66,4,80
36,69,7,80
37,74,0,105
38,76,2,80
39,74,0,80
40,76,2,95
41,74,0,80
42,76,2,80
43,78,4,105
44,74,0,80
45,74,0,80
46,74,0,95
47,69,7,80
48,69,7,80
49,74,0,105
50,76,2,80
51,74,0,80
52,71,9,95
53,69,7,80
54,66,4,80
55,74,0,105
56,69,7,80
57,66,4,80
58,62,0,95
59,66,4,80
60,69,7,80
61,74,0,105
62,76,2,80
63,74,0,80
64,76,2,95
65,74,0,80
66,78,4,80
67,81,7,105
68,78,4,80
69,74,0,80
70,76,2,95
71,74,0,80
72,71,9,80
73,74,0,105
74,76,2,80
75,74,0,80
76,76,2,95
77,74,0,80
78,71,9,80
79,74,0,105
80,69,7,80
81,66,4,80
82,62,0,95
83,66,4,80
84,69,7,80
85,74,0,105
86,76,2,80
87,74,0,80
88,76,2,95
89,74,0,80
90,76,2,80
91,78,4,105
92,74,0,80
93,74,0,80
94,74,0,95
95,78,4,80
96,78,4,80
97,81,7,105
98,78,4,80
99,74,0,80
100,83,9,95
101,81,7,80
102,78,4,80
103,81,7,105
104,74,0,80
105,78,4,80
106,76,2,95
107,74,0,80
108,73,11,80
109,69,7,105
110,71,9,80
111,74,0,80
112,76,2,95
113,74,0,80
114,76,2,80
115,78,4,105
116,81,7,80
117,78,4,80
118,76,2,95
119,78,4,80
120,79,5,80
121,81,7,105
122,78,4,80
123,74,0,80
124,83,9,95
125,81,7,80
126,78,4,80
127,81,7,105
128,74,0,80
129,78,4,80
130,76,2,95
131,74,0,80
132,71,9,80
133,69,7,105
134,71,9,80
135,74,0,80
136,76,2,95
137,74,0,80
138,76,2,80
139,78,4,105
140,74,0,80
141,74,0,80
142,74,0,95
143,78,4,80
144,78,4,80
145,81,7,105
146,78,4,80
147,74,0,80
148,83,9,95
149,81,7,80
150,78,4,80
151,81,7,105
152,74,0,80
153,78,4,80
154,76,2,95
155,74,0,80
156,73,11,80
157,69,7,105
158,71,9,80
159,74,0,80
160,76,2,95
161,74,0,80
162,76,2,80
163,78,4,105
164,81,7,80
165,78,4,80
166,76,2,95
167,78,4,80
168,79,5,80
169,81,7,105
170,78,4,80
171,74,0,80
172,83,9,95
173,81,7,80
174,78,4,80
175,81,7,105
176,74,0,80
177,78,4,80
178,76,2,95
179,74,0,80
180,71,9,80
181,69,7,105
182,71,9,80
183,74,0,80
184,76,2,95
185,74,0,80
186,76,2,80
187,78,4,105
188,74,0,80
189,74,0,80
190,74,0,95
