eighth_note,dur_weighted_midi_note,dur_weighted_relative_pitch_class,dur_weighted_velocity
0,71,4,105
1,74,7,80
2,76,9,105
3,74,7,80
4,74,7,80
5,71,4,80
6,76,9,95
7,69,2,80
8,69,2,80
9,69,2,80
10,76,9,105
11,81,2,80
12,81,2,80
13,78,11,80
14,79,0,95
15,78,11,80
16,76,9,80
17,74,7,80
18,76,9,105
19,74,7,80
20,74,7,80
21,79,0,80
22,76,9,95
23,71,4,80
24,74,7,80
25,71,4,80
26,67,0,105
27,66,11,80
28,67,0,80
29,69,2,80
30,71,4,95
31,69,2,80
32,71,4,80
33,74,7,80
34,76,9,105
35,74,7,80
36,74,7,80
37,79,0,80
38,76,9,95
39,69,2,80
40,69,2,80
41,69,2,80
42,76,9,105
43,81,2,80
44,81,2,80
45,78,11,80
46,79,0,95
47,78,11,80
48,76,9,80
49,74,7,80
50,76,9,105
51,74,7,80
52,74,7,80
53,79,0,80
54,76,9,95
55,71,4,80
56,74,7,80
57,71,4,80
58,67,0,105
59,66,11,80
60,67,0,80
61,69,2,80
62,71,4,95
63,69,2,80
64,71,4,80
65,45,2,80
66,45,2,80
67,57,2,75
68,57,2,75
69,45,2,80
70,45,2,80
71,57,2,75
72,57,2,75
73,45,2,80
74,45,2,80
75,57,2,75
76,57,2,75
77,45,2,80
78,45,2,80
79,57,2,75
80,57,2,75
81,45,2,80
82,45,2,80
83,57,2,75
84,57,2,75
85,45,2,80
86,45,2,80
87,57,2,75
88,57,2,75
89,45,2,80
90,45,2,80
91,57,2,75
92,57,2,75
93,45,2,80
94,45,2,80
95,57,2,75
96,57,2,75
97,45,2,80
98,45,2,80
99,57,2,75
100,57,2,75
101,45,2,80
102,45,2,80
103,57,2,75
104,57,2,75
105,45,2,80
106,45,2,80
107,57,2,75
108,57,2,75
109,45,2,80
110,45,2,80
111,57,2,75
112,57,2,75
113,45,2,80
114,45,2,80
115,57,2,75
116,57,2,75
117,45,2,80
118,45,2,80
119,57,2,75
120,57,2,75
121,45,2,80
122,45,2,80
123,57,2,75
124,57,2,75
125,45,2,80
126,45,2,80
127,57,2,75
128,57,2,75
129,45,2,80
130,45,2,80
131,57,2,75
132,57,2,75
133,45,2,80
134,45,2,80
135,57,2,75
136,57,2,75
