eighth_note,dur_weighted_midi_note,dur_weighted_relative_pitch_class,dur_weighted_velocity
0,69,7,105
1,81,7,80
2,81,7,80
3,76,2,95
4,73,11,80
5,73,11,80
6,76,2,95
7,73,11,80
8,73,11,80
9,69,7,105
10,81,7,80
11,81,7,80
12,76,2,95
13,73,11,80
14,73,11,80
15,74,0,95
16,71,9,80
17,67,5,80
18,69,7,105
19,81,7,80
20,81,7,80
21,76,2,95
22,73,11,80
23,73,11,80
24,76,2,95
25,73,11,80
26,73,11,80
27,71,9,105
28,67,5,80
29,71,9,80
30,79,5,95
31,76,2,80
32,76,2,80
33,74,0,95
34,57,7,75
35,57,7,75
36,45,7,80
37,57,7,75
38,57,7,75
39,45,7,80
40,57,7,75
41,57,7,75
42,45,7,80
43,57,7,75
44,57,7,75
45,45,7,80
46,57,7,75
47,57,7,75
48,45,7,80
49,57,7,75
50,57,7,75
51,45,7,80
52,57,7,75
53,57,7,75
54,45,7,80
55,57,7,75
56,57,7,75
57,45,7,80
58,57,7,75
59,57,7,75
60,45,7,80
61,57,7,75
62,57,7,75
63,45,7,80
64,57,7,75
65,57,7,75
66,45,7,80
67,57,7,75
68,57,7,75
69,45,7,80
70,57,7,75
71,57,7,75
72,45,7,80
73,57,7,75
74,57,7,75
75,45,7,80
76,57,7,75
77,57,7,75
78,45,7,80
79,57,7,75
80,57,7,75
81,45,7,80
82,57,7,75
83,57,7,75
84,45,7,80
85,57,7,75
86,57,7,75
87,45,7,80
88,57,7,75
89,57,7,75
90,45,7,80
91,57,7,75
92,57,7,75
93,45,7,80
94,57,7,75
95,57,7,75
96,45,7,80
97,57,7,75
98,57,7,75
99,45,7,80
100,57,7,75
101,57,7,75
102,45,7,80
103,57,7,75
104,57,7,75
105,45,7,80
106,57,7,75
107,57,7,75
108,45,7,80
109,57,7,75
110,57,7,75
111,45,7,80
112,57,7,75
113,57,7,75
114,45,7,80
115,57,7,75
116,57,7,75
117,45,7,80
118,57,7,75
119,57,7,75
120,45,7,80
121,57,7,75
122,57,7,75
123,45,7,80
124,57,7,75
125,57,7,75
126,45,7,80
127,57,7,75
128,57,7,75
129,45,7,80
130,57,7,75
131,57,7,75
132,45,7,80
133,57,7,75
134,57,7,75
135,45,7,80
136,57,7,75
137,57,7,75
138,45,7,80
139,57,7,75
140,57,7,75
141,45,7,80
142,57,7,75
143,57,7,75
