,midi_note,onset,duration,velocity,pitch_class,interval,root,relative_pitch,relative_pitch_class,parsons_code,parsons_cumsum
0,79,0,1,105,7,0,7,12,0,0,0
1,78,1,1,80,6,-1,7,11,11,-1,-1
2,76,2,1,105,4,-2,7,9,9,-1,-2
3,69,3,1,80,9,-7,7,2,2,-1,-3
4,71,4,0,80,11,2,7,4,4,1,-2
5,69,4,1,80,9,-2,7,2,2,-1,-3
6,71,6,2,95,11,2,7,4,4,1,-2
7,67,8,1,80,7,-4,7,0,0,-1,-3
8,71,9,1,80,11,4,7,4,4,1,-2
9,74,10,2,105,2,3,7,7,7,1,-1
10,76,12,1,80,4,2,7,9,9,1,0
11,78,13,1,80,6,2,7,11,11,1,1
12,79,14,1,95,7,1,7,12,0,1,2
13,78,15,1,80,6,-1,7,11,11,-1,1
14,76,16,1,80,4,-2,7,9,9,-1,0
15,74,17,1,80,2,-2,7,7,7,-1,-1
16,76,18,1,105,4,2,7,9,9,1,0
17,69,19,1,80,9,-7,7,2,2,-1,-1
18,71,20,0,80,11,2,7,4,4,1,0
19,69,20,1,80,9,-2,7,2,2,-1,-1
20,71,22,2,95,11,2,7,4,4,1,0
21,67,24,1,80,7,-4,7,0,0,-1,-1
22,71,25,1,80,11,4,7,4,4,1,0
23,74,26,2,105,2,3,7,7,7,1,1
24,72,28,1,80,0,-2,7,5,5,-1,0
25,69,29,1,80,9,-3,7,2,2,-1,-1
26,71,30,2,95,11,2,7,4,4,1,0
27,79,32,1,80,7,8,7,12,0,1,1
28,78,33,1,80,6,-1,7,11,11,-1,0
29,76,34,1,105,4,-2,7,9,9,-1,-1
30,69,35,1,80,9,-7,7,2,2,-1,-2
31,71,36,0,80,11,2,7,4,4,1,-1
32,69,36,1,80,9,-2,7,2,2,-1,-2
33,71,38,2,95,11,2,7,4,4,1,-1
34,67,40,1,80,7,-4,7,0,0,-1,-2
35,71,41,1,80,11,4,7,4,4,1,-1
36,74,42,2,105,2,3,7,7,7,1,0
37,76,44,1,80,4,2,7,9,9,1,1
38,78,45,1,80,6,2,7,11,11,1,2
39,79,46,2,95,7,1,7,12,0,1,3
40,78,48,1,80,6,-1,7,11,11,-1,2
41,79,49,1,80,7,1,7,12,0,1,3
42,81,50,1,105,9,2,7,14,2,1,4
43,78,51,1,80,6,-3,7,11,11,-1,3
44,79,52,1,80,7,1,7,12,0,1,4
45,76,53,1,80,4,-3,7,9,9,-1,3
46,78,54,1,95,6,2,7,11,11,1,4
47,74,55,1,80,2,-4,7,7,7,-1,3
48,76,56,1,80,4,2,7,9,9,1,4
49,74,57,1,80,2,-2,7,7,7,-1,3
50,72,58,1,105,0,-2,7,5,5,-1,2
51,69,59,1,80,9,-3,7,2,2,-1,1
52,71,60,1,80,11,2,7,4,4,1,2
53,67,61,1,80,7,-4,7,0,0,-1,1
54,69,62,2,95,9,2,7,2,2,1,2
55,79,64,1,80,7,10,7,12,0,1,3
56,78,65,1,80,6,-1,7,11,11,-1,2
57,76,66,1,105,4,-2,7,9,9,-1,1
58,69,67,1,80,9,-7,7,2,2,-1,0
59,71,68,0,80,11,2,7,4,4,1,1
60,69,68,1,80,9,-2,7,2,2,-1,0
61,71,70,2,95,11,2,7,4,4,1,1
62,67,72,1,80,7,-4,7,0,0,-1,0
63,71,73,1,80,11,4,7,4,4,1,1
64,74,74,2,105,2,3,7,7,7,1,2
65,76,76,1,80,4,2,7,9,9,1,3
66,78,77,1,80,6,2,7,11,11,1,4
67,79,78,1,95,7,1,7,12,0,1,5
68,78,79,1,80,6,-1,7,11,11,-1,4
69,76,80,1,80,4,-2,7,9,9,-1,3
70,74,81,1,80,2,-2,7,7,7,-1,2
71,76,82,1,105,4,2,7,9,9,1,3
72,69,83,1,80,9,-7,7,2,2,-1,2
73,71,84,0,80,11,2,7,4,4,1,3
74,69,84,1,80,9,-2,7,2,2,-1,2
75,71,86,2,95,11,2,7,4,4,1,3
76,67,88,1,80,7,-4,7,0,0,-1,2
77,71,89,1,80,11,4,7,4,4,1,3
78,74,90,2,105,2,3,7,7,7,1,4
79,72,92,1,80,0,-2,7,5,5,-1,3
80,69,93,1,80,9,-3,7,2,2,-1,2
81,71,94,2,95,11,2,7,4,4,1,3
82,79,96,1,80,7,8,7,12,0,1,4
83,78,97,1,80,6,-1,7,11,11,-1,3
84,76,98,1,105,4,-2,7,9,9,-1,2
85,69,99,1,80,9,-7,7,2,2,-1,1
86,71,100,0,80,11,2,7,4,4,1,2
87,69,100,1,80,9,-2,7,2,2,-1,1
88,71,102,2,95,11,2,7,4,4,1,2
89,67,104,1,80,7,-4,7,0,0,-1,1
90,71,105,1,80,11,4,7,4,4,1,2
91,74,106,2,105,2,3,7,7,7,1,3
92,76,108,1,80,4,2,7,9,9,1,4
93,78,109,1,80,6,2,7,11,11,1,5
94,79,110,2,95,7,1,7,12,0,1,6
95,78,112,1,80,6,-1,7,11,11,-1,5
96,79,113,1,80,7,1,7,12,0,1,6
97,81,114,1,105,9,2,7,14,2,1,7
98,78,115,1,80,6,-3,7,11,11,-1,6
99,79,116,1,80,7,1,7,12,0,1,7
100,76,117,1,80,4,-3,7,9,9,-1,6
101,78,118,1,95,6,2,7,11,11,1,7
102,74,119,1,80,2,-4,7,7,7,-1,6
103,76,120,1,80,4,2,7,9,9,1,7
104,74,121,1,80,2,-2,7,7,7,-1,6
105,72,122,1,105,0,-2,7,5,5,-1,5
106,69,123,1,80,9,-3,7,2,2,-1,4
107,71,124,1,80,11,2,7,4,4,1,5
108,67,125,1,80,7,-4,7,0,0,-1,4
109,69,126,2,95,9,2,7,2,2,1,5
110,78,128,1,80,6,9,7,11,11,1,6
111,79,129,1,80,7,1,7,12,0,1,7
112,81,130,2,105,9,2,7,14,2,1,8
113,83,132,0,80,11,2,7,16,4,1,9
114,81,132,1,80,9,-2,7,14,2,-1,8
115,78,134,1,95,6,-3,7,11,11,-1,7
116,81,135,1,80,9,3,7,14,2,1,8
117,74,136,1,80,2,-7,7,7,7,-1,7
118,79,137,1,80,7,5,7,12,0,1,8
119,78,138,1,105,6,-1,7,11,11,-1,7
120,81,139,1,80,9,3,7,14,2,1,8
121,83,140,0,80,11,2,7,16,4,1,9
122,81,140,1,80,9,-2,7,14,2,-1,8
123,78,142,1,95,6,-3,7,11,11,-1,7
124,81,143,1,80,9,3,7,14,2,1,8
125,74,144,2,80,2,-7,7,7,7,-1,7
126,76,146,1,105,4,2,7,9,9,1,8
127,79,147,1,80,7,3,7,12,0,1,9
128,81,148,0,80,9,2,7,14,2,1,10
129,79,148,1,80,7,-2,7,12,0,-1,9
130,76,150,1,95,4,-3,7,9,9,-1,8
131,79,151,1,80,7,3,7,12,0,1,9
132,72,152,1,80,0,-7,7,5,5,-1,8
133,79,153,1,80,7,7,7,12,0,1,9
134,76,154,1,105,4,-3,7,9,9,-1,8
135,79,155,1,80,7,3,7,12,0,1,9
136,81,156,0,80,9,2,7,14,2,1,10
137,79,156,1,80,7,-2,7,12,0,-1,9
138,76,158,1,95,4,-3,7,9,9,-1,8
139,79,159,1,80,7,3,7,12,0,1,9
140,72,160,1,80,0,-7,7,5,5,-1,8
141,79,161,1,80,7,7,7,12,0,1,9
142,78,162,1,105,6,-1,7,11,11,-1,8
143,81,163,1,80,9,3,7,14,2,1,9
144,83,164,0,80,11,2,7,16,4,1,10
145,81,164,1,80,9,-2,7,14,2,-1,9
146,78,166,1,95,6,-3,7,11,11,-1,8
147,81,167,1,80,9,3,7,14,2,1,9
148,74,168,1,80,2,-7,7,7,7,-1,8
149,79,169,1,80,7,5,7,12,0,1,9
150,78,170,1,105,6,-1,7,11,11,-1,8
151,81,171,1,80,9,3,7,14,2,1,9
152,79,172,1,80,7,-2,7,12,0,-1,8
153,76,173,1,80,4,-3,7,9,9,-1,7
154,78,174,2,95,6,2,7,11,11,1,8
155,76,176,0,80,4,-2,7,9,9,-1,7
156,78,176,0,80,6,2,7,11,11,1,8
157,79,177,0,80,7,1,7,12,0,1,9
158,81,178,1,105,9,2,7,14,2,1,10
159,78,179,1,80,6,-3,7,11,11,-1,9
160,79,180,1,80,7,1,7,12,0,1,10
161,76,181,1,80,4,-3,7,9,9,-1,9
162,78,182,1,95,6,2,7,11,11,1,10
163,74,183,1,80,2,-4,7,7,7,-1,9
164,76,184,1,80,4,2,7,9,9,1,10
165,74,185,1,80,2,-2,7,7,7,-1,9
166,72,186,1,105,0,-2,7,5,5,-1,8
167,69,187,1,80,9,-3,7,2,2,-1,7
168,71,188,1,80,11,2,7,4,4,1,8
169,67,189,1,80,7,-4,7,0,0,-1,7
170,69,190,2,95,9,2,7,2,2,1,8
171,78,192,1,80,6,9,7,11,11,1,9
172,79,193,1,80,7,1,7,12,0,1,10
173,81,194,2,105,9,2,7,14,2,1,11
174,83,196,0,80,11,2,7,16,4,1,12
175,81,196,1,80,9,-2,7,14,2,-1,11
176,78,198,1,95,6,-3,7,11,11,-1,10
177,81,199,1,80,9,3,7,14,2,1,11
178,74,200,1,80,2,-7,7,7,7,-1,10
179,79,201,1,80,7,5,7,12,0,1,11
180,78,202,1,105,6,-1,7,11,11,-1,10
181,81,203,1,80,9,3,7,14,2,1,11
182,83,204,0,80,11,2,7,16,4,1,12
183,81,204,1,80,9,-2,7,14,2,-1,11
184,78,206,1,95,6,-3,7,11,11,-1,10
185,81,207,1,80,9,3,7,14,2,1,11
186,74,208,2,80,2,-7,7,7,7,-1,10
187,76,210,1,105,4,2,7,9,9,1,11
188,79,211,1,80,7,3,7,12,0,1,12
189,81,212,0,80,9,2,7,14,2,1,13
190,79,212,1,80,7,-2,7,12,0,-1,12
191,76,214,1,95,4,-3,7,9,9,-1,11
192,79,215,1,80,7,3,7,12,0,1,12
193,72,216,1,80,0,-7,7,5,5,-1,11
194,79,217,1,80,7,7,7,12,0,1,12
195,76,218,1,105,4,-3,7,9,9,-1,11
196,79,219,1,80,7,3,7,12,0,1,12
197,81,220,0,80,9,2,7,14,2,1,13
198,79,220,1,80,7,-2,7,12,0,-1,12
199,76,222,1,95,4,-3,7,9,9,-1,11
200,79,223,1,80,7,3,7,12,0,1,12
201,72,224,1,80,0,-7,7,5,5,-1,11
202,79,225,1,80,7,7,7,12,0,1,12
203,78,226,1,105,6,-1,7,11,11,-1,11
204,81,227,1,80,9,3,7,14,2,1,12
205,83,228,0,80,11,2,7,16,4,1,13
206,81,228,1,80,9,-2,7,14,2,-1,12
207,78,230,1,95,6,-3,7,11,11,-1,11
208,81,231,1,80,9,3,7,14,2,1,12
209,74,232,1,80,2,-7,7,7,7,-1,11
210,79,233,1,80,7,5,7,12,0,1,12
211,78,234,1,105,6,-1,7,11,11,-1,11
212,81,235,1,80,9,3,7,14,2,1,12
213,79,236,1,80,7,-2,7,12,0,-1,11
214,76,237,1,80,4,-3,7,9,9,-1,10
215,78,238,2,95,6,2,7,11,11,1,11
216,76,240,0,80,4,-2,7,9,9,-1,10
217,78,240,0,80,6,2,7,11,11,1,11
218,79,241,0,80,7,1,7,12,0,1,12
219,81,242,1,105,9,2,7,14,2,1,13
220,78,243,1,80,6,-3,7,11,11,-1,12
221,79,244,1,80,7,1,7,12,0,1,13
222,76,245,1,80,4,-3,7,9,9,-1,12
223,78,246,1,95,6,2,7,11,11,1,13
224,74,247,1,80,2,-4,7,7,7,-1,12
225,76,248,1,80,4,2,7,9,9,1,13
226,74,249,1,80,2,-2,7,7,7,-1,12
227,72,250,1,105,0,-2,7,5,5,-1,11
228,69,251,1,80,9,-3,7,2,2,-1,10
229,71,252,1,80,11,2,7,4,4,1,11
230,67,253,1,80,7,-4,7,0,0,-1,10
231,69,254,2,95,9,2,7,2,2,1,11
232,45,0,1,80,9,-24,7,-22,2,-1,10
233,45,2,1,80,9,0,7,-22,2,0,10
234,57,4,1,75,9,12,7,-10,2,1,11
235,45,6,1,80,9,-12,7,-22,2,-1,10
236,57,8,1,75,9,12,7,-10,2,1,11
237,45,10,1,80,9,-12,7,-22,2,-1,10
238,57,12,1,75,9,12,7,-10,2,1,11
239,45,14,1,80,9,-12,7,-22,2,-1,10
240,57,16,1,75,9,12,7,-10,2,1,11
241,45,18,1,80,9,-12,7,-22,2,-1,10
