,midi_note,onset,duration,velocity,pitch_class,interval,root,relative_pitch,relative_pitch_class,parsons_code,parsons_cumsum
0,64,0,1,105,4,0,9,-5,7,0,0
1,67,1,1,80,7,3,9,-2,10,1,1
2,69,2,1,105,9,2,9,0,0,1,2
3,72,3,1,80,0,3,9,3,3,1,3
4,71,4,1,80,11,-1,9,2,2,-1,2
5,67,5,1,80,7,-4,9,-2,10,-1,1
6,69,6,1,95,9,2,9,0,0,1,2
7,64,7,1,80,4,-5,9,-5,7,-1,1
8,64,8,2,80,4,0,9,-5,7,0,1
9,67,10,1,105,7,3,9,-2,10,1,2
10,69,11,1,80,9,2,9,0,0,1,3
11,71,12,1,80,11,2,9,2,2,1,4
12,67,13,1,80,7,-4,9,-2,10,-1,3
13,69,14,2,95,9,2,9,0,0,1,4
14,64,16,1,80,4,-5,9,-5,7,-1,3
15,67,17,1,80,7,3,9,-2,10,1,4
16,69,18,0,105,9,2,9,0,0,1,5
17,71,18,0,80,11,2,9,2,2,1,6
18,72,19,0,80,0,1,9,3,3,1,7
19,71,20,1,80,11,-1,9,2,2,-1,6
20,69,21,1,80,9,-2,9,0,0,-1,5
21,67,22,1,95,7,-2,9,-2,10,-1,4
22,64,23,1,80,4,-3,9,-5,7,-1,3
23,62,24,1,80,2,-2,9,-7,5,-1,2
24,64,25,1,80,4,2,9,-5,7,1,3
25,67,26,1,105,7,3,9,-2,10,1,4
26,64,27,1,80,4,-3,9,-5,7,-1,3
27,62,28,1,80,2,-2,9,-7,5,-1,2
28,64,29,1,80,4,2,9,-5,7,1,3
29,67,30,2,95,7,3,9,-2,10,1,4
30,64,32,1,80,4,-3,9,-5,7,-1,3
31,67,33,1,80,7,3,9,-2,10,1,4
32,69,34,1,105,9,2,9,0,0,1,5
33,72,35,1,80,0,3,9,3,3,1,6
34,71,36,1,80,11,-1,9,2,2,-1,5
35,67,37,1,80,7,-4,9,-2,10,-1,4
36,69,38,1,95,9,2,9,0,0,1,5
37,64,39,1,80,4,-5,9,-5,7,-1,4
38,64,40,2,80,4,0,9,-5,7,0,4
39,69,42,0,105,9,5,9,0,0,1,5
40,71,42,0,80,11,2,9,2,2,1,6
41,72,43,0,80,0,1,9,3,3,1,7
42,71,44,1,80,11,-1,9,2,2,-1,6
43,67,45,1,80,7,-4,9,-2,10,-1,5
44,69,46,2,95,9,2,9,0,0,1,6
45,64,48,1,80,4,-5,9,-5,7,-1,5
46,67,49,1,80,7,3,9,-2,10,1,6
47,69,50,0,105,9,2,9,0,0,1,7
48,71,50,0,80,11,2,9,2,2,1,8
49,72,51,0,80,0,1,9,3,3,1,9
50,71,52,1,80,11,-1,9,2,2,-1,8
51,69,53,1,80,9,-2,9,0,0,-1,7
52,67,54,1,95,7,-2,9,-2,10,-1,6
53,64,55,1,80,4,-3,9,-5,7,-1,5
54,62,56,1,80,2,-2,9,-7,5,-1,4
55,64,57,1,80,4,2,9,-5,7,1,5
56,67,58,1,105,7,3,9,-2,10,1,6
57,64,59,1,80,4,-3,9,-5,7,-1,5
58,62,60,1,80,2,-2,9,-7,5,-1,4
59,64,61,1,80,4,2,9,-5,7,1,5
60,67,62,2,95,7,3,9,-2,10,1,6
61,71,64,1,80,11,4,9,2,2,1,7
62,74,65,1,80,2,3,9,5,5,1,8
63,76,66,2,105,4,2,9,7,7,1,9
64,74,68,1,80,2,-2,9,5,5,-1,8
65,79,69,1,80,7,5,9,10,10,1,9
66,76,70,1,95,4,-3,9,7,7,-1,8
67,69,71,1,80,9,-7,9,0,0,-1,7
68,69,72,2,80,9,0,9,0,0,0,7
69,76,74,2,105,4,7,9,7,7,1,8
70,74,76,1,80,2,-2,9,5,5,-1,7
71,71,77,1,80,11,-3,9,2,2,-1,6
72,67,78,1,95,7,-4,9,-2,10,-1,5
73,69,79,1,80,9,2,9,0,0,1,6
74,71,80,1,80,11,2,9,2,2,1,7
75,74,81,1,80,2,3,9,5,5,1,8
76,76,82,2,105,4,2,9,7,7,1,9
77,74,84,1,80,2,-2,9,5,5,-1,8
78,76,85,1,80,4,2,9,7,7,1,9
79,79,86,1,95,7,3,9,10,10,1,10
80,76,87,1,80,4,-3,9,7,7,-1,9
81,74,88,1,80,2,-2,9,5,5,-1,8
82,71,89,1,80,11,-3,9,2,2,-1,7
83,72,90,0,105,0,1,9,3,3,1,8
84,71,90,0,80,11,-1,9,2,2,-1,7
85,69,91,0,80,9,-2,9,0,0,-1,6
86,71,92,0,80,11,2,9,2,2,1,7
87,69,92,0,80,9,-2,9,0,0,-1,6
88,67,93,0,80,7,-2,9,-2,10,-1,5
89,69,94,1,95,9,2,9,0,0,1,6
90,67,95,1,80,7,-2,9,-2,10,-1,5
91,64,96,1,80,4,-3,9,-5,7,-1,4
92,74,97,1,80,2,10,9,5,5,1,5
93,76,98,2,105,4,2,9,7,7,1,6
94,74,100,1,80,2,-2,9,5,5,-1,5
95,79,101,1,80,7,5,9,10,10,1,6
96,76,102,1,95,4,-3,9,7,7,-1,5
97,69,103,1,80,9,-7,9,0,0,-1,4
98,69,104,2,80,9,0,9,0,0,0,4
99,76,106,2,105,4,7,9,7,7,1,5
100,74,108,1,80,2,-2,9,5,5,-1,4
101,71,109,1,80,11,-3,9,2,2,-1,3
102,67,110,1,95,7,-4,9,-2,10,-1,2
103,69,111,1,80,9,2,9,0,0,1,3
104,71,112,1,80,11,2,9,2,2,1,4
105,74,113,1,80,2,3,9,5,5,1,5
106,76,114,2,105,4,2,9,7,7,1,6
107,74,116,1,80,2,-2,9,5,5,-1,5
108,76,117,1,80,4,2,9,7,7,1,6
109,79,118,1,95,7,3,9,10,10,1,7
110,76,119,1,80,4,-3,9,7,7,-1,6
111,74,120,1,80,2,-2,9,5,5,-1,5
112,71,121,1,80,11,-3,9,2,2,-1,4
113,72,122,0,105,0,1,9,3,3,1,5
