eighth_note,midi_note_num,diatonic_note_num,chromatic_pitch_class,velocity,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,62,30,2,68,55,25,7,5,0,0,0,0
1,67,33,7,61,60,28,0,1,5,3,1,1
2,69,34,9,67,62,29,2,2,2,1,1,2
3,71,35,11,68,64,30,4,3,2,1,1,3
4,74,37,2,68,67,32,7,5,3,2,1,4
5,74,37,2,68,67,32,7,5,3,2,1,4
6,72,36,0,63,65,31,5,4,-2,-1,-1,3
7,71,35,11,71,64,30,4,3,-1,-1,-1,2
8,69,34,9,72,62,29,2,2,-2,-1,-1,1
9,62,30,2,61,55,25,7,5,-7,-4,-1,0
10,62,30,2,61,55,25,7,5,-7,-4,-1,0
11,62,30,2,61,55,25,7,5,-7,-4,-1,0
12,67,33,7,56,60,28,0,1,5,3,1,1
13,69,34,9,57,62,29,2,2,2,1,1,2
14,71,35,11,68,64,30,4,3,2,1,1,3
15,74,37,2,62,67,32,7,5,3,2,1,4
16,74,37,2,62,67,32,7,5,3,2,1,4
17,72,36,0,64,65,31,5,4,-2,-1,-1,3
18,71,35,11,72,64,30,4,3,-1,-1,-1,2
19,69,34,9,65,62,29,2,2,-2,-1,-1,1
20,74,37,2,59,67,32,7,5,5,3,1,2
21,74,37,2,59,67,32,7,5,5,3,1,2
22,74,37,2,59,67,32,7,5,5,3,1,2
23,74,37,2,65,67,32,7,5,0,0,0,2
24,76,38,4,57,69,33,9,6,2,1,1,3
25,76,38,4,57,69,33,9,6,2,1,1,3
26,74,37,2,66,67,32,7,5,-2,-1,-1,2
27,76,38,4,63,69,33,9,6,2,1,1,3
28,76,38,4,63,69,33,9,6,2,1,1,3
29,74,37,2,71,67,32,7,5,-2,-1,-1,2
30,72,36,0,65,65,31,5,4,-2,-1,-1,1
31,71,35,11,60,64,30,4,3,-1,-1,-1,0
32,69,34,9,63,62,29,2,2,-2,-1,-1,-1
33,64,31,4,56,57,26,9,6,-5,-3,-1,-2
34,72,36,0,71,65,31,5,4,8,5,1,-1
35,72,36,0,71,65,31,5,4,8,5,1,-1
36,71,35,11,56,64,30,4,3,-1,-1,-1,-2
37,69,34,9,63,62,29,2,2,-2,-1,-1,-3
38,67,33,7,60,60,28,0,1,-2,-1,-1,-4
39,69,34,9,59,62,29,2,2,2,1,1,-3
40,71,35,11,56,64,30,4,3,2,1,1,-2
41,69,34,9,70,62,29,2,2,-2,-1,-1,-3
42,67,33,7,59,60,28,0,1,-2,-1,-1,-4
43,66,32,6,66,59,27,11,7,-1,-1,-1,-5
44,69,34,9,56,62,29,2,2,5,3,1,-5
