,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,4,73,36,1,4.0,3.0,105,0,4,2,4,3,0,0,0,0
1,6,71,35,11,8.0,3.0,95,0,2,1,2,2,-3,-2,-1,-1
2,8,69,34,9,12.0,1.5,105,1,0,0,0,1,-4,-2,-1,-2
3,12,74,37,2,16.0,2.0,95,1,5,3,5,4,1,1,1,-1
4,16,76,38,4,20.0,1.5,105,2,7,4,7,5,2,1,1,0
5,20,73,36,1,24.0,3.0,95,2,4,2,4,3,-3,-2,-1,-1
6,22,78,39,6,28.0,1.5,105,3,9,5,9,6,2,1,1,0
7,26,71,35,11,32.0,2.0,95,3,2,1,2,2,-2,-1,-1,-1
8,29,73,36,1,36.0,3.0,105,4,4,2,4,3,2,1,1,0
9,31,71,35,11,40.0,3.0,95,4,2,1,2,2,-3,-2,-1,-1
10,33,69,34,9,44.0,1.5,105,5,0,0,0,1,-4,-2,-1,-2
11,37,74,37,2,48.0,2.0,95,5,5,3,5,4,1,1,1,-1
12,41,76,38,4,52.0,1.5,105,6,7,4,7,5,2,1,1,0
13,45,76,38,4,56.0,1.5,95,6,7,4,7,5,-2,-1,0,0
14,49,73,36,1,60.0,2.0,105,7,4,2,4,3,-1,-1,-1,-1
15,51,69,34,9,64.0,1.5,95,7,0,0,0,1,0,0,-1,-2
16,55,73,36,1,68.0,3.0,105,8,4,2,4,3,2,1,1,-1
17,57,71,35,11,72.0,3.0,95,8,2,1,2,2,-3,-2,-1,-2
18,59,69,34,9,76.0,1.5,105,9,0,0,0,1,-4,-2,-1,-3
19,63,74,37,2,80.0,2.0,95,9,5,3,5,4,1,1,1,-2
20,67,76,38,4,84.0,1.5,105,10,7,4,7,5,2,1,1,-1
21,71,73,36,1,88.0,3.0,95,10,4,2,4,3,-3,-2,-1,-2
22,73,78,39,6,92.0,1.5,105,11,9,5,9,6,2,1,1,-1
23,77,71,35,11,96.0,2.0,95,11,2,1,2,2,-2,-1,-1,-2
24,80,73,36,1,100.0,3.0,105,12,4,2,4,3,2,1,1,-1
25,82,71,35,11,104.0,3.0,95,12,2,1,2,2,-3,-2,-1,-2
26,84,69,34,9,108.0,1.5,105,13,0,0,0,1,-4,-2,-1,-3
27,88,74,37,2,112.0,2.0,95,13,5,3,5,4,1,1,1,-2
28,92,76,38,4,116.0,1.5,105,14,7,4,7,5,2,1,1,-1
29,96,76,38,4,120.0,1.5,95,14,7,4,7,5,-2,-1,0,-1
30,100,73,36,1,124.0,2.0,105,15,4,2,4,3,-1,-1,-1,-2
31,102,69,34,9,128.0,1.5,95,15,0,0,0,1,0,0,-1,-3
32,106,78,39,6,132.0,4.0,105,16,9,5,9,6,2,1,1,-2
33,107,78,39,6,136.0,3.0,95,16,9,5,9,6,0,0,0,-2
34,109,76,38,4,140.0,1.5,105,17,7,4,7,5,3,2,-1,-3
35,113,76,38,4,144.0,2.0,95,17,7,4,7,5,3,2,0,-3
36,117,81,41,9,148.0,3.0,105,18,12,7,0,1,1,1,1,-2
37,119,76,38,4,152.0,1.5,95,18,7,4,7,5,-2,-1,-1,-3
38,123,78,39,6,156.0,1.5,105,19,9,5,9,6,2,1,1,-2
39,127,71,35,11,160.0,2.0,95,19,2,1,2,2,-2,-1,-1,-3
40,130,78,39,6,164.0,4.0,105,20,9,5,9,6,2,1,1,-2
41,131,78,39,6,168.0,2.0,95,20,9,5,9,6,0,0,0,-2
42,134,81,41,9,172.0,1.5,105,21,12,7,0,1,1,1,1,-1
43,138,73,36,1,176.0,2.0,95,21,4,2,4,3,-3,-2,-1,-2
44,142,74,37,2,180.0,1.5,105,22,5,3,5,4,1,1,1,-1
45,147,73,36,1,184.0,0.5,95,22,4,2,4,3,2,1,-1,-2
46,151,71,35,11,188.0,0.67,105,23,2,1,2,2,-2,-1,-1,-3
47,156,73,36,1,192.0,1.5,95,23,4,2,4,3,2,1,1,-2
48,158,78,39,6,194.0,4.0,105,24,9,5,9,6,2,1,1,-1
49,159,78,39,6,198.0,3.0,95,24,9,5,9,6,0,0,0,-1
50,161,76,38,4,202.0,1.5,105,25,7,4,7,5,3,2,-1,-2
51,165,76,38,4,206.0,2.0,95,25,7,4,7,5,3,2,0,-2
52,169,81,41,9,210.0,3.0,105,26,12,7,0,1,1,1,1,-1
53,171,76,38,4,214.0,1.5,95,26,7,4,7,5,-2,-1,-1,-2
54,175,78,39,6,218.0,1.5,105,27,9,5,9,6,2,1,1,-1
55,179,71,35,11,222.0,2.0,95,27,2,1,2,2,-2,-1,-1,-2
56,182,73,36,1,226.0,3.0,105,28,4,2,4,3,2,1,1,-1
57,184,71,35,11,230.0,3.0,95,28,2,1,2,2,-3,-2,-1,-2
58,186,69,34,9,234.0,1.5,105,29,0,0,0,1,-4,-2,-1,-3
59,190,74,37,2,238.0,2.0,95,29,5,3,5,4,1,1,1,-2
60,194,76,38,4,242.0,1.5,105,30,7,4,7,5,2,1,1,-1
61,198,76,38,4,246.0,1.5,95,30,7,4,7,5,-2,-1,0,-1
62,202,73,36,1,250.0,2.0,105,31,4,2,4,3,-1,-1,-1,-2
63,204,69,34,9,254.0,1.5,95,31,0,0,0,1,0,0,-1,-3
