,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,67,33,7,0.0,1.0,105,0,0,0,0,1,0,0,0,0
1,4,69,34,9,4.0,1.0,95,0,2,1,2,2,-2,-1,1,1
2,8,71,35,11,8.0,1.0,105,1,4,2,4,3,-1,-1,1,2
3,12,74,37,2,12.0,3.0,95,1,7,4,7,5,-2,-1,1,3
4,14,77,39,5,16.0,1.0,105,2,10,6,10,7,1,1,1,4
5,18,71,35,11,20.0,1.0,95,2,4,2,4,3,-1,-1,-1,3
6,22,69,34,9,24.0,1.0,105,3,2,1,2,2,-2,-1,-1,2
7,26,67,33,7,28.0,1.0,95,3,0,0,0,1,-2,-1,-1,1
8,30,67,33,7,32.0,3.0,105,4,0,0,0,1,-2,-1,0,1
9,32,69,34,9,36.0,3.0,95,4,2,1,2,2,-2,-1,1,2
10,34,71,35,11,40.0,1.0,105,5,4,2,4,3,-1,-1,1,3
11,38,74,37,2,44.0,3.0,95,5,7,4,7,5,-2,-1,1,4
12,40,77,39,5,48.0,1.0,105,6,10,6,10,7,1,1,1,5
13,44,71,35,11,52.0,1.0,95,6,4,2,4,3,-1,-1,-1,4
14,48,69,34,9,56.0,1.0,105,7,2,1,2,2,-2,-1,-1,3
15,52,67,33,7,60.0,2.0,95,7,0,0,0,1,-1,0,-1,2
16,55,67,33,7,64.0,1.0,105,8,0,0,0,1,5,3,0,2
17,59,69,34,9,68.0,1.0,95,8,2,1,2,2,-2,-1,1,3
18,63,71,35,11,72.0,1.0,105,9,4,2,4,3,-1,-1,1,4
19,67,74,37,2,76.0,3.0,95,9,7,4,7,5,-2,-1,1,5
20,69,77,39,5,80.0,1.0,105,10,10,6,10,7,1,1,1,6
21,73,71,35,11,84.0,1.0,95,10,4,2,4,3,-1,-1,-1,5
22,77,69,34,9,88.0,1.0,105,11,2,1,2,2,-2,-1,-1,4
23,81,67,33,7,92.0,1.0,95,11,0,0,0,1,-2,-1,-1,3
24,85,67,33,7,96.0,1.0,105,12,0,0,0,1,-2,-1,0,3
25,89,69,34,9,100.0,1.0,95,12,2,1,2,2,-2,-1,1,4
26,93,71,35,11,104.0,1.0,105,13,4,2,4,3,-1,-1,1,5
27,97,74,37,2,108.0,3.0,95,13,7,4,7,5,-2,-1,1,6
28,99,77,39,5,112.0,1.0,105,14,10,6,10,7,1,1,1,7
29,103,71,35,11,116.0,1.0,95,14,4,2,4,3,-1,-1,-1,6
30,107,69,34,9,120.0,1.0,105,15,2,1,2,2,-2,-1,-1,5
31,111,67,33,7,124.0,2.0,95,15,0,0,0,1,-2,-1,-1,4
32,115,74,37,2,128.0,1.0,105,16,7,4,7,5,2,1,1,5
33,119,71,35,11,132.0,1.0,95,16,4,2,4,3,-1,-1,-1,4
34,123,69,34,9,136.0,1.0,105,17,2,1,2,2,-2,-1,-1,3
35,127,67,33,7,140.0,1.0,95,17,0,0,0,1,-2,-1,-1,2
36,131,74,37,2,144.0,3.0,105,18,7,4,7,5,2,1,1,3
37,133,71,35,11,148.0,1.0,95,18,4,2,4,3,-1,-1,-1,2
38,137,69,34,9,152.0,1.0,105,19,2,1,2,2,-2,-1,-1,1
39,141,67,33,7,156.0,2.0,95,19,0,0,0,1,-2,-1,-1,0
40,145,74,37,2,160.0,1.0,105,20,7,4,7,5,2,1,1,1
41,149,71,35,11,164.0,1.0,95,20,4,2,4,3,-1,-1,-1,0
42,153,69,34,9,168.0,1.0,105,21,2,1,2,2,-2,-1,-1,-1
43,157,67,33,7,172.0,1.0,95,21,0,0,0,1,-2,-1,-1,-2
44,161,74,37,2,176.0,1.0,105,22,7,4,7,5,2,1,1,-1
45,165,71,35,11,180.0,1.0,95,22,4,2,4,3,-1,-1,-1,-2
46,169,69,34,9,184.0,1.0,105,23,2,1,2,2,-2,-1,-1,-3
47,173,67,33,7,188.0,2.0,95,23,0,0,0,1,-2,-1,-1,-4
48,176,67,33,7,192.0,1.0,105,24,0,0,0,1,1,1,0,-4
49,180,74,37,2,196.0,1.0,95,24,7,4,7,5,2,1,1,-3
50,184,77,39,5,200.0,1.0,105,25,10,6,10,7,1,1,1,-2
51,188,74,37,2,204.0,1.0,95,25,7,4,7,5,1,1,-1,-3
52,192,77,39,5,208.0,1.0,105,26,10,6,10,7,1,1,1,-2
53,196,71,35,11,212.0,1.0,95,26,4,2,4,3,-1,-1,-1,-3
54,200,69,34,9,216.0,1.0,105,27,2,1,2,2,-2,-1,-1,-4
55,204,67,33,7,220.0,1.0,95,27,0,0,0,1,-2,-1,-1,-5
56,208,67,33,7,224.0,1.0,105,28,0,0,0,1,-2,-1,0,-5
57,212,74,37,2,228.0,1.0,95,28,7,4,7,5,2,1,1,-4
58,216,77,39,5,232.0,1.0,105,29,10,6,10,7,1,1,1,-3
59,220,74,37,2,236.0,1.0,95,29,7,4,7,5,1,1,-1,-4
60,224,77,39,5,240.0,1.0,105,30,10,6,10,7,1,1,1,-3
61,228,71,35,11,244.0,1.0,95,30,4,2,4,3,-1,-1,-1,-4
62,232,69,34,9,248.0,1.0,105,31,2,1,2,2,-2,-1,-1,-5
63,236,67,33,7,252.0,4.0,95,31,0,0,0,1,-2,-1,-1,-6
