,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,77,39,5,0.0,3.0,105,0,12,7,0,1,0,0,0,0
1,2,70,35,10,4.0,2.0,95,0,5,3,5,4,0,0,-1,-1
2,8,77,39,5,16.0,3.0,105,1,12,7,0,1,8,5,1,0
3,10,70,35,10,20.0,1.0,95,1,5,3,5,4,0,0,-1,-1
4,14,72,36,0,24.0,1.0,105,2,7,4,7,5,2,1,1,0
5,20,77,39,5,32.0,3.0,105,3,12,7,0,1,8,5,1,1
6,22,70,35,10,36.0,2.0,95,3,5,3,5,4,0,0,-1,0
7,28,67,33,7,48.0,13.0,105,4,2,1,2,2,2,1,-1,-1
8,32,77,39,5,64.0,3.0,105,5,12,7,0,1,1,1,1,0
9,35,79,40,7,72.0,2.0,105,6,14,8,2,2,2,1,1,1
10,39,79,40,7,80.0,3.0,105,7,14,8,2,2,2,1,0,1
11,41,77,39,5,84.0,2.0,95,7,12,7,0,1,-4,-2,-1,0
12,44,79,40,7,88.0,3.0,105,8,14,8,2,2,2,1,1,1
13,47,74,37,2,92.0,2.0,95,8,9,5,9,6,-3,-2,-1,0
14,50,77,39,5,96.0,3.0,105,9,12,7,0,1,1,1,1,1
15,52,70,35,10,100.0,2.0,95,9,5,3,5,4,0,0,-1,0
16,58,67,33,7,112.0,12.0,105,10,2,1,2,2,2,1,-1,-1
17,59,67,33,7,124.0,3.5,95,10,2,1,2,2,0,0,0,-1
18,61,65,32,5,128.0,9.0,105,11,0,0,0,1,-4,-2,-1,-2
19,65,69,34,9,140.0,1.0,95,11,4,2,4,3,4,2,1,-1
20,69,67,33,7,144.0,11.5,105,12,2,1,2,2,5,3,-1,-2
21,71,72,36,0,156.0,3.5,95,12,7,4,7,5,5,3,1,-1
22,73,65,32,5,160.0,9.0,105,13,0,0,0,1,-9,-5,-1,-2
23,77,69,34,9,172.0,1.0,95,13,4,2,4,3,4,2,1,-1
24,81,67,33,7,176.0,13.0,105,14,2,1,2,2,5,3,-1,-2
