,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,73,36,1,0.0,1.0,105,0,11,6,11,7,0,0,0,0
1,6,76,38,4,6.0,1.0,95,0,14,8,2,2,0,0,1,1
2,11,73,36,1,12.0,1.0,105,1,11,6,11,7,-8,-5,-1,0
3,17,76,38,4,18.0,1.0,95,1,14,8,2,2,0,0,1,1
4,23,73,36,1,24.0,1.0,105,2,11,6,11,7,2,1,-1,0
5,29,76,38,4,30.0,1.0,95,2,14,8,2,2,0,0,1,1
6,34,69,34,9,36.0,1.0,105,3,7,4,7,5,-12,-7,-1,0
7,39,73,36,1,42.0,1.0,95,3,11,6,11,7,0,0,1,1
8,45,73,36,1,48.0,1.0,105,4,11,6,11,7,4,2,0,1
9,51,76,38,4,54.0,1.0,95,4,14,8,2,2,0,0,1,2
10,56,73,36,1,60.0,1.0,105,5,11,6,11,7,-8,-5,-1,1
11,62,76,38,4,66.0,1.0,95,5,14,8,2,2,0,0,1,2
12,68,73,36,1,72.0,1.0,105,6,11,6,11,7,2,1,-1,1
13,74,76,38,4,78.0,1.0,95,6,14,8,2,2,0,0,1,2
14,79,69,34,9,84.0,1.0,105,7,7,4,7,5,-12,-7,-1,1
15,84,73,36,1,90.0,1.0,95,7,11,6,11,7,0,0,1,2
16,90,81,41,9,96.0,1.0,105,8,19,11,7,5,12,7,1,3
17,96,76,38,4,102.0,1.0,95,8,14,8,2,2,0,0,-1,2
18,101,81,41,9,108.0,1.0,105,9,19,11,7,5,0,0,1,3
19,107,76,38,4,114.0,1.0,95,9,14,8,2,2,0,0,-1,2
20,113,81,41,9,120.0,1.0,105,10,19,11,7,5,10,6,1,3
21,119,76,38,4,126.0,1.0,95,10,14,8,2,2,0,0,-1,2
22,124,69,34,9,132.0,1.0,105,11,7,4,7,5,-12,-7,-1,1
23,129,73,36,1,138.0,1.0,95,11,11,6,11,7,0,0,1,2
24,135,81,41,9,144.0,1.0,105,12,19,11,7,5,12,7,1,3
25,141,76,38,4,150.0,1.0,95,12,14,8,2,2,0,0,-1,2
26,146,81,41,9,156.0,1.0,105,13,19,11,7,5,0,0,1,3
27,152,76,38,4,162.0,1.0,95,13,14,8,2,2,0,0,-1,2
28,158,81,41,9,168.0,1.0,105,14,19,11,7,5,10,6,1,3
29,164,76,38,4,174.0,1.0,95,14,14,8,2,2,0,0,-1,2
30,169,69,34,9,180.0,1.0,105,15,7,4,7,5,-12,-7,-1,1
31,174,73,36,1,186.0,1.0,95,15,11,6,11,7,0,0,1,2
