,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,3,76,38,4,2.0,1.33,105,0,14,8,2,2,0,0,0,0
1,7,71,35,11,6.0,1.33,95,0,9,5,9,6,-3,-2,-1,-1
2,11,79,40,7,10.0,1.33,105,1,17,10,5,4,5,3,1,0
3,15,78,39,6,14.0,2.0,95,1,16,9,4,3,-1,-1,-1,-1
4,18,76,38,4,18.0,1.33,105,2,14,8,2,2,-2,-1,-1,-2
5,22,71,35,11,22.0,1.33,95,2,9,5,9,6,-3,-2,-1,-3
6,26,71,35,11,26.0,2.0,105,3,9,5,9,6,2,1,0,-3
7,29,71,35,11,30.0,2.0,95,3,9,5,9,6,2,1,0,-3
8,33,76,38,4,34.0,1.33,105,4,14,8,2,2,2,1,1,-2
9,37,71,35,11,38.0,1.33,95,4,9,5,9,6,-3,-2,-1,-3
10,41,79,40,7,42.0,1.33,105,5,17,10,5,4,5,3,1,-2
11,45,78,39,6,46.0,2.0,95,5,16,9,4,3,-1,-1,-1,-3
12,48,76,38,4,50.0,1.33,105,6,14,8,2,2,-2,-1,-1,-4
13,52,71,35,11,54.0,1.33,95,6,9,5,9,6,-3,-2,-1,-5
14,56,64,31,4,58.0,2.0,105,7,2,1,2,2,-5,-3,-1,-6
15,59,64,31,4,62.0,2.0,95,7,2,1,2,2,2,1,0,-6
16,63,76,38,4,66.0,1.33,105,8,14,8,2,2,2,1,1,-5
17,67,71,35,11,70.0,1.33,95,8,9,5,9,6,-3,-2,-1,-6
18,71,79,40,7,74.0,1.33,105,9,17,10,5,4,5,3,1,-5
19,75,78,39,6,78.0,2.0,95,9,16,9,4,3,-1,-1,-1,-6
20,78,76,38,4,82.0,1.33,105,10,14,8,2,2,-2,-1,-1,-7
21,82,71,35,11,86.0,1.33,95,10,9,5,9,6,-3,-2,-1,-8
22,86,71,35,11,90.0,2.0,105,11,9,5,9,6,2,1,0,-8
23,89,71,35,11,94.0,2.0,95,11,9,5,9,6,2,1,0,-8
24,93,76,38,4,98.0,1.33,105,12,14,8,2,2,2,1,1,-7
25,97,71,35,11,102.0,1.33,95,12,9,5,9,6,-3,-2,-1,-8
26,101,79,40,7,106.0,1.33,105,13,17,10,5,4,5,3,1,-7
27,105,78,39,6,110.0,2.0,95,13,16,9,4,3,-1,-1,-1,-8
28,108,76,38,4,114.0,1.33,105,14,14,8,2,2,-2,-1,-1,-9
29,112,71,35,11,118.0,1.33,95,14,9,5,9,6,-3,-2,-1,-10
30,116,64,31,4,122.0,2.0,105,15,2,1,2,2,-5,-3,-1,-11
31,119,64,31,4,126.0,2.0,95,15,2,1,2,2,2,1,0,-11
32,123,67,33,7,130.0,2.0,105,16,5,3,5,4,1,1,1,-10
33,126,74,37,2,134.0,1.33,95,16,12,7,0,1,1,1,1,-9
34,130,71,35,11,138.0,3.0,105,17,9,5,9,6,2,1,-1,-10
35,132,74,37,2,142.0,1.33,95,17,12,7,0,1,1,1,1,-9
36,136,67,33,7,146.0,2.0,105,18,5,3,5,4,-2,-1,-1,-10
37,139,74,37,2,150.0,1.33,95,18,12,7,0,1,1,1,1,-9
38,143,71,35,11,154.0,1.33,105,19,9,5,9,6,2,1,-1,-10
39,147,76,38,4,158.0,2.0,95,19,14,8,2,2,2,1,1,-9
40,151,67,33,7,162.0,2.0,105,20,5,3,5,4,1,1,-1,-10
41,154,74,37,2,166.0,1.33,95,20,12,7,0,1,1,1,1,-9
42,158,71,35,11,170.0,1.33,105,21,9,5,9,6,2,1,-1,-10
43,162,83,42,11,174.0,3.0,95,21,21,12,9,6,2,1,1,-9
44,164,76,38,4,178.0,2.0,105,22,14,8,2,2,-5,-3,-1,-10
45,167,71,35,11,182.0,1.33,95,22,9,5,9,6,-3,-2,-1,-11
46,171,64,31,4,186.0,2.0,105,23,2,1,2,2,-5,-3,-1,-12
47,174,64,31,4,190.0,2.0,95,23,2,1,2,2,2,1,0,-12
