,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,1,79,40,7,1.0,1.0,105,0,17,10,5,4,0,0,0,0
1,4,78,39,6,4.0,1.0,95,0,16,9,4,3,2,1,-1,-1
2,7,71,35,11,7.0,1.0,105,1,9,5,9,6,-3,-2,-1,-2
3,10,76,38,4,10.0,2.0,95,1,14,8,2,2,2,1,1,-1
4,12,79,40,7,13.0,1.0,105,2,17,10,5,4,1,1,1,0
5,15,78,39,6,16.0,2.0,95,2,16,9,4,3,2,1,-1,-1
6,17,74,37,2,19.0,1.0,105,3,12,7,0,1,-2,-1,-1,-2
7,20,71,35,11,22.0,2.0,95,3,9,5,9,6,2,1,-1,-3
8,22,79,40,7,25.0,1.0,105,4,17,10,5,4,0,0,1,-2
9,25,78,39,6,28.0,2.0,95,4,16,9,4,3,2,1,-1,-3
10,27,74,37,2,31.0,1.0,105,5,12,7,0,1,-2,-1,-1,-4
11,30,74,37,2,34.0,2.0,95,5,12,7,0,1,1,1,0,-4
12,32,74,37,2,37.0,1.0,105,6,12,7,0,1,-2,-1,0,-4
13,35,66,32,6,40.0,1.0,95,6,4,2,4,3,-3,-2,-1,-5
14,38,71,35,11,43.0,1.0,105,7,9,5,9,6,2,1,1,-4
15,41,64,31,4,46.0,2.0,95,7,2,1,2,2,0,0,-1,-5
16,43,79,40,7,49.0,1.0,105,8,17,10,5,4,1,1,1,-4
17,46,78,39,6,52.0,1.0,95,8,16,9,4,3,2,1,-1,-5
18,49,71,35,11,55.0,1.0,105,9,9,5,9,6,-3,-2,-1,-6
19,52,76,38,4,58.0,2.0,95,9,14,8,2,2,2,1,1,-5
20,54,79,40,7,61.0,1.0,105,10,17,10,5,4,1,1,1,-4
21,57,78,39,6,64.0,2.0,95,10,16,9,4,3,2,1,-1,-5
22,59,74,37,2,67.0,1.0,105,11,12,7,0,1,-2,-1,-1,-6
23,62,71,35,11,70.0,2.0,95,11,9,5,9,6,2,1,-1,-7
24,64,79,40,7,73.0,1.0,105,12,17,10,5,4,0,0,1,-6
25,67,78,39,6,76.0,2.0,95,12,16,9,4,3,2,1,-1,-7
26,69,74,37,2,79.0,1.0,105,13,12,7,0,1,-2,-1,-1,-8
27,72,74,37,2,82.0,2.0,95,13,12,7,0,1,1,1,0,-8
28,74,74,37,2,85.0,1.0,105,14,12,7,0,1,-2,-1,0,-8
29,77,66,32,6,88.0,1.0,95,14,4,2,4,3,-3,-2,-1,-9
30,80,71,35,11,91.0,1.0,105,15,9,5,9,6,2,1,1,-8
31,83,64,31,4,94.0,2.0,95,15,2,1,2,2,0,0,-1,-9
32,85,67,33,7,97.0,1.0,105,16,5,3,5,4,1,1,1,-8
33,88,69,34,9,100.0,1.0,95,16,7,4,7,5,2,1,1,-7
34,91,71,35,11,103.0,2.0,105,17,9,5,9,6,2,1,1,-6
35,93,74,37,2,106.0,1.0,95,17,12,7,0,1,-2,-1,1,-5
36,96,67,33,7,109.0,1.0,105,18,5,3,5,4,-2,-1,-1,-6
37,99,67,33,7,112.0,2.0,95,18,5,3,5,4,1,1,0,-6
38,101,71,35,11,115.0,1.0,105,19,9,5,9,6,2,1,1,-5
39,104,69,34,9,118.0,2.0,95,19,7,4,7,5,2,1,-1,-6
40,106,67,33,7,121.0,1.0,105,20,5,3,5,4,-4,-2,-1,-7
41,109,67,33,7,124.0,2.0,95,20,5,3,5,4,1,1,0,-7
42,111,71,35,11,127.0,2.0,105,21,9,5,9,6,2,1,1,-6
43,113,74,37,2,130.0,1.0,95,21,12,7,0,1,-2,-1,1,-5
44,116,74,37,2,133.0,1.0,105,22,12,7,0,1,-2,-1,0,-5
45,119,66,32,6,136.0,1.0,95,22,4,2,4,3,-3,-2,-1,-6
46,122,71,35,11,139.0,1.0,105,23,9,5,9,6,2,1,1,-5
47,125,64,31,4,142.0,2.0,95,23,2,1,2,2,0,0,-1,-6
48,127,67,33,7,145.0,1.0,105,24,5,3,5,4,1,1,1,-5
49,130,69,34,9,148.0,1.0,95,24,7,4,7,5,2,1,1,-4
50,133,71,35,11,151.0,2.0,105,25,9,5,9,6,2,1,1,-3
51,135,74,37,2,154.0,1.0,95,25,12,7,0,1,-2,-1,1,-2
52,138,67,33,7,157.0,1.0,105,26,5,3,5,4,-2,-1,-1,-3
53,141,67,33,7,160.0,2.0,95,26,5,3,5,4,1,1,0,-3
54,143,71,35,11,163.0,1.0,105,27,9,5,9,6,2,1,1,-2
55,146,69,34,9,166.0,2.0,95,27,7,4,7,5,2,1,-1,-3
56,148,67,33,7,169.0,1.0,105,28,5,3,5,4,-4,-2,-1,-4
57,151,67,33,7,172.0,2.0,95,28,5,3,5,4,1,1,0,-4
58,153,71,35,11,175.0,2.0,105,29,9,5,9,6,2,1,1,-3
59,155,74,37,2,178.0,1.0,95,29,12,7,0,1,-2,-1,1,-2
60,158,74,37,2,181.0,1.0,105,30,12,7,0,1,-2,-1,0,-2
61,161,66,32,6,184.0,1.0,95,30,4,2,4,3,-3,-2,-1,-3
62,164,71,35,11,187.0,1.0,105,31,9,5,9,6,2,1,1,-2
63,167,64,31,4,190.0,2.0,95,31,2,1,2,2,0,0,-1,-3
