,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,68,33,8,0.0,2.0,105,0,4,2,4,3,0,0,0,0
1,2,71,35,11,3.0,1.0,95,0,7,4,7,5,0,0,1,1
2,5,71,35,11,6.0,1.0,95,0,7,4,7,5,-5,-3,0,1
3,8,69,34,9,9.0,1.0,105,1,5,3,5,4,5,3,-1,0
4,13,73,36,1,12.0,2.0,95,1,9,5,9,6,4,2,1,1
5,15,73,36,1,15.0,1.0,95,1,9,5,9,6,2,1,0,1
6,18,68,33,8,18.0,1.0,105,2,4,2,4,3,-8,-5,-1,0
7,21,71,35,11,21.0,1.0,95,2,7,4,7,5,0,0,1,1
8,24,71,35,11,24.0,1.0,95,2,7,4,7,5,-2,-1,0,1
9,27,76,38,4,27.0,1.0,105,3,12,7,0,1,1,0,1,2
10,30,64,31,4,30.0,1.0,95,3,0,0,0,1,-4,-2,-1,1
11,33,66,32,6,33.0,2.0,95,3,2,1,2,2,-2,-1,1,2
12,35,68,33,8,36.0,2.0,105,4,4,2,4,3,4,2,1,3
13,37,71,35,11,39.0,1.0,95,4,7,4,7,5,0,0,1,4
14,40,71,35,11,42.0,1.0,95,4,7,4,7,5,-5,-3,0,4
15,43,69,34,9,45.0,1.0,105,5,5,3,5,4,5,3,-1,3
16,48,73,36,1,48.0,2.0,95,5,9,5,9,6,4,2,1,4
17,50,73,36,1,51.0,1.0,95,5,9,5,9,6,2,1,0,4
18,53,68,33,8,54.0,1.0,105,6,4,2,4,3,-8,-5,-1,3
19,56,71,35,11,57.0,1.0,95,6,7,4,7,5,0,0,1,4
20,59,71,35,11,60.0,1.0,95,6,7,4,7,5,-2,-1,0,4
21,62,76,38,4,63.0,1.0,105,7,12,7,0,1,1,0,1,5
22,65,64,31,4,66.0,1.0,95,7,0,0,0,1,-4,-2,-1,4
23,68,66,32,6,69.0,2.0,95,7,2,1,2,2,-2,-1,1,5
24,70,76,38,4,72.0,2.0,105,8,12,7,0,1,12,7,1,6
25,72,71,35,11,75.0,1.0,95,8,7,4,7,5,-2,-1,-1,5
26,75,71,35,11,78.0,1.0,95,8,7,4,7,5,0,0,0,5
27,78,73,36,1,81.0,1.0,105,9,9,5,9,6,2,1,1,6
28,81,78,39,6,84.0,2.0,95,9,14,8,2,2,0,0,1,7
29,83,81,41,9,87.0,1.0,95,9,17,10,5,4,1,1,1,8
30,86,76,38,4,90.0,2.0,105,10,12,7,0,1,-2,-1,-1,7
31,88,71,35,11,93.0,1.0,95,10,7,4,7,5,-2,-1,-1,6
32,91,71,35,11,96.0,1.0,95,10,7,4,7,5,0,0,0,6
33,94,76,38,4,99.0,1.0,105,11,12,7,0,1,1,0,1,7
34,97,64,31,4,102.0,1.0,95,11,0,0,0,1,-4,-2,-1,6
35,100,66,32,6,105.0,2.0,95,11,2,1,2,2,-2,-1,1,7
36,102,76,38,4,108.0,2.0,105,12,12,7,0,1,12,7,1,8
37,104,71,35,11,111.0,1.0,95,12,7,4,7,5,-2,-1,-1,7
38,107,71,35,11,114.0,1.0,95,12,7,4,7,5,0,0,0,7
39,110,73,36,1,117.0,1.0,105,13,9,5,9,6,2,1,1,8
40,113,78,39,6,120.0,2.0,95,13,14,8,2,2,0,0,1,9
41,115,81,41,9,123.0,1.0,95,13,17,10,5,4,1,1,1,10
42,118,76,38,4,126.0,2.0,105,14,12,7,0,1,-2,-1,-1,9
43,120,71,35,11,129.0,1.0,95,14,7,4,7,5,-2,-1,-1,8
44,123,71,35,11,132.0,1.0,95,14,7,4,7,5,-2,-1,0,8
45,126,76,38,4,135.0,1.0,105,15,12,7,0,1,1,0,1,9
46,129,83,42,11,138.0,1.0,95,15,19,11,7,5,0,0,1,10
47,132,78,39,6,141.0,2.0,95,15,14,8,2,2,-2,-1,-1,9
