,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,3,74,37,2,2.0,3.0,105,0,12,7,0,1,0,0,0,0
1,7,71,35,11,8.0,4.0,105,1,9,5,9,6,2,1,-1,-1
2,10,69,34,9,14.0,1.0,105,2,7,4,7,5,0,0,-1,-2
3,13,69,34,9,20.0,4.0,105,3,7,4,7,5,7,4,0,-2
4,15,66,32,6,26.0,3.0,105,4,4,2,4,3,-1,-1,-1,-3
5,18,62,30,2,32.0,1.0,105,5,0,0,0,1,0,0,-1,-4
6,22,67,33,7,38.0,3.0,105,6,5,3,5,4,-4,-2,1,-3
7,27,64,31,4,44.0,4.0,105,7,2,1,2,2,2,1,-1,-4
8,31,74,37,2,50.0,3.0,105,8,12,7,0,1,1,1,1,-3
9,35,71,35,11,56.0,4.0,105,9,9,5,9,6,-3,-2,-1,-4
10,38,69,34,9,62.0,1.0,105,10,7,4,7,5,0,0,-1,-5
11,41,69,34,9,68.0,4.0,105,11,7,4,7,5,7,4,0,-5
12,43,66,32,6,74.0,3.0,105,12,4,2,4,3,-1,-1,-1,-6
13,46,64,31,4,80.0,1.0,105,13,2,1,2,2,2,1,-1,-7
14,50,62,30,2,86.0,3.0,105,14,0,0,0,1,-9,-5,-1,-8
15,55,62,30,2,92.0,4.0,105,15,0,0,0,1,1,1,0,-8
16,59,74,37,2,98.0,3.0,105,16,12,7,0,1,1,1,1,-7
17,63,71,35,11,104.0,4.0,105,17,9,5,9,6,2,1,-1,-8
18,66,69,34,9,110.0,1.0,105,18,7,4,7,5,0,0,-1,-9
19,69,69,34,9,116.0,4.0,105,19,7,4,7,5,7,4,0,-9
20,71,66,32,6,122.0,3.0,105,20,4,2,4,3,-1,-1,-1,-10
21,74,62,30,2,128.0,1.0,105,21,0,0,0,1,0,0,-1,-11
22,78,67,33,7,134.0,3.0,105,22,5,3,5,4,-4,-2,1,-10
23,83,64,31,4,140.0,4.0,105,23,2,1,2,2,2,1,-1,-11
24,87,74,37,2,146.0,3.0,105,24,12,7,0,1,1,1,1,-10
25,91,71,35,11,152.0,4.0,105,25,9,5,9,6,-3,-2,-1,-11
26,94,69,34,9,158.0,1.0,105,26,7,4,7,5,0,0,-1,-12
27,97,69,34,9,164.0,4.0,105,27,7,4,7,5,7,4,0,-12
28,99,66,32,6,170.0,3.0,105,28,4,2,4,3,-1,-1,-1,-13
29,102,64,31,4,176.0,1.0,105,29,2,1,2,2,2,1,-1,-14
30,106,62,30,2,182.0,3.0,105,30,0,0,0,1,-9,-5,-1,-15
31,111,62,30,2,188.0,3.0,105,31,0,0,0,1,1,1,0,-15
32,115,67,33,7,194.0,3.0,105,32,5,3,5,4,-2,-1,1,-14
33,120,69,34,9,200.0,3.0,105,33,7,4,7,5,2,1,1,-13
34,124,69,34,9,206.0,1.0,105,34,7,4,7,5,0,0,0,-13
35,127,74,37,2,212.0,3.0,105,35,12,7,0,1,-2,-1,1,-12
36,131,71,35,11,218.0,3.0,105,36,9,5,9,6,2,1,-1,-13
37,134,69,34,9,224.0,1.0,105,37,7,4,7,5,-5,-3,-1,-14
38,138,69,34,9,230.0,3.0,105,38,7,4,7,5,0,0,0,-14
39,141,64,31,4,236.0,4.0,105,39,2,1,2,2,-2,-1,-1,-15
40,144,67,33,7,242.0,3.0,105,40,5,3,5,4,1,1,1,-14
41,148,69,34,9,248.0,3.0,105,41,7,4,7,5,-2,-1,1,-13
42,152,69,34,9,254.0,1.0,105,42,7,4,7,5,0,0,0,-13
43,159,74,37,2,260.0,3.0,105,43,12,7,0,1,-2,-1,1,-12
44,163,69,34,9,266.0,1.0,105,44,7,4,7,5,-2,-1,-1,-13
45,167,67,33,7,272.0,3.0,105,45,5,3,5,4,-2,-1,-1,-14
46,171,62,30,2,278.0,4.0,105,46,0,0,0,1,-7,-4,-1,-15
47,175,62,30,2,284.0,4.0,105,47,0,0,0,1,0,0,0,-15
48,178,67,33,7,290.0,3.0,105,48,5,3,5,4,-2,-1,1,-14
49,183,69,34,9,296.0,3.0,105,49,7,4,7,5,2,1,1,-13
50,187,69,34,9,302.0,1.0,105,50,7,4,7,5,0,0,0,-13
51,190,74,37,2,308.0,3.0,105,51,12,7,0,1,-2,-1,1,-12
52,194,71,35,11,314.0,3.0,105,52,9,5,9,6,2,1,-1,-13
53,197,69,34,9,320.0,1.0,105,53,7,4,7,5,-5,-3,-1,-14
54,201,69,34,9,326.0,3.0,105,54,7,4,7,5,-2,-1,0,-14
55,204,64,31,4,332.0,4.0,105,55,2,1,2,2,-2,-1,-1,-15
56,207,74,37,2,338.0,1.0,105,56,12,7,0,1,0,0,1,-14
57,211,71,35,11,344.0,4.0,105,57,9,5,9,6,-3,-2,-1,-15
58,214,69,34,9,350.0,1.0,105,58,7,4,7,5,0,0,-1,-16
59,217,69,34,9,356.0,4.0,105,59,7,4,7,5,7,4,0,-16
60,219,66,32,6,362.0,3.0,105,60,4,2,4,3,-1,-1,-1,-17
61,222,64,31,4,368.0,1.0,105,61,2,1,2,2,2,1,-1,-18
62,226,62,30,2,374.0,3.0,105,62,0,0,0,1,-9,-5,-1,-19
63,231,62,30,2,380.0,6.0,105,63,0,0,0,1,0,0,0,-19
