,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,2,67,33,7,2.0,1.0,105,0,7,4,7,5,0,0,0,0
1,6,64,31,4,6.0,1.0,95,0,4,2,4,3,4,2,-1,-1
2,10,67,33,7,10.0,1.0,105,1,7,4,7,5,-2,-1,1,0
3,14,62,30,2,14.0,2.0,95,1,2,1,2,2,-5,-3,-1,-1
4,17,67,33,7,18.0,1.0,105,2,7,4,7,5,-2,-1,1,0
5,21,64,31,4,22.0,1.0,95,2,4,2,4,3,4,2,-1,-1
6,25,67,33,7,26.0,1.0,105,3,7,4,7,5,-5,-3,1,0
7,29,60,29,0,30.0,2.0,95,3,0,0,0,1,-4,-2,-1,-1
8,32,67,33,7,34.0,1.0,105,4,7,4,7,5,-2,-1,1,0
9,36,64,31,4,38.0,1.0,95,4,4,2,4,3,4,2,-1,-1
10,40,67,33,7,42.0,1.0,105,5,7,4,7,5,-2,-1,1,0
11,44,62,30,2,46.0,2.0,95,5,2,1,2,2,-5,-3,-1,-1
12,47,67,33,7,50.0,1.0,105,6,7,4,7,5,-2,-1,1,0
13,51,64,31,4,54.0,1.0,95,6,4,2,4,3,4,2,-1,-1
14,55,67,33,7,58.0,1.0,105,7,7,4,7,5,-5,-3,1,0
15,59,60,29,0,62.0,2.0,95,7,0,0,0,1,-4,-2,-1,-1
16,62,67,33,7,66.0,1.0,105,8,7,4,7,5,-2,-1,1,0
17,66,76,38,4,70.0,1.0,95,8,16,9,4,3,2,1,1,1
18,70,76,38,4,74.0,1.0,105,9,16,9,4,3,4,2,0,1
19,74,74,37,2,78.0,2.0,95,9,14,8,2,2,-2,-1,-1,0
20,77,67,33,7,82.0,1.0,105,10,7,4,7,5,-2,-1,-1,-1
21,81,76,38,4,86.0,1.0,95,10,16,9,4,3,2,1,1,0
22,85,74,37,2,90.0,1.0,105,11,14,8,2,2,-2,-1,-1,-1
23,89,72,36,0,94.0,2.0,95,11,12,7,0,1,-4,-2,-1,-2
24,92,67,33,7,98.0,1.0,105,12,7,4,7,5,-2,-1,-1,-3
25,96,76,38,4,102.0,1.0,95,12,16,9,4,3,2,1,1,-2
26,100,76,38,4,106.0,1.0,105,13,16,9,4,3,4,2,0,-2
27,104,74,37,2,110.0,2.0,95,13,14,8,2,2,-2,-1,-1,-3
28,107,67,33,7,114.0,1.0,105,14,7,4,7,5,-2,-1,-1,-4
29,111,76,38,4,118.0,1.0,95,14,16,9,4,3,2,1,1,-3
30,115,79,40,7,122.0,1.0,105,15,19,11,7,5,3,2,1,-2
31,119,72,36,0,126.0,2.0,95,15,12,7,0,1,-4,-2,-1,-3
