,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,2,74,37,2,2.0,1.0,105,0,7,4,7,5,0,0,0,0
1,6,71,35,11,6.0,1.0,95,0,4,2,4,3,4,2,-1,-1
2,10,72,36,0,10.0,1.0,105,1,5,3,5,4,-4,-2,1,0
3,14,69,34,9,14.0,1.0,95,1,2,1,2,2,3,2,-1,-1
4,18,69,34,9,18.0,1.0,105,2,2,1,2,2,-5,-3,0,-1
5,22,74,37,2,22.0,1.0,95,2,7,4,7,5,2,1,1,0
6,27,74,37,2,26.0,2.0,105,3,7,4,7,5,0,0,0,0
7,30,72,36,0,30.0,1.0,95,3,5,3,5,4,1,1,-1,-1
8,34,74,37,2,34.0,1.0,105,4,7,4,7,5,2,1,1,0
9,38,71,35,11,38.0,1.0,95,4,4,2,4,3,4,2,-1,-1
10,44,72,36,0,42.0,1.0,105,5,5,3,5,4,-2,-1,1,0
11,48,71,35,11,46.0,0.5,95,5,4,2,4,3,5,3,-1,-1
12,53,79,40,7,50.0,2.0,105,6,12,7,0,1,5,3,1,0
13,56,79,40,7,54.0,1.0,95,6,12,7,0,1,0,0,0,0
14,60,74,37,2,58.0,1.0,105,7,7,4,7,5,-2,-1,-1,-1
15,64,67,33,7,62.0,1.0,95,7,0,0,0,1,1,1,-1,-2
16,69,74,37,2,66.0,1.0,105,8,7,4,7,5,7,4,1,-1
17,73,71,35,11,70.0,1.0,95,8,4,2,4,3,4,2,-1,-2
18,77,72,36,0,74.0,1.0,105,9,5,3,5,4,-4,-2,1,-1
19,81,69,34,9,78.0,1.0,95,9,2,1,2,2,3,2,-1,-2
20,85,69,34,9,82.0,1.0,105,10,2,1,2,2,-5,-3,0,-2
21,89,74,37,2,86.0,1.0,95,10,7,4,7,5,2,1,1,-1
22,94,78,39,6,90.0,1.0,105,11,11,6,11,7,4,2,1,0
23,98,71,35,11,94.0,1.0,95,11,4,2,4,3,-3,-2,-1,-1
24,102,74,37,2,98.0,2.0,105,12,7,4,7,5,2,1,1,0
25,105,71,35,11,102.0,1.0,95,12,4,2,4,3,4,2,-1,-1
26,111,72,36,0,106.0,1.0,105,13,5,3,5,4,-2,-1,1,0
27,115,71,35,11,110.0,0.5,95,13,4,2,4,3,5,3,-1,-1
28,120,79,40,7,114.0,2.0,105,14,12,7,0,1,5,3,1,0
29,123,79,40,7,118.0,1.0,95,14,12,7,0,1,0,0,0,0
30,127,74,37,2,122.0,1.0,105,15,7,4,7,5,-2,-1,-1,-1
31,131,67,33,7,126.0,1.0,95,15,0,0,0,1,1,1,-1,-2
32,136,74,37,2,130.0,0.5,105,16,7,4,7,5,7,4,1,-1
33,141,74,37,2,134.0,1.0,95,16,7,4,7,5,-2,-1,0,-1
34,145,83,42,11,138.0,1.0,105,17,16,9,4,3,4,2,1,0
35,149,79,40,7,142.0,1.0,95,17,12,7,0,1,-4,-2,-1,-1
36,153,74,37,2,146.0,1.0,105,18,7,4,7,5,-2,-1,-1,-2
37,157,81,41,9,150.0,1.0,95,18,14,8,2,2,3,2,1,-1
38,161,78,39,6,154.0,2.0,105,19,11,6,11,7,-1,-1,-1,-2
39,164,79,40,7,158.0,0.5,95,19,12,7,0,1,1,1,1,-1
40,169,74,37,2,162.0,1.0,105,20,7,4,7,5,-2,-1,-1,-2
41,173,79,40,7,166.0,1.0,95,20,12,7,0,1,0,0,1,-1
42,179,83,42,11,170.0,2.0,105,21,16,9,4,3,2,1,1,0
43,182,79,40,7,174.0,1.0,95,21,12,7,0,1,-4,-2,-1,-1
44,186,74,37,2,178.0,1.0,105,22,7,4,7,5,-2,-1,-1,-2
45,190,79,40,7,182.0,1.0,95,22,12,7,0,1,0,0,1,-1
46,194,74,37,2,186.0,1.0,105,23,7,4,7,5,-2,-1,-1,-2
47,198,67,33,7,190.0,1.0,95,23,0,0,0,1,1,1,-1,-3
48,203,74,37,2,194.0,0.5,105,24,7,4,7,5,7,4,1,-2
49,208,74,37,2,198.0,1.0,95,24,7,4,7,5,-2,-1,0,-2
50,212,83,42,11,202.0,1.0,105,25,16,9,4,3,4,2,1,-1
51,216,79,40,7,206.0,1.0,95,25,12,7,0,1,-4,-2,-1,-2
52,220,74,37,2,210.0,1.0,105,26,7,4,7,5,-2,-1,-1,-3
53,224,81,41,9,214.0,1.0,95,26,14,8,2,2,3,2,1,-2
54,228,78,39,6,218.0,2.0,105,27,11,6,11,7,-1,-1,-1,-3
55,231,79,40,7,222.0,0.5,95,27,12,7,0,1,1,1,1,-2
56,236,74,37,2,226.0,1.0,105,28,7,4,7,5,-2,-1,-1,-3
57,240,79,40,7,230.0,1.0,95,28,12,7,0,1,0,0,1,-2
58,246,83,42,11,234.0,2.0,105,29,16,9,4,3,2,1,1,-1
59,249,79,40,7,238.0,1.0,95,29,12,7,0,1,-4,-2,-1,-2
60,253,74,37,2,242.0,1.0,105,30,7,4,7,5,-2,-1,-1,-3
61,257,79,40,7,246.0,1.0,95,30,12,7,0,1,0,0,1,-2
62,261,74,37,2,250.0,1.0,105,31,7,4,7,5,-2,-1,-1,-3
63,265,67,33,7,254.0,1.0,95,31,0,0,0,1,1,1,-1,-4
