,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,69,34,9,0.0,2.0,105,0,7,4,7,5,0,0,0,0
1,2,76,38,4,4.0,2.0,95,0,14,8,2,2,0,0,1,1
2,5,74,37,2,8.0,2.0,105,1,12,7,0,1,3,2,-1,0
3,8,79,40,7,12.0,1.0,95,1,17,10,5,4,1,1,1,1
4,11,69,34,9,16.0,2.0,105,2,7,4,7,5,-12,-7,-1,0
5,13,76,38,4,20.0,2.0,95,2,14,8,2,2,0,0,1,1
6,16,81,41,9,24.0,1.0,105,3,19,11,7,5,10,6,1,2
7,20,71,35,11,28.0,1.0,95,3,9,5,9,6,-3,-2,-1,1
8,24,69,34,9,32.0,2.0,105,4,7,4,7,5,-2,-1,-1,0
9,26,76,38,4,36.0,2.0,95,4,14,8,2,2,0,0,1,1
10,29,74,37,2,40.0,2.0,105,5,12,7,0,1,3,2,-1,0
11,32,79,40,7,44.0,1.0,95,5,17,10,5,4,1,1,1,1
12,35,79,40,7,48.0,1.0,105,6,17,10,5,4,-2,-1,0,1
13,39,76,38,4,52.0,1.0,95,6,14,8,2,2,5,3,-1,0
14,43,71,35,11,56.0,2.0,105,7,9,5,9,6,0,0,-1,-1
15,45,69,34,9,60.0,1.0,95,7,7,4,7,5,0,0,-1,-2
16,49,69,34,9,64.0,2.0,105,8,7,4,7,5,-2,-1,0,-2
17,51,76,38,4,68.0,2.0,95,8,14,8,2,2,0,0,1,-1
18,54,74,37,2,72.0,2.0,105,9,12,7,0,1,3,2,-1,-2
19,57,79,40,7,76.0,1.0,95,9,17,10,5,4,1,1,1,-1
20,60,69,34,9,80.0,2.0,105,10,7,4,7,5,-12,-7,-1,-2
21,62,76,38,4,84.0,2.0,95,10,14,8,2,2,0,0,1,-1
22,65,81,41,9,88.0,1.0,105,11,19,11,7,5,10,6,1,0
23,69,71,35,11,92.0,1.0,95,11,9,5,9,6,-3,-2,-1,-1
24,73,69,34,9,96.0,2.0,105,12,7,4,7,5,-2,-1,-1,-2
25,75,76,38,4,100.0,2.0,95,12,14,8,2,2,0,0,1,-1
26,78,74,37,2,104.0,2.0,105,13,12,7,0,1,3,2,-1,-2
27,81,79,40,7,108.0,1.0,95,13,17,10,5,4,1,1,1,-1
28,84,79,40,7,112.0,1.0,105,14,17,10,5,4,-2,-1,0,-1
29,88,76,38,4,116.0,1.0,95,14,14,8,2,2,5,3,-1,-2
30,92,71,35,11,120.0,2.0,105,15,9,5,9,6,0,0,-1,-3
31,94,69,34,9,124.0,1.0,95,15,7,4,7,5,0,0,-1,-4
32,98,69,34,9,128.0,2.0,105,16,7,4,7,5,-2,-1,0,-4
33,100,81,41,9,132.0,2.0,95,16,19,11,7,5,0,0,1,-3
34,103,74,37,2,136.0,2.0,105,17,12,7,0,1,-2,-1,-1,-4
35,106,79,40,7,140.0,1.0,95,17,17,10,5,4,1,1,1,-3
36,109,69,34,9,144.0,2.0,105,18,7,4,7,5,-12,-7,-1,-4
37,111,81,41,9,148.0,2.0,95,18,19,11,7,5,0,0,1,-3
38,114,81,41,9,152.0,1.0,105,19,19,11,7,5,5,3,0,-3
39,118,71,35,11,156.0,1.0,95,19,9,5,9,6,-3,-2,-1,-4
40,122,69,34,9,160.0,2.0,105,20,7,4,7,5,-2,-1,-1,-5
41,124,81,41,9,164.0,2.0,95,20,19,11,7,5,0,0,1,-4
42,127,74,37,2,168.0,2.0,105,21,12,7,0,1,-2,-1,-1,-5
43,130,79,40,7,172.0,1.0,95,21,17,10,5,4,1,1,1,-4
44,133,79,40,7,176.0,1.0,105,22,17,10,5,4,-2,-1,0,-4
45,137,76,38,4,180.0,1.0,95,22,14,8,2,2,5,3,-1,-5
46,141,71,35,11,184.0,2.0,105,23,9,5,9,6,0,0,-1,-6
47,143,69,34,9,188.0,1.0,95,23,7,4,7,5,0,0,-1,-7
48,147,69,34,9,192.0,2.0,105,24,7,4,7,5,-2,-1,0,-7
49,149,81,41,9,196.0,2.0,95,24,19,11,7,5,0,0,1,-6
50,152,74,37,2,200.0,2.0,105,25,12,7,0,1,-2,-1,-1,-7
51,155,79,40,7,204.0,1.0,95,25,17,10,5,4,1,1,1,-6
52,158,69,34,9,208.0,2.0,105,26,7,4,7,5,-12,-7,-1,-7
53,160,81,41,9,212.0,2.0,95,26,19,11,7,5,0,0,1,-6
54,163,81,41,9,216.0,1.0,105,27,19,11,7,5,5,3,0,-6
55,167,71,35,11,220.0,1.0,95,27,9,5,9,6,-3,-2,-1,-7
56,171,69,34,9,224.0,2.0,105,28,7,4,7,5,-2,-1,-1,-8
57,173,81,41,9,228.0,2.0,95,28,19,11,7,5,0,0,1,-7
58,176,74,37,2,232.0,2.0,105,29,12,7,0,1,-2,-1,-1,-8
59,179,79,40,7,236.0,1.0,95,29,17,10,5,4,1,1,1,-7
60,182,79,40,7,240.0,1.0,105,30,17,10,5,4,-2,-1,0,-7
61,186,76,38,4,244.0,1.0,95,30,14,8,2,2,5,3,-1,-8
62,190,71,35,11,248.0,2.0,105,31,9,5,9,6,0,0,-1,-9
63,192,69,34,9,252.0,1.0,95,31,7,4,7,5,0,0,-1,-10
