,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,2,71,35,11,2.0,1.33,105,0,4,2,4,3,0,0,0,0
1,6,64,31,4,6.0,1.33,95,0,-3,-2,9,6,-3,-2,-1,-1
2,10,67,33,7,10.0,3.0,105,1,0,0,0,1,3,2,1,0
3,12,67,33,7,14.0,1.33,95,1,0,0,0,1,1,1,0,0
4,16,64,31,4,18.0,1.33,105,2,-3,-2,9,6,-3,-2,-1,-1
5,20,72,36,0,22.0,1.33,95,2,5,3,5,4,1,1,1,0
6,24,64,31,4,26.0,1.33,105,3,-3,-2,9,6,-3,-2,-1,-1
7,28,69,34,9,30.0,2.0,95,3,2,1,2,2,2,1,1,0
8,31,72,36,0,34.0,1.33,105,4,5,3,5,4,1,1,1,1
9,35,71,35,11,38.0,1.33,95,4,4,2,4,3,-1,-1,-1,0
10,39,69,34,9,42.0,1.33,105,5,2,1,2,2,-2,-1,-1,-1
11,43,64,31,4,46.0,1.33,95,5,-3,-2,9,6,-3,-2,-1,-2
12,47,71,35,11,50.0,1.33,105,6,4,2,4,3,4,2,1,-1
13,51,64,31,4,54.0,1.33,95,6,-3,-2,9,6,-3,-2,-1,-2
14,55,67,33,7,58.0,3.0,105,7,0,0,0,1,3,2,1,-1
15,57,67,33,7,62.0,2.0,95,7,0,0,0,1,1,1,0,-1
16,60,71,35,11,66.0,1.33,105,8,4,2,4,3,2,1,1,0
17,64,64,31,4,70.0,1.33,95,8,-3,-2,9,6,-3,-2,-1,-1
18,68,67,33,7,74.0,3.0,105,9,0,0,0,1,3,2,1,0
19,70,67,33,7,78.0,1.33,95,9,0,0,0,1,1,1,0,0
20,74,64,31,4,82.0,1.33,105,10,-3,-2,9,6,-3,-2,-1,-1
21,78,72,36,0,86.0,1.33,95,10,5,3,5,4,1,1,1,0
22,82,64,31,4,90.0,1.33,105,11,-3,-2,9,6,-3,-2,-1,-1
23,86,69,34,9,94.0,2.0,95,11,2,1,2,2,2,1,1,0
24,89,72,36,0,98.0,1.33,105,12,5,3,5,4,1,1,1,1
25,93,71,35,11,102.0,1.33,95,12,4,2,4,3,-1,-1,-1,0
26,97,69,34,9,106.0,1.33,105,13,2,1,2,2,-2,-1,-1,-1
27,101,64,31,4,110.0,1.33,95,13,-3,-2,9,6,-3,-2,-1,-2
28,105,71,35,11,114.0,1.33,105,14,4,2,4,3,4,2,1,-1
29,109,64,31,4,118.0,1.33,95,14,-3,-2,9,6,-3,-2,-1,-2
30,113,67,33,7,122.0,3.0,105,15,0,0,0,1,3,2,1,-1
31,115,67,33,7,126.0,1.33,95,15,0,0,0,1,1,1,0,-1
32,119,74,37,2,130.0,1.33,105,16,7,4,7,5,2,1,1,0
33,123,74,37,2,134.0,1.33,95,16,7,4,7,5,3,2,0,0
34,127,76,38,4,138.0,3.0,105,17,9,5,9,6,5,3,1,1
35,129,76,38,4,142.0,2.0,95,17,9,5,9,6,2,1,0,1
36,132,79,40,7,146.0,1.33,105,18,12,7,0,1,3,2,1,2
37,136,71,35,11,150.0,1.33,95,18,4,2,4,3,-3,-2,-1,1
38,140,79,40,7,154.0,2.0,105,19,12,7,0,1,5,3,1,2
39,144,79,40,7,158.0,2.0,95,19,12,7,0,1,-2,-1,0,2
40,147,79,40,7,162.0,3.0,105,20,12,7,0,1,1,1,0,2
41,149,76,38,4,166.0,1.33,95,20,9,5,9,6,-2,-1,-1,1
42,153,71,35,11,170.0,1.33,105,21,4,2,4,3,-3,-2,-1,0
43,157,64,31,4,174.0,1.33,95,21,-3,-2,9,6,-3,-2,-1,-1
44,161,71,35,11,178.0,1.33,105,22,4,2,4,3,4,2,1,0
45,165,64,31,4,182.0,1.33,95,22,-3,-2,9,6,-3,-2,-1,-1
46,169,67,33,7,186.0,3.0,105,23,0,0,0,1,3,2,1,0
47,171,67,33,7,190.0,1.33,95,23,0,0,0,1,1,1,0,0
48,175,74,37,2,194.0,1.33,105,24,7,4,7,5,2,1,1,1
49,179,74,37,2,198.0,1.33,95,24,7,4,7,5,3,2,0,1
50,183,76,38,4,202.0,3.0,105,25,9,5,9,6,5,3,1,2
51,185,76,38,4,206.0,2.0,95,25,9,5,9,6,2,1,0,2
52,188,79,40,7,210.0,1.33,105,26,12,7,0,1,3,2,1,3
53,192,71,35,11,214.0,1.33,95,26,4,2,4,3,-3,-2,-1,2
54,196,79,40,7,218.0,2.0,105,27,12,7,0,1,5,3,1,3
55,200,79,40,7,222.0,2.0,95,27,12,7,0,1,-2,-1,0,3
56,203,79,40,7,226.0,3.0,105,28,12,7,0,1,1,1,0,3
57,205,76,38,4,230.0,1.33,95,28,9,5,9,6,-2,-1,-1,2
58,209,71,35,11,234.0,1.33,105,29,4,2,4,3,-3,-2,-1,1
59,213,64,31,4,238.0,1.33,95,29,-3,-2,9,6,-3,-2,-1,0
60,217,71,35,11,242.0,1.33,105,30,4,2,4,3,4,2,1,1
61,221,64,31,4,246.0,1.33,95,30,-3,-2,9,6,-3,-2,-1,0
62,225,67,33,7,250.0,3.0,105,31,0,0,0,1,3,2,1,1
63,227,67,33,7,254.0,4.0,95,31,0,0,0,1,1,1,0,1
