,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,67,33,7,0.0,3.0,105,0,0,0,0,1,0,0,0,0
1,2,67,33,7,4.0,1.0,95,0,0,0,0,1,1,1,0,0
2,5,67,33,7,8.0,1.0,105,1,0,0,0,1,-7,-4,0,0
3,9,79,40,7,12.0,1.0,95,1,12,7,0,1,8,5,1,1
4,13,64,31,4,16.0,0.67,105,2,-3,-2,9,6,-3,-2,-1,0
5,18,72,36,0,20.0,1.0,95,2,5,3,5,4,1,1,1,1
6,22,79,40,7,24.0,2.0,105,3,12,7,0,1,1,1,1,2
7,25,79,40,7,28.0,1.0,95,3,12,7,0,1,1,1,0,2
8,29,67,33,7,32.0,3.0,105,4,0,0,0,1,-4,-2,-1,1
9,31,67,33,7,36.0,1.0,95,4,0,0,0,1,1,1,0,1
10,34,67,33,7,40.0,1.0,105,5,0,0,0,1,-7,-4,0,1
11,38,79,40,7,44.0,1.0,95,5,12,7,0,1,8,5,1,2
12,42,64,31,4,48.0,0.67,105,6,-3,-2,9,6,-3,-2,-1,1
13,47,72,36,0,52.0,1.0,95,6,5,3,5,4,1,1,1,2
14,51,78,39,6,56.0,1.0,105,7,11,6,11,7,-1,-1,1,3
15,55,67,33,7,60.0,1.0,95,7,0,0,0,1,-2,-1,-1,2
16,59,67,33,7,64.0,3.0,105,8,0,0,0,1,1,1,0,2
17,61,67,33,7,68.0,1.0,95,8,0,0,0,1,1,1,0,2
18,64,67,33,7,72.0,1.0,105,9,0,0,0,1,-7,-4,0,2
19,68,79,40,7,76.0,1.0,95,9,12,7,0,1,8,5,1,3
20,72,64,31,4,80.0,0.67,105,10,-3,-2,9,6,-3,-2,-1,2
21,77,72,36,0,84.0,1.0,95,10,5,3,5,4,1,1,1,3
22,81,79,40,7,88.0,2.0,105,11,12,7,0,1,1,1,1,4
23,84,79,40,7,92.0,1.0,95,11,12,7,0,1,1,1,0,4
24,88,67,33,7,96.0,3.0,105,12,0,0,0,1,-4,-2,-1,3
25,90,67,33,7,100.0,1.0,95,12,0,0,0,1,1,1,0,3
26,93,67,33,7,104.0,1.0,105,13,0,0,0,1,-7,-4,0,3
27,97,79,40,7,108.0,1.0,95,13,12,7,0,1,8,5,1,4
28,101,64,31,4,112.0,0.67,105,14,-3,-2,9,6,-3,-2,-1,3
29,106,72,36,0,116.0,1.0,95,14,5,3,5,4,1,1,1,4
30,110,78,39,6,120.0,1.0,105,15,11,6,11,7,-1,-1,1,5
31,114,67,33,7,124.0,2.0,95,15,0,0,0,1,-2,-1,-1,4
32,118,79,40,7,128.0,2.0,105,16,12,7,0,1,5,3,1,5
33,121,79,40,7,132.0,1.0,95,16,12,7,0,1,1,1,0,5
34,125,79,40,7,136.0,1.0,105,17,12,7,0,1,5,3,0,5
35,129,78,39,6,140.0,1.0,95,17,11,6,11,7,-1,-1,-1,4
36,133,78,39,6,144.0,3.0,105,18,11,6,11,7,2,1,0,4
37,135,81,41,9,148.0,3.0,95,18,14,8,2,2,2,1,1,5
38,137,78,39,6,152.0,1.0,105,19,11,6,11,7,-1,-1,-1,4
39,141,74,37,2,156.0,2.0,95,19,7,4,7,5,-2,-1,-1,3
40,144,79,40,7,160.0,3.0,105,20,12,7,0,1,1,1,1,4
41,146,79,40,7,164.0,1.0,95,20,12,7,0,1,1,1,0,4
42,150,79,40,7,168.0,1.0,105,21,12,7,0,1,5,3,0,4
43,154,78,39,6,172.0,1.0,95,21,11,6,11,7,-1,-1,-1,3
44,158,72,36,0,176.0,2.0,105,22,5,3,5,4,1,1,-1,2
45,161,72,36,0,180.0,1.0,95,22,5,3,5,4,1,1,0,2
46,165,71,35,11,184.0,1.0,105,23,4,2,4,3,-1,-1,-1,1
47,169,67,33,7,188.0,4.0,95,23,0,0,0,1,-2,-1,-1,0
