,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,66,32,6,0.0,1.0,105,0,4,2,4,3,0,0,0,0
1,5,62,30,2,3.0,1.0,95,0,0,0,0,1,-4,-2,-1,-1
2,8,66,32,6,6.0,1.0,105,1,4,2,4,3,-1,-1,1,0
3,13,62,30,2,9.0,1.0,95,1,0,0,0,1,-4,-2,-1,-1
4,16,62,30,2,12.0,1.0,105,2,0,0,0,1,0,0,0,-1
5,19,67,33,7,15.0,1.0,95,2,5,3,5,4,1,1,1,0
6,22,66,32,6,18.0,1.0,105,3,4,2,4,3,-1,-1,-1,-1
7,25,62,30,2,21.0,2.0,95,3,0,0,0,1,-7,-4,-1,-2
8,27,66,32,6,24.0,1.0,105,4,4,2,4,3,2,1,1,-1
9,30,67,33,7,27.0,1.0,95,4,5,3,5,4,1,1,1,0
10,33,69,34,9,30.0,1.0,105,5,7,4,7,5,2,1,1,1
11,36,78,39,6,33.0,1.0,95,5,16,9,4,3,9,5,1,2
12,39,76,38,4,36.0,1.0,105,6,14,8,2,2,2,1,-1,1
13,42,67,33,7,39.0,1.0,95,6,5,3,5,4,-2,-1,-1,0
14,45,66,32,6,42.0,1.0,105,7,4,2,4,3,2,1,-1,-1
15,48,62,30,2,45.0,2.0,95,7,0,0,0,1,0,0,-1,-2
16,50,66,32,6,48.0,1.0,105,8,4,2,4,3,2,1,1,-1
17,55,62,30,2,51.0,1.0,95,8,0,0,0,1,-4,-2,-1,-2
18,58,66,32,6,54.0,1.0,105,9,4,2,4,3,-1,-1,1,-1
19,63,62,30,2,57.0,1.0,95,9,0,0,0,1,-4,-2,-1,-2
20,66,62,30,2,60.0,1.0,105,10,0,0,0,1,0,0,0,-2
21,69,67,33,7,63.0,1.0,95,10,5,3,5,4,1,1,1,-1
22,72,66,32,6,66.0,1.0,105,11,4,2,4,3,-1,-1,-1,-2
23,75,62,30,2,69.0,2.0,95,11,0,0,0,1,-7,-4,-1,-3
24,77,66,32,6,72.0,1.0,105,12,4,2,4,3,2,1,1,-2
25,80,67,33,7,75.0,1.0,95,12,5,3,5,4,1,1,1,-1
26,83,69,34,9,78.0,1.0,105,13,7,4,7,5,2,1,1,0
27,86,78,39,6,81.0,1.0,95,13,16,9,4,3,9,5,1,1
28,89,76,38,4,84.0,1.0,105,14,14,8,2,2,2,1,-1,0
29,92,67,33,7,87.0,1.0,95,14,5,3,5,4,-2,-1,-1,-1
30,95,66,32,6,90.0,1.0,105,15,4,2,4,3,2,1,-1,-2
31,98,62,30,2,93.0,1.0,95,15,0,0,0,1,0,0,-1,-3
32,101,72,36,0,96.0,3.0,105,16,10,6,10,7,1,1,1,-2
33,102,74,37,2,99.0,1.0,95,16,12,7,0,1,2,1,1,-1
34,105,76,38,4,102.0,1.0,105,17,14,8,2,2,2,1,1,0
35,108,69,34,9,105.0,1.0,95,17,7,4,7,5,0,0,-1,-1
36,111,72,36,0,108.0,3.0,105,18,10,6,10,7,8,5,1,0
37,112,74,37,2,111.0,1.0,95,18,12,7,0,1,2,1,1,1
38,115,69,34,9,114.0,1.0,105,19,7,4,7,5,-2,-1,-1,0
39,118,67,33,7,117.0,1.0,95,19,5,3,5,4,3,2,-1,-1
40,121,72,36,0,120.0,1.0,105,20,10,6,10,7,1,1,1,0
41,124,74,37,2,123.0,1.0,95,20,12,7,0,1,2,1,1,1
42,127,76,38,4,126.0,1.0,105,21,14,8,2,2,2,1,1,2
43,130,76,38,4,129.0,1.0,95,21,14,8,2,2,0,0,0,2
44,133,76,38,4,132.0,1.0,105,22,14,8,2,2,-3,-2,0,2
45,136,69,34,9,135.0,1.0,95,22,7,4,7,5,-4,-2,-1,1
46,139,71,35,11,138.0,1.0,105,23,9,5,9,6,-1,-1,1,2
47,142,69,34,9,141.0,2.0,95,23,7,4,7,5,0,0,-1,1
48,144,72,36,0,144.0,3.0,105,24,10,6,10,7,1,1,1,2
49,145,74,37,2,147.0,1.0,95,24,12,7,0,1,2,1,1,3
50,148,76,38,4,150.0,1.0,105,25,14,8,2,2,2,1,1,4
51,151,69,34,9,153.0,1.0,95,25,7,4,7,5,0,0,-1,3
52,154,72,36,0,156.0,3.0,105,26,10,6,10,7,8,5,1,4
53,155,74,37,2,159.0,1.0,95,26,12,7,0,1,2,1,1,5
54,158,69,34,9,162.0,1.0,105,27,7,4,7,5,-2,-1,-1,4
55,161,67,33,7,165.0,1.0,95,27,5,3,5,4,3,2,-1,3
56,164,72,36,0,168.0,1.0,105,28,10,6,10,7,1,1,1,4
57,167,74,37,2,171.0,1.0,95,28,12,7,0,1,2,1,1,5
58,170,76,38,4,174.0,1.0,105,29,14,8,2,2,2,1,1,6
59,173,76,38,4,177.0,1.0,95,29,14,8,2,2,0,0,0,6
60,176,76,38,4,180.0,1.0,105,30,14,8,2,2,-3,-2,0,6
61,179,69,34,9,183.0,1.0,95,30,7,4,7,5,-4,-2,-1,5
62,182,71,35,11,186.0,1.0,105,31,9,5,9,6,-1,-1,1,6
63,185,69,34,9,189.0,1.0,95,31,7,4,7,5,0,0,-1,5
64,188,74,37,2,192.0,3.0,105,32,12,7,0,1,1,1,1,6
65,189,69,34,9,195.0,1.0,95,32,7,4,7,5,-5,-3,-1,5
66,192,67,33,7,198.0,1.0,105,33,5,3,5,4,-2,-1,-1,4
67,195,66,32,6,201.0,1.0,95,33,4,2,4,3,-1,-1,-1,3
68,198,74,37,2,204.0,1.0,105,34,12,7,0,1,12,7,1,4
69,201,69,34,9,207.0,1.0,95,34,7,4,7,5,-5,-3,-1,3
70,204,67,33,7,210.0,1.0,105,35,5,3,5,4,-2,-1,-1,2
71,207,62,30,2,213.0,1.0,95,35,0,0,0,1,-2,-1,-1,1
72,210,74,37,2,216.0,1.0,105,36,12,7,0,1,5,3,1,2
73,213,69,34,9,219.0,1.0,95,36,7,4,7,5,-5,-3,-1,1
74,216,62,30,2,222.0,1.0,105,37,0,0,0,1,-7,-4,-1,0
75,219,78,39,6,225.0,1.0,95,37,16,9,4,3,9,5,1,1
76,222,76,38,4,228.0,1.0,105,38,14,8,2,2,2,1,-1,0
77,225,67,33,7,231.0,1.0,95,38,5,3,5,4,-2,-1,-1,-1
78,228,66,32,6,234.0,1.0,105,39,4,2,4,3,2,1,-1,-2
79,231,62,30,2,237.0,1.0,95,39,0,0,0,1,0,0,-1,-3
80,234,72,36,0,240.0,3.0,105,40,10,6,10,7,3,2,1,-2
81,235,74,37,2,243.0,1.0,95,40,12,7,0,1,2,1,1,-1
82,238,76,38,4,246.0,1.0,105,41,14,8,2,2,2,1,1,0
83,241,69,34,9,249.0,1.0,95,41,7,4,7,5,0,0,-1,-1
84,244,72,36,0,252.0,3.0,105,42,10,6,10,7,8,5,1,0
85,245,74,37,2,255.0,1.0,95,42,12,7,0,1,2,1,1,1
86,248,69,34,9,258.0,1.0,105,43,7,4,7,5,-2,-1,-1,0
87,251,67,33,7,261.0,1.0,95,43,5,3,5,4,3,2,-1,-1
88,254,72,36,0,264.0,1.0,105,44,10,6,10,7,1,1,1,0
89,257,74,37,2,267.0,1.0,95,44,12,7,0,1,2,1,1,1
90,260,76,38,4,270.0,1.0,105,45,14,8,2,2,2,1,1,2
91,263,76,38,4,273.0,1.0,95,45,14,8,2,2,0,0,0,2
92,266,76,38,4,276.0,1.0,105,46,14,8,2,2,-3,-2,0,2
93,269,69,34,9,279.0,1.0,95,46,7,4,7,5,-4,-2,-1,1
94,272,74,37,2,282.0,3.0,105,47,12,7,0,1,2,1,1,2
95,273,69,34,9,285.0,1.0,95,47,7,4,7,5,-5,-3,-1,1
96,276,67,33,7,288.0,1.0,105,48,5,3,5,4,-2,-1,-1,0
97,279,66,32,6,291.0,1.0,95,48,4,2,4,3,-1,-1,-1,-1
98,282,74,37,2,294.0,1.0,105,49,12,7,0,1,12,7,1,0
99,285,69,34,9,297.0,1.0,95,49,7,4,7,5,-5,-3,-1,-1
100,288,67,33,7,300.0,1.0,105,50,5,3,5,4,-2,-1,-1,-2
101,291,62,30,2,303.0,1.0,95,50,0,0,0,1,-2,-1,-1,-3
102,294,74,37,2,306.0,1.0,105,51,12,7,0,1,5,3,1,-2
103,297,69,34,9,309.0,1.0,95,51,7,4,7,5,-5,-3,-1,-3
104,300,62,30,2,312.0,1.0,105,52,0,0,0,1,-7,-4,-1,-4
105,303,78,39,6,315.0,1.0,95,52,16,9,4,3,9,5,1,-3
106,306,76,38,4,318.0,1.0,105,53,14,8,2,2,2,1,-1,-4
107,309,67,33,7,321.0,1.0,95,53,5,3,5,4,-2,-1,-1,-5
108,312,66,32,6,324.0,1.0,105,54,4,2,4,3,2,1,-1,-6
109,315,62,30,2,327.0,1.0,95,54,0,0,0,1,0,0,-1,-7
110,318,74,37,2,330.0,1.0,105,55,12,7,0,1,5,3,1,-6
