,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,64,31,4,0.0,0.5,105,0,-3,-2,9,6,0,0,0,0
1,4,64,31,4,2.0,0.5,105,1,-3,-2,9,6,0,0,0,0
2,10,64,31,4,4.0,0.5,105,2,-3,-2,9,6,-2,-1,0,0
3,14,64,31,4,6.0,0.5,105,3,-3,-2,9,6,0,0,0,0
4,20,69,34,9,8.0,0.5,105,4,2,1,2,2,1,1,1,1
5,24,69,34,9,10.0,0.5,105,5,2,1,2,2,-6,-4,0,1
6,28,69,34,9,12.0,0.67,105,6,2,1,2,2,-3,-2,0,1
7,32,64,31,4,14.0,0.5,105,7,-3,-2,9,6,2,1,-1,0
8,41,64,31,4,18.0,0.5,105,8,-3,-2,9,6,0,0,0,0
9,47,64,31,4,20.0,0.5,105,9,-3,-2,9,6,-2,-1,0,0
10,51,64,31,4,22.0,0.5,105,10,-3,-2,9,6,0,0,0,0
11,57,69,34,9,24.0,0.5,105,11,2,1,2,2,1,1,1,1
12,61,69,34,9,26.0,0.5,105,12,2,1,2,2,-6,-4,0,1
13,65,69,34,9,28.0,0.67,105,13,2,1,2,2,-3,-2,0,1
14,69,64,31,4,30.0,0.5,105,14,-3,-2,9,6,2,1,-1,0
15,78,66,32,6,34.0,0.5,105,15,-1,-1,11,7,2,1,1,1
16,82,59,28,11,36.0,0.5,105,16,-8,-5,4,3,-3,-2,-1,0
17,86,59,28,11,38.0,0.5,105,17,-8,-5,4,3,-3,-2,0,0
18,92,62,30,2,40.0,0.67,105,18,-5,-3,7,5,5,3,1,1
19,96,66,32,6,42.0,0.5,105,19,-1,-1,11,7,2,1,1,2
20,101,71,35,11,44.0,0.5,105,20,4,2,4,3,2,1,1,3
21,107,64,31,4,46.0,1.0,105,21,-3,-2,9,6,-5,-3,-1,2
22,113,66,32,6,50.0,0.5,105,22,-1,-1,11,7,2,1,1,3
23,117,59,28,11,52.0,0.5,105,23,-8,-5,4,3,-3,-2,-1,2
24,121,59,28,11,54.0,0.5,105,24,-8,-5,4,3,-3,-2,0,2
25,127,62,30,2,56.0,0.67,105,25,-5,-3,7,5,5,3,1,3
26,131,66,32,6,58.0,0.5,105,26,-1,-1,11,7,2,1,1,4
27,136,71,35,11,60.0,0.5,105,27,4,2,4,3,2,1,1,5
28,142,64,31,4,62.0,1.0,105,28,-3,-2,9,6,-5,-3,-1,4
