,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,73,36,1,0.0,3.0,105,0,4,2,4,3,0,0,0,0
1,2,73,36,1,4.0,1.0,95,0,4,2,4,3,0,0,0,0
2,6,71,35,11,8.0,1.0,105,1,2,1,2,2,-2,-1,-1,-1
3,11,64,31,4,12.0,1.0,95,1,-5,-3,7,5,-2,-1,-1,-2
4,15,73,36,1,16.0,1.0,105,2,4,2,4,3,2,1,1,-1
5,19,81,41,9,20.0,1.0,95,2,12,7,0,1,5,3,1,0
6,23,71,35,11,24.0,2.0,105,3,2,1,2,2,-2,-1,-1,-1
7,26,71,35,11,28.0,1.0,95,3,2,1,2,2,2,1,0,-1
8,30,73,36,1,32.0,3.0,105,4,4,2,4,3,-3,-2,1,0
9,32,73,36,1,36.0,1.0,95,4,4,2,4,3,0,0,0,0
10,36,71,35,11,40.0,1.0,105,5,2,1,2,2,-2,-1,-1,-1
11,41,64,31,4,44.0,1.0,95,5,-5,-3,7,5,-2,-1,-1,-2
12,45,73,36,1,48.0,1.0,105,6,4,2,4,3,2,1,1,-1
13,49,81,41,9,52.0,1.0,95,6,12,7,0,1,5,3,1,0
14,53,71,35,11,56.0,1.0,105,7,2,1,2,2,-2,-1,-1,-1
15,57,69,34,9,60.0,1.0,95,7,0,0,0,1,-4,-2,-1,-2
16,62,73,36,1,64.0,3.0,105,8,4,2,4,3,2,1,1,-1
17,64,73,36,1,68.0,1.0,95,8,4,2,4,3,0,0,0,-1
18,68,71,35,11,72.0,1.0,105,9,2,1,2,2,-2,-1,-1,-2
19,73,64,31,4,76.0,1.0,95,9,-5,-3,7,5,-2,-1,-1,-3
20,77,73,36,1,80.0,0.67,105,10,4,2,4,3,2,1,1,-2
21,82,81,41,9,84.0,3.0,95,10,12,7,0,1,5,3,1,-1
22,84,76,38,4,88.0,1.0,105,11,7,4,7,5,-2,-1,-1,-2
23,89,71,35,11,92.0,1.0,95,11,2,1,2,2,-2,-1,-1,-3
24,93,73,36,1,96.0,3.0,105,12,4,2,4,3,-3,-2,1,-2
25,95,73,36,1,100.0,1.0,95,12,4,2,4,3,0,0,0,-2
26,99,71,35,11,104.0,1.0,105,13,2,1,2,2,-2,-1,-1,-3
27,104,64,31,4,108.0,1.0,95,13,-5,-3,7,5,-2,-1,-1,-4
28,108,73,36,1,112.0,1.0,105,14,4,2,4,3,2,1,1,-3
29,112,81,41,9,116.0,1.0,95,14,12,7,0,1,5,3,1,-2
30,116,71,35,11,120.0,1.0,105,15,2,1,2,2,-2,-1,-1,-3
31,120,69,34,9,124.0,1.0,95,15,0,0,0,1,-4,-2,-1,-4
32,124,81,41,9,128.0,3.0,105,16,12,7,0,1,5,3,1,-3
33,126,81,41,9,132.0,1.0,95,16,12,7,0,1,0,0,0,-3
34,130,78,39,6,136.0,3.0,105,17,9,5,9,6,-3,-2,-1,-4
35,132,78,39,6,140.0,1.0,95,17,9,5,9,6,0,0,0,-4
36,136,69,34,9,144.0,1.0,105,18,0,0,0,1,-2,-1,-1,-5
37,140,78,39,6,148.0,1.0,95,18,9,5,9,6,2,1,1,-4
38,144,71,35,11,152.0,2.0,105,19,2,1,2,2,2,1,-1,-5
39,147,71,35,11,156.0,1.0,95,19,2,1,2,2,2,1,0,-5
40,151,81,41,9,160.0,3.0,105,20,12,7,0,1,5,3,1,-4
41,153,81,41,9,164.0,1.0,95,20,12,7,0,1,0,0,0,-4
42,157,78,39,6,168.0,2.0,105,21,9,5,9,6,-3,-2,-1,-5
43,160,78,39,6,172.0,1.0,95,21,9,5,9,6,2,1,0,-5
44,164,69,34,9,176.0,1.0,105,22,0,0,0,1,-2,-1,-1,-6
45,168,81,41,9,180.0,1.0,95,22,12,7,0,1,5,3,1,-5
46,172,71,35,11,184.0,1.0,105,23,2,1,2,2,-2,-1,-1,-6
47,176,69,34,9,188.0,1.0,95,23,0,0,0,1,-4,-2,-1,-7
48,180,81,41,9,192.0,3.0,105,24,12,7,0,1,5,3,1,-6
49,182,81,41,9,196.0,1.0,95,24,12,7,0,1,0,0,0,-6
50,186,78,39,6,200.0,2.0,105,25,9,5,9,6,-3,-2,-1,-7
51,189,78,39,6,204.0,1.0,95,25,9,5,9,6,2,1,0,-7
52,193,73,36,1,208.0,0.67,105,26,4,2,4,3,2,1,-1,-8
53,198,81,41,9,212.0,3.0,95,26,12,7,0,1,5,3,1,-7
54,200,69,34,9,216.0,2.0,105,27,0,0,0,1,0,0,-1,-8
55,203,71,35,11,220.0,1.0,95,27,2,1,2,2,2,1,1,-7
56,207,73,36,1,224.0,3.0,105,28,4,2,4,3,-3,-2,1,-6
57,209,73,36,1,228.0,1.0,95,28,4,2,4,3,0,0,0,-6
58,213,71,35,11,232.0,1.0,105,29,2,1,2,2,-2,-1,-1,-7
59,218,64,31,4,236.0,1.0,95,29,-5,-3,7,5,-2,-1,-1,-8
60,222,73,36,1,240.0,1.0,105,30,4,2,4,3,2,1,1,-7
61,226,81,41,9,244.0,1.0,95,30,12,7,0,1,5,3,1,-6
62,230,71,35,11,248.0,1.0,105,31,2,1,2,2,-2,-1,-1,-7
63,234,69,34,9,252.0,4.0,95,31,0,0,0,1,-4,-2,-1,-8
