,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,3,74,37,2,2.5,1.33,105,0,7,4,7,5,0,0,0,0
1,7,74,37,2,6.5,1.33,95,0,7,4,7,5,3,2,0,0
2,11,72,36,0,10.5,1.33,105,1,5,3,5,4,-2,-1,-1,-1
3,15,67,33,7,14.5,2.0,95,1,0,0,0,1,1,1,-1,-2
4,18,64,31,4,18.5,2.0,105,2,-3,-2,9,6,-3,-2,-1,-3
5,21,71,35,11,22.5,1.33,95,2,4,2,4,3,-1,-1,1,-2
6,26,71,35,11,26.5,1.33,105,3,4,2,4,3,4,2,0,-2
7,31,79,40,7,30.5,1.33,95,3,12,7,0,1,5,3,1,-1
8,36,74,37,2,34.5,2.0,105,4,7,4,7,5,-2,-1,-1,-2
9,39,74,37,2,38.5,1.33,95,4,7,4,7,5,3,2,0,-2
10,45,72,36,0,43.0,1.33,105,5,5,3,5,4,-2,-1,-1,-3
11,50,67,33,7,47.0,1.33,95,5,0,0,0,1,1,1,-1,-4
12,55,64,31,4,51.0,1.33,105,6,-3,-2,9,6,-3,-2,-1,-5
13,59,71,35,11,55.0,1.33,95,6,4,2,4,3,-1,-1,1,-4
14,63,74,37,2,59.0,1.33,105,7,7,4,7,5,-2,-1,1,-3
15,67,67,33,7,63.0,1.5,95,7,0,0,0,1,1,1,-1,-4
16,71,74,37,2,67.0,1.33,105,8,7,4,7,5,2,1,1,-3
17,75,74,37,2,71.0,1.33,95,8,7,4,7,5,3,2,0,-3
18,79,72,36,0,75.0,1.33,105,9,5,3,5,4,-2,-1,-1,-4
19,83,67,33,7,79.0,2.0,95,9,0,0,0,1,1,1,-1,-5
20,86,64,31,4,83.0,2.0,105,10,-3,-2,9,6,-3,-2,-1,-6
21,89,71,35,11,87.0,1.33,95,10,4,2,4,3,-1,-1,1,-5
22,94,71,35,11,91.0,1.33,105,11,4,2,4,3,4,2,0,-5
23,99,79,40,7,95.0,1.33,95,11,12,7,0,1,5,3,1,-4
24,104,74,37,2,99.0,2.0,105,12,7,4,7,5,-2,-1,-1,-5
25,107,74,37,2,103.0,1.33,95,12,7,4,7,5,3,2,0,-5
26,113,72,36,0,107.3,1.33,105,13,5,3,5,4,-2,-1,-1,-6
27,118,67,33,7,111.3,1.33,95,13,0,0,0,1,1,1,-1,-7
28,123,64,31,4,115.3,1.33,105,14,-3,-2,9,6,-3,-2,-1,-8
29,127,71,35,11,119.3,1.33,95,14,4,2,4,3,-1,-1,1,-7
30,131,74,37,2,123.3,1.33,105,15,7,4,7,5,-2,-1,1,-6
31,135,67,33,7,127.3,1.5,95,15,0,0,0,1,1,1,-1,-7
32,139,71,35,11,131.4,1.33,105,16,4,2,4,3,2,1,1,-6
33,144,79,40,7,135.4,1.33,95,16,12,7,0,1,5,3,1,-5
34,148,81,41,9,139.4,1.33,105,17,14,8,2,2,-2,-1,1,-4
35,152,79,40,7,143.4,1.33,95,17,12,7,0,1,1,1,-1,-5
36,156,71,35,11,147.4,1.33,105,18,4,2,4,3,-1,-1,-1,-6
37,160,79,40,7,151.4,2.0,95,18,12,7,0,1,5,3,1,-5
38,163,81,41,9,155.4,1.33,105,19,14,8,2,2,-2,-1,1,-4
39,167,79,40,7,159.4,3.33,95,19,12,7,0,1,1,1,-1,-5
40,169,83,42,11,163.4,1.33,105,20,16,9,4,3,2,1,1,-4
41,174,81,41,9,167.4,1.33,95,20,14,8,2,2,-2,-1,-1,-5
42,178,79,40,7,171.4,1.33,105,21,12,7,0,1,1,1,-1,-6
43,183,74,37,2,175.4,1.33,95,21,7,4,7,5,-2,-1,-1,-7
44,187,62,30,2,179.4,0.67,105,22,-5,-3,7,5,-2,-1,-1,-8
45,192,71,35,11,183.4,0.67,95,22,4,2,4,3,2,1,1,-7
46,197,74,37,2,187.4,1.33,105,23,7,4,7,5,-2,-1,1,-6
47,201,67,33,7,191.4,1.5,95,23,0,0,0,1,1,1,-1,-7
48,205,71,35,11,195.4,1.33,105,24,4,2,4,3,2,1,1,-6
49,210,79,40,7,199.4,1.33,95,24,12,7,0,1,5,3,1,-5
50,214,81,41,9,203.4,1.33,105,25,14,8,2,2,-2,-1,1,-4
51,218,79,40,7,207.4,1.33,95,25,12,7,0,1,1,1,-1,-5
52,222,71,35,11,211.4,1.33,105,26,4,2,4,3,-1,-1,-1,-6
53,226,79,40,7,215.4,2.0,95,26,12,7,0,1,5,3,1,-5
54,229,81,41,9,219.4,1.33,105,27,14,8,2,2,-2,-1,1,-4
55,233,79,40,7,223.4,3.33,95,27,12,7,0,1,1,1,-1,-5
56,235,83,42,11,227.4,1.33,105,28,16,9,4,3,2,1,1,-4
57,240,81,41,9,231.4,1.33,95,28,14,8,2,2,-2,-1,-1,-5
58,244,79,40,7,235.4,1.33,105,29,12,7,0,1,1,1,-1,-6
59,249,74,37,2,239.4,1.33,95,29,7,4,7,5,-2,-1,-1,-7
60,253,62,30,2,243.4,0.67,105,30,-5,-3,7,5,-2,-1,-1,-8
61,258,71,35,11,247.4,0.67,95,30,4,2,4,3,2,1,1,-7
62,263,74,37,2,251.4,1.33,105,31,7,4,7,5,-2,-1,1,-6
63,267,67,33,7,255.4,1.5,95,31,0,0,0,1,1,1,-1,-7
