,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,2,71,35,11,2.0,2.0,105,0,4,2,4,3,0,0,0,0
1,5,72,36,0,6.0,1.33,95,0,5,3,5,4,1,1,1,1
2,9,69,34,9,10.0,1.33,105,1,2,1,2,2,2,1,-1,0
3,13,69,34,9,14.0,1.33,95,1,2,1,2,2,3,2,0,0
4,17,74,37,2,18.0,1.0,105,2,7,4,7,5,5,3,1,1
5,21,74,37,2,22.0,1.33,95,2,7,4,7,5,1,1,0,1
6,25,67,33,7,26.0,1.33,105,3,0,0,0,1,1,1,-1,0
7,29,62,30,2,30.0,1.33,95,3,-5,-3,7,5,-4,-2,-1,-1
8,33,66,32,6,34.0,1.33,105,4,-1,-1,11,7,2,1,1,0
9,37,69,34,9,38.0,2.0,95,4,2,1,2,2,2,1,1,1
10,41,74,37,2,42.0,1.0,105,5,7,4,7,5,-2,-1,1,2
11,45,74,37,2,46.0,1.33,95,5,7,4,7,5,1,1,0,2
12,49,67,33,7,50.0,1.33,105,6,0,0,0,1,1,1,-1,1
13,53,64,31,4,54.0,0.5,95,6,-3,-2,9,6,-2,-1,-1,0
14,56,62,30,2,58.0,2.0,105,7,-5,-3,7,5,0,0,-1,-1
15,59,71,35,11,62.0,2.0,105,8,4,2,4,3,-1,-1,1,0
16,62,72,36,0,66.0,1.33,95,8,5,3,5,4,1,1,1,1
17,66,69,34,9,70.0,1.33,105,9,2,1,2,2,2,1,-1,0
18,70,69,34,9,74.0,1.33,95,9,2,1,2,2,3,2,0,0
19,74,74,37,2,78.0,1.0,105,10,7,4,7,5,5,3,1,1
20,78,74,37,2,82.0,1.33,95,10,7,4,7,5,1,1,0,1
21,82,67,33,7,86.0,1.33,105,11,0,0,0,1,1,1,-1,0
22,86,62,30,2,90.0,1.33,95,11,-5,-3,7,5,-4,-2,-1,-1
23,90,66,32,6,94.0,1.33,105,12,-1,-1,11,7,2,1,1,0
24,94,69,34,9,98.0,2.0,95,12,2,1,2,2,2,1,1,1
25,98,74,37,2,102.0,1.0,105,13,7,4,7,5,-2,-1,1,2
26,102,74,37,2,106.0,1.33,95,13,7,4,7,5,1,1,0,2
27,106,67,33,7,110.0,1.33,105,14,0,0,0,1,1,1,-1,1
28,110,64,31,4,114.0,0.5,95,14,-3,-2,9,6,-2,-1,-1,0
29,113,62,30,2,118.0,2.0,105,15,-5,-3,7,5,0,0,-1,-1
30,116,78,39,6,122.0,1.33,105,16,11,6,11,7,2,1,1,0
31,120,78,39,6,126.0,1.33,95,16,11,6,11,7,2,1,0,0
32,125,81,41,9,130.0,1.0,105,17,14,8,2,2,2,1,1,1
33,131,78,39,6,134.0,1.33,95,17,11,6,11,7,-1,-1,-1,0
34,135,79,40,7,138.0,2.0,105,18,12,7,0,1,1,1,1,1
35,138,79,40,7,142.0,1.33,95,18,12,7,0,1,1,1,0,1
36,142,79,40,7,146.0,1.33,105,19,12,7,0,1,1,1,0,1
37,146,74,37,2,150.0,1.33,95,19,7,4,7,5,-4,-2,-1,0
38,150,78,39,6,154.0,1.33,105,20,11,6,11,7,2,1,1,1
39,154,78,39,6,158.0,1.33,95,20,11,6,11,7,2,1,0,1
40,159,81,41,9,162.0,1.0,105,21,14,8,2,2,2,1,1,2
41,165,78,39,6,166.0,1.33,95,21,11,6,11,7,-1,-1,-1,1
42,169,79,40,7,170.0,1.33,105,22,12,7,0,1,1,1,1,2
43,173,74,37,2,174.0,2.0,95,22,7,4,7,5,-4,-2,-1,1
44,176,74,37,2,178.0,1.33,105,23,7,4,7,5,1,1,0,1
