,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,2,60,29,0,2.0,1.33,105,0,-5,-3,7,5,0,0,0,0
1,6,67,33,7,6.0,1.33,95,0,2,1,2,2,-2,-1,1,1
2,10,57,27,9,10.0,1.33,105,1,-8,-5,4,3,-10,-6,-1,0
3,14,65,32,5,14.0,1.33,95,1,0,0,0,1,5,3,1,1
4,18,74,37,2,18.0,1.33,105,2,9,5,9,6,-3,-2,1,2
5,22,77,39,5,22.0,1.33,95,2,12,7,0,1,7,4,1,3
6,26,72,36,0,26.0,1.33,105,3,7,4,7,5,2,1,-1,2
7,30,77,39,5,30.0,1.33,95,3,12,7,0,1,-2,-1,1,3
8,34,57,27,9,34.0,1.33,105,4,-8,-5,4,3,-13,-8,-1,2
9,38,65,32,5,38.0,1.33,95,4,0,0,0,1,5,3,1,3
10,42,72,36,0,42.0,1.33,105,5,7,4,7,5,-5,-3,1,4
11,46,64,31,4,46.0,2.0,95,5,-1,-1,11,7,-3,-2,-1,3
12,48,81,41,9,50.0,1.33,105,6,16,9,4,3,17,10,1,4
13,52,79,40,7,54.0,1.33,95,6,14,8,2,2,10,6,-1,3
14,56,72,36,0,58.0,1.33,105,7,7,4,7,5,8,5,-1,2
15,60,65,32,5,62.0,2.0,95,7,0,0,0,1,-4,-2,-1,1
16,63,60,29,0,66.0,1.33,105,8,-5,-3,7,5,2,1,-1,0
17,67,67,33,7,70.0,1.33,95,8,2,1,2,2,-2,-1,1,1
18,71,57,27,9,74.0,1.33,105,9,-8,-5,4,3,-10,-6,-1,0
19,75,65,32,5,78.0,1.33,95,9,0,0,0,1,5,3,1,1
20,79,74,37,2,82.0,1.33,105,10,9,5,9,6,-3,-2,1,2
21,83,77,39,5,86.0,1.33,95,10,12,7,0,1,7,4,1,3
22,87,72,36,0,90.0,1.33,105,11,7,4,7,5,2,1,-1,2
23,91,77,39,5,94.0,1.33,95,11,12,7,0,1,-2,-1,1,3
24,95,57,27,9,98.0,1.33,105,12,-8,-5,4,3,-13,-8,-1,2
25,99,65,32,5,102.0,1.33,95,12,0,0,0,1,5,3,1,3
26,103,72,36,0,106.0,1.33,105,13,7,4,7,5,-5,-3,1,4
27,107,64,31,4,110.0,2.0,95,13,-1,-1,11,7,-3,-2,-1,3
28,109,81,41,9,114.0,1.33,105,14,16,9,4,3,17,10,1,4
29,113,79,40,7,118.0,1.33,95,14,14,8,2,2,10,6,-1,3
30,117,72,36,0,122.0,1.33,105,15,7,4,7,5,8,5,-1,2
31,121,65,32,5,126.0,2.0,95,15,0,0,0,1,-4,-2,-1,1
32,124,72,36,0,130.0,1.33,105,16,7,4,7,5,2,1,1,2
33,128,79,40,7,134.0,1.33,95,16,14,8,2,2,7,4,1,3
34,132,77,39,5,138.0,1.33,105,17,12,7,0,1,-2,-1,-1,2
35,136,60,29,0,142.0,1.33,95,17,-5,-3,7,5,-5,-3,-1,1
36,140,67,33,7,146.0,1.33,105,18,2,1,2,2,-3,-2,1,2
37,144,74,37,2,150.0,1.33,95,18,9,5,9,6,2,1,1,3
38,148,77,39,5,154.0,1.33,105,19,12,7,0,1,-2,-1,1,4
39,152,72,36,0,158.0,2.0,95,19,7,4,7,5,-2,-1,-1,3
40,155,72,36,0,162.0,1.33,105,20,7,4,7,5,2,1,0,3
41,159,74,37,2,166.0,1.33,95,20,9,5,9,6,2,1,1,4
42,163,72,36,0,170.0,1.33,105,21,7,4,7,5,-2,-1,-1,3
43,167,70,35,10,174.0,1.33,95,21,5,3,5,4,5,3,-1,2
44,171,64,31,4,178.0,1.33,105,22,-1,-1,11,7,-1,-1,-1,1
45,175,64,31,4,182.0,1.33,95,22,-1,-1,11,7,-6,-4,0,1
46,179,72,36,0,186.0,1.33,105,23,7,4,7,5,8,5,1,2
47,183,65,32,5,190.0,2.0,95,23,0,0,0,1,-4,-2,-1,1
48,186,72,36,0,194.0,1.33,105,24,7,4,7,5,2,1,1,2
49,190,79,40,7,198.0,1.33,95,24,14,8,2,2,7,4,1,3
50,194,77,39,5,202.0,1.33,105,25,12,7,0,1,-2,-1,-1,2
51,198,60,29,0,206.0,1.33,95,25,-5,-3,7,5,-5,-3,-1,1
52,202,67,33,7,210.0,1.33,105,26,2,1,2,2,-3,-2,1,2
53,206,74,37,2,214.0,1.33,95,26,9,5,9,6,2,1,1,3
54,210,77,39,5,218.0,1.33,105,27,12,7,0,1,-2,-1,1,4
55,214,72,36,0,222.0,2.0,95,27,7,4,7,5,-2,-1,-1,3
56,217,72,36,0,226.0,1.33,105,28,7,4,7,5,2,1,0,3
57,221,74,37,2,230.0,1.33,95,28,9,5,9,6,2,1,1,4
58,225,72,36,0,234.0,1.33,105,29,7,4,7,5,-2,-1,-1,3
59,229,70,35,10,238.0,1.33,95,29,5,3,5,4,5,3,-1,2
60,233,64,31,4,242.0,1.33,105,30,-1,-1,11,7,-1,-1,-1,1
61,237,64,31,4,246.0,1.33,95,30,-1,-1,11,7,-6,-4,0,1
62,241,72,36,0,250.0,1.33,105,31,7,4,7,5,8,5,1,2
63,245,65,32,5,254.0,2.0,95,31,0,0,0,1,-4,-2,-1,1
