,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,3,71,35,11,3.0,2.0,105,0,4,2,4,3,0,0,0,0
1,9,69,34,9,9.0,2.0,105,1,2,1,2,2,2,1,-1,-1
2,14,67,33,7,15.0,2.0,105,2,0,0,0,1,-2,-1,-1,-2
3,17,64,31,4,21.0,4.0,105,3,-3,-2,9,6,0,0,-1,-3
4,21,60,29,0,27.0,3.0,105,4,-7,-4,5,4,-2,-1,-1,-4
5,24,62,30,2,33.0,2.0,105,5,-5,-3,7,5,2,1,1,-3
6,27,69,34,9,39.0,9.0,105,6,2,1,2,2,-2,-1,1,-2
7,31,71,35,11,51.0,2.0,105,7,4,2,4,3,2,1,1,-1
8,37,69,34,9,57.0,2.0,105,8,2,1,2,2,2,1,-1,-2
9,42,67,33,7,63.0,2.0,105,9,0,0,0,1,-2,-1,-1,-3
10,45,64,31,4,69.0,4.0,105,10,-3,-2,9,6,0,0,-1,-4
11,49,60,29,0,75.0,3.0,105,11,-7,-4,5,4,-2,-1,-1,-5
12,52,60,29,0,81.0,1.0,105,12,-7,-4,5,4,0,0,0,-5
13,55,67,33,7,87.0,6.0,105,13,0,0,0,1,-2,-1,1,-4
14,56,67,33,7,93.0,4.0,105,14,0,0,0,1,0,0,0,-4
15,60,71,35,11,99.0,2.0,105,15,4,2,4,3,2,1,1,-3
16,66,69,34,9,105.0,2.0,105,16,2,1,2,2,2,1,-1,-4
17,71,67,33,7,111.0,2.0,105,17,0,0,0,1,-2,-1,-1,-5
18,74,64,31,4,117.0,4.0,105,18,-3,-2,9,6,0,0,-1,-6
19,78,60,29,0,123.0,3.0,105,19,-7,-4,5,4,-2,-1,-1,-7
20,81,62,30,2,129.0,2.0,105,20,-5,-3,7,5,2,1,1,-6
21,84,69,34,9,135.0,9.0,105,21,2,1,2,2,-2,-1,1,-5
22,88,71,35,11,147.0,2.0,105,22,4,2,4,3,2,1,1,-4
23,94,69,34,9,153.0,2.0,105,23,2,1,2,2,2,1,-1,-5
24,99,67,33,7,159.0,2.0,105,24,0,0,0,1,-2,-1,-1,-6
25,102,64,31,4,165.0,4.0,105,25,-3,-2,9,6,0,0,-1,-7
26,106,60,29,0,171.0,3.0,105,26,-7,-4,5,4,-2,-1,-1,-8
27,109,60,29,0,177.0,1.0,105,27,-7,-4,5,4,0,0,0,-8
28,112,67,33,7,183.0,6.0,105,28,0,0,0,1,-2,-1,1,-7
29,113,71,35,11,189.0,2.0,105,29,4,2,4,3,4,2,1,-6
30,116,76,38,4,195.0,4.0,105,30,9,5,9,6,2,1,1,-5
31,118,74,37,2,201.0,4.0,105,31,7,4,7,5,-2,-1,-1,-6
32,120,72,36,0,207.0,2.0,105,32,5,3,5,4,0,0,-1,-7
33,125,67,33,7,219.0,4.0,105,33,0,0,0,1,-2,-1,-1,-8
34,127,69,34,9,225.0,2.0,105,34,2,1,2,2,2,1,1,-7
35,130,71,35,11,231.0,8.0,105,35,4,2,4,3,2,1,1,-6
36,135,69,34,9,243.0,4.0,105,36,2,1,2,2,2,1,-1,-7
37,138,69,34,9,249.0,2.0,105,37,2,1,2,2,-2,-1,0,-7
38,141,62,30,2,255.0,1.0,105,38,-5,-3,7,5,-2,-1,-1,-8
39,144,64,31,4,261.0,4.0,105,39,-3,-2,9,6,2,1,1,-7
40,146,60,29,0,267.0,3.0,105,40,-7,-4,5,4,-2,-1,-1,-8
41,149,62,30,2,273.0,1.0,105,41,-5,-3,7,5,2,1,1,-7
42,152,67,33,7,279.0,6.0,105,42,0,0,0,1,-2,-1,1,-6
43,153,71,35,11,285.0,2.0,105,43,4,2,4,3,4,2,1,-5
44,156,76,38,4,291.0,4.0,105,44,9,5,9,6,2,1,1,-4
45,158,74,37,2,297.0,4.0,105,45,7,4,7,5,-2,-1,-1,-5
46,160,72,36,0,303.0,2.0,105,46,5,3,5,4,0,0,-1,-6
47,165,67,33,7,315.0,4.0,105,47,0,0,0,1,-2,-1,-1,-7
48,167,69,34,9,321.0,2.0,105,48,2,1,2,2,2,1,1,-6
49,170,71,35,11,327.0,8.0,105,49,4,2,4,3,2,1,1,-5
50,175,69,34,9,339.0,4.0,105,50,2,1,2,2,2,1,-1,-6
51,178,69,34,9,345.0,2.0,105,51,2,1,2,2,-2,-1,0,-6
52,181,62,30,2,351.0,1.0,105,52,-5,-3,7,5,-2,-1,-1,-7
53,184,64,31,4,357.0,4.0,105,53,-3,-2,9,6,2,1,1,-6
54,186,60,29,0,363.0,3.0,105,54,-7,-4,5,4,-2,-1,-1,-7
55,189,62,30,2,369.0,1.0,105,55,-5,-3,7,5,2,1,1,-6
56,192,67,33,7,375.0,6.0,105,56,0,0,0,1,-2,-1,1,-5
57,193,67,33,7,381.0,6.0,105,57,0,0,0,1,0,0,0,-5
