,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,69,34,9,0.0,2.0,105,0,7,4,7,5,0,0,0,0
1,2,66,32,6,3.0,2.0,95,0,4,2,4,3,-1,-1,-1,-1
2,4,74,37,2,6.0,1.0,95,0,12,7,0,1,5,3,1,0
3,6,71,35,11,9.0,2.0,105,1,9,5,9,6,2,1,-1,-1
4,8,74,37,2,12.0,1.0,95,1,12,7,0,1,1,1,1,0
5,10,78,39,6,15.0,1.0,95,1,16,9,4,3,2,1,1,1
6,13,69,34,9,18.0,2.0,105,2,7,4,7,5,-2,-1,-1,0
7,15,66,32,6,21.0,2.0,95,2,4,2,4,3,-1,-1,-1,-1
8,17,74,37,2,24.0,1.0,95,2,12,7,0,1,5,3,1,0
9,19,71,35,11,27.0,1.0,105,3,9,5,9,6,2,1,-1,-1
10,22,69,34,9,30.0,1.0,95,3,7,4,7,5,-5,-3,-1,-2
11,25,62,30,2,33.0,3.0,95,3,0,0,0,1,0,0,-1,-3
12,26,69,34,9,36.0,2.0,105,4,7,4,7,5,7,4,1,-2
13,28,66,32,6,39.0,2.0,95,4,4,2,4,3,-1,-1,-1,-3
14,30,74,37,2,42.0,1.0,95,4,12,7,0,1,5,3,1,-2
15,32,71,35,11,45.0,2.0,105,5,9,5,9,6,2,1,-1,-3
16,34,74,37,2,48.0,1.0,95,5,12,7,0,1,1,1,1,-2
17,36,78,39,6,51.0,1.0,95,5,16,9,4,3,2,1,1,-1
18,39,69,34,9,54.0,2.0,105,6,7,4,7,5,-2,-1,-1,-2
19,41,66,32,6,57.0,2.0,95,6,4,2,4,3,-1,-1,-1,-3
20,43,74,37,2,60.0,1.0,95,6,12,7,0,1,5,3,1,-2
21,45,71,35,11,63.0,1.0,105,7,9,5,9,6,2,1,-1,-3
22,48,69,34,9,66.0,1.0,95,7,7,4,7,5,-5,-3,-1,-4
23,51,62,30,2,69.0,3.0,95,7,0,0,0,1,0,0,-1,-5
24,52,78,39,6,72.0,2.0,105,8,16,9,4,3,16,9,1,-4
25,54,74,37,2,75.0,2.0,95,8,12,7,0,1,0,0,-1,-5
26,56,81,41,9,78.0,2.0,95,8,19,11,7,5,3,2,1,-4
27,58,76,38,4,81.0,2.0,105,9,14,8,2,2,-2,-1,-1,-5
28,60,73,36,1,84.0,1.0,95,9,11,6,11,7,-1,-1,-1,-6
29,62,79,40,7,87.0,1.0,95,9,17,10,5,4,3,2,1,-5
30,65,78,39,6,90.0,2.0,105,10,16,9,4,3,2,1,-1,-6
31,67,74,37,2,93.0,2.0,95,10,12,7,0,1,0,0,-1,-7
32,69,81,41,9,96.0,2.0,95,10,19,11,7,5,3,2,1,-6
33,71,76,38,4,99.0,1.0,105,11,14,8,2,2,-2,-1,-1,-7
34,74,69,34,9,102.0,1.0,95,11,7,4,7,5,0,0,-1,-8
35,77,74,37,2,105.0,2.0,95,11,12,7,0,1,1,1,1,-7
36,79,78,39,6,108.0,2.0,105,12,16,9,4,3,-1,-1,1,-6
37,81,74,37,2,111.0,2.0,95,12,12,7,0,1,0,0,-1,-7
38,83,81,41,9,114.0,1.0,95,12,19,11,7,5,3,2,1,-6
39,86,76,38,4,117.0,2.0,105,13,14,8,2,2,-2,-1,-1,-7
40,88,73,36,1,120.0,2.0,95,13,11,6,11,7,0,0,-1,-8
41,90,79,40,7,123.0,1.0,95,13,17,10,5,4,3,2,1,-7
42,93,78,39,6,126.0,1.0,105,14,16,9,4,3,2,1,-1,-8
43,96,76,38,4,129.0,1.0,95,14,14,8,2,2,-2,-1,-1,-9
44,99,81,41,9,132.0,1.0,95,14,19,11,7,5,2,1,1,-8
45,102,76,38,4,135.0,1.0,105,15,14,8,2,2,-2,-1,-1,-9
46,105,69,34,9,138.0,1.0,95,15,7,4,7,5,-4,-2,-1,-10
47,108,74,37,2,141.0,1.0,95,15,12,7,0,1,1,1,1,-9
