,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,1,67,33,7,1.0,1.0,105,0,0,0,0,1,0,0,0,0
1,4,69,34,9,4.0,1.0,95,0,2,1,2,2,0,0,1,1
2,7,67,33,7,7.0,1.0,105,1,0,0,0,1,3,2,-1,0
3,10,67,33,7,10.0,1.0,95,1,0,0,0,1,0,0,0,0
4,13,76,38,4,13.0,1.0,105,2,9,5,9,6,2,1,1,1
5,16,74,37,2,16.0,1.0,95,2,7,4,7,5,-2,-1,-1,0
6,19,71,35,11,19.0,1.0,105,3,4,2,4,3,4,2,-1,-1
7,22,69,34,9,22.0,2.0,95,3,2,1,2,2,2,1,-1,-2
8,24,67,33,7,25.0,1.0,105,4,0,0,0,1,5,3,-1,-3
9,27,69,34,9,28.0,1.0,95,4,2,1,2,2,0,0,1,-2
10,30,67,33,7,31.0,1.0,105,5,0,0,0,1,3,2,-1,-3
11,33,67,33,7,34.0,1.0,95,5,0,0,0,1,0,0,0,-3
12,36,76,38,4,37.0,1.0,105,6,9,5,9,6,2,1,1,-2
13,39,74,37,2,40.0,1.0,95,6,7,4,7,5,-2,-1,-1,-3
14,42,69,34,9,43.0,1.0,105,7,2,1,2,2,2,1,-1,-4
15,45,67,33,7,46.0,2.0,95,7,0,0,0,1,1,1,-1,-5
16,47,67,33,7,49.0,1.0,105,8,0,0,0,1,5,3,0,-5
17,50,69,34,9,52.0,1.0,95,8,2,1,2,2,0,0,1,-4
18,53,67,33,7,55.0,1.0,105,9,0,0,0,1,3,2,-1,-5
19,56,67,33,7,58.0,1.0,95,9,0,0,0,1,0,0,0,-5
20,59,76,38,4,61.0,1.0,105,10,9,5,9,6,2,1,1,-4
21,62,74,37,2,64.0,1.0,95,10,7,4,7,5,-2,-1,-1,-5
22,65,71,35,11,67.0,1.0,105,11,4,2,4,3,4,2,-1,-6
23,68,69,34,9,70.0,2.0,95,11,2,1,2,2,2,1,-1,-7
24,70,67,33,7,73.0,1.0,105,12,0,0,0,1,5,3,-1,-8
25,73,69,34,9,76.0,1.0,95,12,2,1,2,2,0,0,1,-7
26,76,67,33,7,79.0,1.0,105,13,0,0,0,1,3,2,-1,-8
27,79,67,33,7,82.0,1.0,95,13,0,0,0,1,0,0,0,-8
28,82,76,38,4,85.0,1.0,105,14,9,5,9,6,2,1,1,-7
29,85,74,37,2,88.0,1.0,95,14,7,4,7,5,-2,-1,-1,-8
30,88,69,34,9,91.0,1.0,105,15,2,1,2,2,2,1,-1,-9
31,91,67,33,7,94.0,2.0,95,15,0,0,0,1,1,1,-1,-10
32,93,74,37,2,97.0,1.0,105,16,7,4,7,5,3,2,1,-9
33,96,79,40,7,100.0,3.0,95,16,12,7,0,1,1,1,1,-8
34,97,81,41,9,103.0,1.0,105,17,14,8,2,2,2,1,1,-7
35,100,76,38,4,106.0,1.0,95,17,9,5,9,6,0,0,-1,-8
36,103,79,40,7,109.0,2.0,105,18,12,7,0,1,8,5,1,-7
37,105,76,38,4,112.0,1.0,95,18,9,5,9,6,-3,-2,-1,-8
38,108,71,35,11,115.0,1.0,105,19,4,2,4,3,0,0,-1,-9
39,111,69,34,9,118.0,2.0,95,19,2,1,2,2,2,1,-1,-10
40,113,67,33,7,121.0,1.0,105,20,0,0,0,1,5,3,-1,-11
41,116,69,34,9,124.0,1.0,95,20,2,1,2,2,0,0,1,-10
42,119,67,33,7,127.0,1.0,105,21,0,0,0,1,3,2,-1,-11
43,122,67,33,7,130.0,1.0,95,21,0,0,0,1,0,0,0,-11
44,125,76,38,4,133.0,1.0,105,22,9,5,9,6,2,1,1,-10
45,128,74,37,2,136.0,1.0,95,22,7,4,7,5,-2,-1,-1,-11
46,131,69,34,9,139.0,1.0,105,23,2,1,2,2,2,1,-1,-12
47,134,67,33,7,142.0,2.0,95,23,0,0,0,1,1,1,-1,-13
48,136,74,37,2,145.0,1.0,105,24,7,4,7,5,3,2,1,-12
49,139,79,40,7,148.0,3.0,95,24,12,7,0,1,1,1,1,-11
50,140,81,41,9,151.0,1.0,105,25,14,8,2,2,2,1,1,-10
51,143,76,38,4,154.0,1.0,95,25,9,5,9,6,0,0,-1,-11
52,146,79,40,7,157.0,2.0,105,26,12,7,0,1,8,5,1,-10
53,148,76,38,4,160.0,1.0,95,26,9,5,9,6,-3,-2,-1,-11
54,151,71,35,11,163.0,1.0,105,27,4,2,4,3,0,0,-1,-12
55,154,69,34,9,166.0,2.0,95,27,2,1,2,2,2,1,-1,-13
56,156,67,33,7,169.0,1.0,105,28,0,0,0,1,5,3,-1,-14
57,159,69,34,9,172.0,1.0,95,28,2,1,2,2,0,0,1,-13
58,162,67,33,7,175.0,1.0,105,29,0,0,0,1,3,2,-1,-14
59,165,67,33,7,178.0,1.0,95,29,0,0,0,1,0,0,0,-14
60,168,76,38,4,181.0,1.0,105,30,9,5,9,6,2,1,1,-13
61,171,74,37,2,184.0,1.0,95,30,7,4,7,5,-2,-1,-1,-14
62,174,69,34,9,187.0,1.0,105,31,2,1,2,2,2,1,-1,-15
63,177,67,33,7,190.0,2.0,95,31,0,0,0,1,1,1,-1,-16
