,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,1,74,37,2,1.0,1.0,105,0,7,4,7,5,0,0,0,0
1,4,69,34,9,4.0,1.0,95,0,2,1,2,2,2,1,-1,-1
2,7,67,33,7,7.0,1.0,105,1,0,0,0,1,3,2,-1,-2
3,10,62,30,2,10.0,1.0,95,1,-5,-3,7,5,0,0,-1,-3
4,13,69,34,9,13.0,3.0,105,2,2,1,2,2,2,1,1,-2
5,14,69,34,9,16.0,1.0,95,2,2,1,2,2,0,0,0,-2
6,17,71,35,11,19.0,1.0,105,3,4,2,4,3,2,1,1,-1
7,20,69,34,9,22.0,2.0,95,3,2,1,2,2,0,0,-1,-2
8,22,74,37,2,25.0,1.0,105,4,7,4,7,5,-5,-3,1,-1
9,25,69,34,9,28.0,1.0,95,4,2,1,2,2,2,1,-1,-2
10,28,67,33,7,31.0,1.0,105,5,0,0,0,1,3,2,-1,-3
11,31,62,30,2,34.0,1.0,95,5,-5,-3,7,5,0,0,-1,-4
12,34,69,34,9,37.0,3.0,105,6,2,1,2,2,2,1,1,-3
13,35,69,34,9,40.0,1.0,95,6,2,1,2,2,0,0,0,-3
14,38,71,35,11,43.0,1.0,105,7,4,2,4,3,2,1,1,-2
15,41,67,33,7,46.0,2.0,95,7,0,0,0,1,0,0,-1,-3
16,43,74,37,2,49.0,1.0,105,8,7,4,7,5,-5,-3,1,-2
17,46,69,34,9,52.0,1.0,95,8,2,1,2,2,2,1,-1,-3
18,49,67,33,7,55.0,1.0,105,9,0,0,0,1,3,2,-1,-4
19,52,62,30,2,58.0,1.0,95,9,-5,-3,7,5,0,0,-1,-5
20,55,69,34,9,61.0,3.0,105,10,2,1,2,2,2,1,1,-4
21,56,69,34,9,64.0,1.0,95,10,2,1,2,2,0,0,0,-4
22,59,71,35,11,67.0,1.0,105,11,4,2,4,3,2,1,1,-3
23,62,69,34,9,70.0,2.0,95,11,2,1,2,2,0,0,-1,-4
24,64,74,37,2,73.0,1.0,105,12,7,4,7,5,-5,-3,1,-3
25,67,69,34,9,76.0,1.0,95,12,2,1,2,2,2,1,-1,-4
26,70,67,33,7,79.0,1.0,105,13,0,0,0,1,3,2,-1,-5
27,73,62,30,2,82.0,1.0,95,13,-5,-3,7,5,0,0,-1,-6
28,76,69,34,9,85.0,3.0,105,14,2,1,2,2,2,1,1,-5
29,77,69,34,9,88.0,1.0,95,14,2,1,2,2,0,0,0,-5
30,80,71,35,11,91.0,1.0,105,15,4,2,4,3,2,1,1,-4
31,83,67,33,7,94.0,2.0,95,15,0,0,0,1,0,0,-1,-5
32,85,71,35,11,97.0,1.0,105,16,4,2,4,3,2,1,1,-4
33,88,72,36,0,100.0,1.0,95,16,5,3,5,4,-2,-1,1,-3
34,91,71,35,11,103.0,1.0,105,17,4,2,4,3,-5,-3,-1,-4
35,94,74,37,2,106.0,1.0,95,17,7,4,7,5,0,0,1,-3
36,97,71,35,11,109.0,1.0,105,18,4,2,4,3,4,2,-1,-4
37,100,76,38,4,112.0,1.0,95,18,9,5,9,6,2,1,1,-3
38,103,74,37,2,115.0,1.0,105,19,7,4,7,5,-5,-3,-1,-4
39,106,69,34,9,118.0,2.0,95,19,2,1,2,2,2,1,-1,-5
40,108,71,35,11,121.0,1.0,105,20,4,2,4,3,4,2,1,-4
41,111,72,36,0,124.0,1.0,95,20,5,3,5,4,-2,-1,1,-3
42,114,71,35,11,127.0,1.0,105,21,4,2,4,3,-5,-3,-1,-4
43,117,74,37,2,130.0,1.0,95,21,7,4,7,5,0,0,1,-3
44,120,69,34,9,133.0,3.0,105,22,2,1,2,2,2,1,-1,-4
45,121,69,34,9,136.0,1.0,95,22,2,1,2,2,0,0,0,-4
46,124,71,35,11,139.0,1.0,105,23,4,2,4,3,2,1,1,-3
47,127,67,33,7,142.0,2.0,95,23,0,0,0,1,0,0,-1,-4
48,129,69,34,9,145.0,1.0,105,24,2,1,2,2,0,0,1,-3
49,130,71,35,11,146.0,1.0,105,25,4,2,4,3,2,1,1,-2
50,133,72,36,0,149.0,1.0,95,25,5,3,5,4,-2,-1,1,-1
51,136,71,35,11,152.0,1.0,105,26,4,2,4,3,-5,-3,-1,-2
52,139,74,37,2,155.0,1.0,95,26,7,4,7,5,0,0,1,-1
53,142,71,35,11,158.0,1.0,105,27,4,2,4,3,4,2,-1,-2
54,145,76,38,4,161.0,1.0,95,27,9,5,9,6,2,1,1,-1
55,148,74,37,2,164.0,1.0,105,28,7,4,7,5,-5,-3,-1,-2
56,151,69,34,9,167.0,2.0,95,28,2,1,2,2,2,1,-1,-3
57,153,71,35,11,170.0,1.0,105,29,4,2,4,3,4,2,1,-2
58,156,72,36,0,173.0,1.0,95,29,5,3,5,4,-2,-1,1,-1
59,159,71,35,11,176.0,1.0,105,30,4,2,4,3,-5,-3,-1,-2
60,162,74,37,2,179.0,1.0,95,30,7,4,7,5,0,0,1,-1
61,165,69,34,9,182.0,3.0,105,31,2,1,2,2,2,1,-1,-2
62,166,69,34,9,185.0,1.0,95,31,2,1,2,2,0,0,0,-2
63,169,71,35,11,188.0,1.0,105,32,4,2,4,3,2,1,1,-1
64,172,67,33,7,191.0,2.0,95,32,0,0,0,1,0,0,-1,-2
