,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,1,69,34,9,1.0,1.5,105,0,0,0,0,1,0,0,0,0
1,4,69,34,9,4.0,1.5,95,0,0,0,0,1,0,0,0,0
2,7,69,34,9,7.0,1.5,105,1,0,0,0,1,-4,-2,0,0
3,10,78,39,6,10.0,1.5,95,1,9,5,9,6,2,1,1,1
4,13,71,35,11,13.0,1.5,105,2,2,1,2,2,-2,-1,-1,0
5,16,71,35,11,16.0,1.5,95,2,2,1,2,2,0,0,0,0
6,19,71,35,11,19.0,1.5,105,3,2,1,2,2,2,1,0,0
7,22,78,39,6,22.0,1.5,95,3,9,5,9,6,2,1,1,1
8,25,69,34,9,25.0,1.5,105,4,0,0,0,1,-12,-7,-1,0
9,28,69,34,9,28.0,1.5,95,4,0,0,0,1,0,0,0,0
10,31,69,34,9,31.0,1.5,105,5,0,0,0,1,-4,-2,0,0
11,34,78,39,6,34.0,1.5,95,5,9,5,9,6,2,1,1,1
12,37,78,39,6,37.0,0.5,105,6,9,5,9,6,5,3,0,1
13,40,76,38,4,40.0,1.5,95,6,7,4,7,5,-2,-1,-1,0
14,43,69,34,9,43.0,1.5,105,7,0,0,0,1,-4,-2,-1,-1
15,46,69,34,9,46.0,2.0,95,7,0,0,0,1,0,0,0,-1
16,48,69,34,9,49.0,1.5,105,8,0,0,0,1,-7,-4,0,-1
17,51,69,34,9,52.0,1.5,95,8,0,0,0,1,0,0,0,-1
18,54,69,34,9,55.0,1.5,105,9,0,0,0,1,-4,-2,0,-1
19,57,78,39,6,58.0,1.5,95,9,9,5,9,6,2,1,1,0
20,60,71,35,11,61.0,1.5,105,10,2,1,2,2,-2,-1,-1,-1
21,63,71,35,11,64.0,1.5,95,10,2,1,2,2,0,0,0,-1
22,66,71,35,11,67.0,1.5,105,11,2,1,2,2,2,1,0,-1
23,69,78,39,6,70.0,1.5,95,11,9,5,9,6,2,1,1,0
24,72,69,34,9,73.0,1.5,105,12,0,0,0,1,-12,-7,-1,-1
25,75,69,34,9,76.0,1.5,95,12,0,0,0,1,0,0,0,-1
26,78,69,34,9,79.0,1.5,105,13,0,0,0,1,-4,-2,0,-1
27,81,78,39,6,82.0,1.5,95,13,9,5,9,6,2,1,1,0
28,84,78,39,6,85.0,0.5,105,14,9,5,9,6,5,3,0,0
29,87,76,38,4,88.0,1.5,95,14,7,4,7,5,-2,-1,-1,-1
30,90,69,34,9,91.0,1.5,105,15,0,0,0,1,-4,-2,-1,-2
31,93,69,34,9,94.0,2.0,95,15,0,0,0,1,0,0,0,-2
32,95,78,39,6,97.0,1.5,105,16,9,5,9,6,2,1,1,-1
33,98,78,39,6,100.0,1.5,95,16,9,5,9,6,0,0,0,-1
34,101,78,39,6,103.0,1.5,105,17,9,5,9,6,-3,-2,0,-1
35,104,78,39,6,106.0,2.0,95,17,9,5,9,6,0,0,0,-1
36,106,76,38,4,109.0,1.5,105,18,7,4,7,5,3,2,-1,-2
37,109,78,39,6,112.0,1.5,95,18,9,5,9,6,2,1,1,-1
38,112,76,38,4,115.0,1.5,105,19,7,4,7,5,-5,-3,-1,-2
39,115,76,38,4,118.0,2.0,95,19,7,4,7,5,0,0,0,-2
40,117,73,36,1,121.0,1.5,105,20,4,2,4,3,2,1,-1,-3
41,120,73,36,1,124.0,1.5,95,20,4,2,4,3,0,0,0,-3
42,123,69,34,9,127.0,1.5,105,21,0,0,0,1,0,0,-1,-4
43,126,71,35,11,130.0,1.5,95,21,2,1,2,2,2,1,1,-3
44,129,78,39,6,133.0,0.5,105,22,9,5,9,6,2,1,1,-2
45,132,76,38,4,136.0,1.5,95,22,7,4,7,5,-2,-1,-1,-3
46,135,69,34,9,139.0,1.5,105,23,0,0,0,1,-4,-2,-1,-4
47,138,69,34,9,142.0,2.0,95,23,0,0,0,1,0,0,0,-4
48,140,78,39,6,145.0,1.5,105,24,9,5,9,6,2,1,1,-3
49,143,78,39,6,148.0,1.5,95,24,9,5,9,6,0,0,0,-3
50,146,78,39,6,151.0,1.5,105,25,9,5,9,6,-3,-2,0,-3
51,149,78,39,6,154.0,2.0,95,25,9,5,9,6,0,0,0,-3
52,151,76,38,4,157.0,1.5,105,26,7,4,7,5,3,2,-1,-4
53,154,78,39,6,160.0,1.5,95,26,9,5,9,6,2,1,1,-3
54,157,76,38,4,163.0,1.5,105,27,7,4,7,5,-5,-3,-1,-4
55,160,76,38,4,166.0,2.0,95,27,7,4,7,5,0,0,0,-4
56,162,73,36,1,169.0,1.5,105,28,4,2,4,3,2,1,-1,-5
57,165,73,36,1,172.0,1.5,95,28,4,2,4,3,0,0,0,-5
58,168,69,34,9,175.0,1.5,105,29,0,0,0,1,0,0,-1,-6
59,171,71,35,11,178.0,1.5,95,29,2,1,2,2,2,1,1,-5
60,174,78,39,6,181.0,0.5,105,30,9,5,9,6,2,1,1,-4
61,177,76,38,4,184.0,1.5,95,30,7,4,7,5,-2,-1,-1,-5
62,180,69,34,9,187.0,1.5,105,31,0,0,0,1,-4,-2,-1,-6
63,183,69,34,9,190.0,2.0,95,31,0,0,0,1,0,0,0,-6
64,185,69,34,9,193.0,1.5,105,32,0,0,0,1,-7,-4,0,-6
65,188,73,36,1,196.0,1.5,95,32,4,2,4,3,4,2,1,-5
66,191,73,36,1,199.0,0.5,105,33,4,2,4,3,4,2,0,-5
67,194,73,36,1,202.0,1.5,95,33,4,2,4,3,4,2,0,-5
68,197,71,35,11,205.0,1.5,105,34,2,1,2,2,2,1,-1,-6
69,200,71,35,11,208.0,1.5,95,34,2,1,2,2,0,0,0,-6
70,203,78,39,6,211.0,1.0,105,35,9,5,9,6,2,1,1,-5
71,206,78,39,6,214.0,1.0,95,35,9,5,9,6,-3,-2,0,-5
72,209,69,34,9,217.0,1.5,105,36,0,0,0,1,-4,-2,-1,-6
73,212,73,36,1,220.0,1.5,95,36,4,2,4,3,4,2,1,-5
74,215,73,36,1,223.0,0.5,105,37,4,2,4,3,4,2,0,-5
75,218,71,35,11,226.0,1.5,95,37,2,1,2,2,2,1,-1,-6
76,221,78,39,6,229.0,0.5,105,38,9,5,9,6,2,1,1,-5
77,224,76,38,4,232.0,1.5,95,38,7,4,7,5,-2,-1,-1,-6
78,227,69,34,9,235.0,1.5,105,39,0,0,0,1,-4,-2,-1,-7
79,230,69,34,9,238.0,2.0,95,39,0,0,0,1,0,0,0,-7
80,232,69,34,9,241.0,1.5,105,40,0,0,0,1,-7,-4,0,-7
81,235,73,36,1,244.0,1.5,95,40,4,2,4,3,4,2,1,-6
82,238,73,36,1,247.0,0.5,105,41,4,2,4,3,4,2,0,-6
83,241,73,36,1,250.0,1.5,95,41,4,2,4,3,4,2,0,-6
84,244,71,35,11,253.0,1.5,105,42,2,1,2,2,2,1,-1,-7
85,247,71,35,11,256.0,1.5,95,42,2,1,2,2,0,0,0,-7
86,250,78,39,6,259.0,1.0,105,43,9,5,9,6,2,1,1,-6
87,253,78,39,6,262.0,1.0,95,43,9,5,9,6,-3,-2,0,-6
88,256,69,34,9,265.0,1.5,105,44,0,0,0,1,-4,-2,-1,-7
89,259,73,36,1,268.0,1.5,95,44,4,2,4,3,4,2,1,-6
90,262,73,36,1,271.0,0.5,105,45,4,2,4,3,4,2,0,-6
91,265,71,35,11,274.0,1.5,95,45,2,1,2,2,2,1,-1,-7
92,268,78,39,6,277.0,0.5,105,46,9,5,9,6,2,1,1,-6
93,271,76,38,4,280.0,1.5,95,46,7,4,7,5,-2,-1,-1,-7
94,274,69,34,9,283.0,1.5,105,47,0,0,0,1,-4,-2,-1,-8
95,277,69,34,9,286.0,2.0,95,47,0,0,0,1,0,0,0,-8
96,280,81,41,9,289.0,1.5,105,48,12,7,0,1,1,1,1,-7
97,283,78,39,6,292.0,1.5,95,48,9,5,9,6,0,0,-1,-8
98,286,81,41,9,295.0,1.5,105,49,12,7,0,1,3,2,1,-7
99,289,78,39,6,298.0,1.5,95,49,9,5,9,6,0,0,-1,-8
100,292,78,39,6,301.0,1.5,105,50,9,5,9,6,5,3,0,-8
101,295,76,38,4,304.0,1.5,95,50,7,4,7,5,0,0,-1,-9
102,298,78,39,6,307.0,1.0,105,51,9,5,9,6,2,1,1,-8
103,301,76,38,4,310.0,1.0,95,51,7,4,7,5,3,2,-1,-9
104,304,73,36,1,313.0,1.5,105,52,4,2,4,3,2,1,-1,-10
105,307,69,34,9,316.0,1.5,95,52,0,0,0,1,0,0,-1,-11
106,310,71,35,11,319.0,1.5,105,53,2,1,2,2,2,1,1,-10
107,313,78,39,6,322.0,2.0,95,53,9,5,9,6,2,1,1,-9
108,315,78,39,6,325.0,0.5,105,54,9,5,9,6,2,1,0,-9
109,318,76,38,4,328.0,1.5,95,54,7,4,7,5,-2,-1,-1,-10
110,321,69,34,9,331.0,1.5,105,55,0,0,0,1,-4,-2,-1,-11
111,324,69,34,9,334.0,2.0,95,55,0,0,0,1,0,0,0,-11
112,327,81,41,9,337.0,1.5,105,56,12,7,0,1,1,1,1,-10
113,330,78,39,6,340.0,1.5,95,56,9,5,9,6,0,0,-1,-11
114,333,81,41,9,343.0,1.5,105,57,12,7,0,1,3,2,1,-10
115,336,78,39,6,346.0,1.5,95,57,9,5,9,6,0,0,-1,-11
116,339,78,39,6,349.0,1.5,105,58,9,5,9,6,5,3,0,-11
117,342,76,38,4,352.0,1.5,95,58,7,4,7,5,0,0,-1,-12
118,345,78,39,6,355.0,1.0,105,59,9,5,9,6,2,1,1,-11
119,348,76,38,4,358.0,1.0,95,59,7,4,7,5,3,2,-1,-12
120,351,73,36,1,361.0,1.5,105,60,4,2,4,3,2,1,-1,-13
121,354,69,34,9,364.0,1.5,95,60,0,0,0,1,0,0,-1,-14
122,357,71,35,11,367.0,1.5,105,61,2,1,2,2,2,1,1,-13
123,360,78,39,6,370.0,2.0,95,61,9,5,9,6,2,1,1,-12
124,362,78,39,6,373.0,0.5,105,62,9,5,9,6,2,1,0,-12
125,365,76,38,4,376.0,1.5,95,62,7,4,7,5,-2,-1,-1,-13
126,368,69,34,9,379.0,1.5,105,63,0,0,0,1,-4,-2,-1,-14
127,371,69,34,9,382.0,2.0,95,63,0,0,0,1,0,0,0,-14
