,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,1,69,34,9,2.0,2.0,105,0,7,4,7,5,0,0,0,0
1,3,79,40,7,6.0,1.0,95,0,17,10,5,4,-2,-1,1,1
2,7,67,33,7,10.0,1.0,105,1,5,3,5,4,-9,-5,-1,0
3,11,76,38,4,14.0,3.0,95,1,14,8,2,2,-5,-3,1,1
4,13,79,40,7,18.0,2.0,105,2,17,10,5,4,1,1,1,2
5,16,79,40,7,22.0,1.0,95,2,17,10,5,4,12,7,0,2
6,20,71,35,11,26.0,1.0,105,3,9,5,9,6,-5,-3,-1,1
7,24,74,37,2,30.0,2.0,95,3,12,7,0,1,7,4,1,2
8,26,69,34,9,34.0,2.0,105,4,7,4,7,5,-7,-4,-1,1
9,28,79,40,7,38.0,1.0,95,4,17,10,5,4,-2,-1,1,2
10,32,67,33,7,42.0,1.0,105,5,5,3,5,4,-9,-5,-1,1
11,36,76,38,4,46.0,3.0,95,5,14,8,2,2,-5,-3,1,2
12,38,79,40,7,50.0,1.0,105,6,17,10,5,4,1,1,1,3
13,42,74,37,2,54.0,1.0,95,6,12,7,0,1,-2,-1,-1,2
14,46,69,34,9,58.0,4.0,105,7,7,4,7,5,-7,-4,-1,1
15,47,69,34,9,62.0,2.0,95,7,7,4,7,5,0,0,0,1
16,49,69,34,9,66.0,2.0,105,8,7,4,7,5,-7,-4,0,1
17,51,79,40,7,70.0,1.0,95,8,17,10,5,4,-2,-1,1,2
18,55,67,33,7,74.0,1.0,105,9,5,3,5,4,-9,-5,-1,1
19,59,76,38,4,78.0,3.0,95,9,14,8,2,2,-5,-3,1,2
20,61,79,40,7,82.0,2.0,105,10,17,10,5,4,1,1,1,3
21,64,79,40,7,86.0,1.0,95,10,17,10,5,4,12,7,0,3
22,68,71,35,11,90.0,1.0,105,11,9,5,9,6,-5,-3,-1,2
23,72,74,37,2,94.0,2.0,95,11,12,7,0,1,7,4,1,3
24,74,69,34,9,98.0,2.0,105,12,7,4,7,5,-7,-4,-1,2
25,76,79,40,7,102.0,1.0,95,12,17,10,5,4,-2,-1,1,3
26,80,67,33,7,106.0,1.0,105,13,5,3,5,4,-9,-5,-1,2
27,84,76,38,4,110.0,3.0,95,13,14,8,2,2,-5,-3,1,3
28,86,79,40,7,114.0,1.0,105,14,17,10,5,4,1,1,1,4
29,90,74,37,2,118.0,1.0,95,14,12,7,0,1,-2,-1,-1,3
30,94,69,34,9,122.0,4.0,105,15,7,4,7,5,-7,-4,-1,2
31,95,69,34,9,126.0,2.0,95,15,7,4,7,5,0,0,0,2
32,98,79,40,7,130.0,1.0,105,16,17,10,5,4,1,1,1,3
33,102,74,37,2,134.0,1.0,95,16,12,7,0,1,-2,-1,-1,2
34,106,67,33,7,138.0,1.0,105,17,5,3,5,4,-9,-5,-1,1
35,110,76,38,4,142.0,3.0,95,17,14,8,2,2,-5,-3,1,2
36,112,79,40,7,146.0,2.0,105,18,17,10,5,4,1,1,1,3
37,115,79,40,7,150.0,1.0,95,18,17,10,5,4,12,7,0,3
38,119,71,35,11,154.0,1.0,105,19,9,5,9,6,-5,-3,-1,2
39,123,74,37,2,158.0,2.0,95,19,12,7,0,1,7,4,1,3
40,126,79,40,7,162.0,1.0,105,20,17,10,5,4,1,1,1,4
41,130,74,37,2,166.0,1.0,95,20,12,7,0,1,-2,-1,-1,3
42,134,67,33,7,170.0,1.0,105,21,5,3,5,4,-9,-5,-1,2
43,138,76,38,4,174.0,3.0,95,21,14,8,2,2,-5,-3,1,3
44,140,79,40,7,178.0,1.0,105,22,17,10,5,4,1,1,1,4
45,144,74,37,2,182.0,1.0,95,22,12,7,0,1,-2,-1,-1,3
46,148,69,34,9,186.0,4.0,105,23,7,4,7,5,-7,-4,-1,2
47,149,69,34,9,190.0,2.0,95,23,7,4,7,5,0,0,0,2
48,152,79,40,7,194.0,1.0,105,24,17,10,5,4,1,1,1,3
49,156,74,37,2,198.0,1.0,95,24,12,7,0,1,-2,-1,-1,2
50,160,67,33,7,202.0,1.0,105,25,5,3,5,4,-9,-5,-1,1
51,164,76,38,4,206.0,3.0,95,25,14,8,2,2,-5,-3,1,2
52,166,79,40,7,210.0,2.0,105,26,17,10,5,4,1,1,1,3
53,169,79,40,7,214.0,1.0,95,26,17,10,5,4,12,7,0,3
54,173,71,35,11,218.0,1.0,105,27,9,5,9,6,-5,-3,-1,2
55,177,74,37,2,222.0,2.0,95,27,12,7,0,1,7,4,1,3
56,180,79,40,7,226.0,1.0,105,28,17,10,5,4,1,1,1,4
57,184,74,37,2,230.0,1.0,95,28,12,7,0,1,-2,-1,-1,3
58,188,67,33,7,234.0,1.0,105,29,5,3,5,4,-9,-5,-1,2
59,192,76,38,4,238.0,3.0,95,29,14,8,2,2,-5,-3,1,3
60,194,79,40,7,242.0,1.0,105,30,17,10,5,4,1,1,1,4
61,198,74,37,2,246.0,1.0,95,30,12,7,0,1,-2,-1,-1,3
62,202,69,34,9,250.0,4.0,105,31,7,4,7,5,-7,-4,-1,2
63,203,69,34,9,254.0,2.0,95,31,7,4,7,5,0,0,0,2
64,205,69,34,9,258.0,1.0,105,32,7,4,7,5,-7,-4,0,2
65,209,79,40,7,262.0,1.0,95,32,17,10,5,4,3,2,1,3
66,213,69,34,9,266.0,1.0,105,33,7,4,7,5,-7,-4,-1,2
67,217,79,40,7,270.0,1.0,95,33,17,10,5,4,3,2,1,3
68,221,79,40,7,274.0,2.0,105,34,17,10,5,4,1,1,0,3
69,224,79,40,7,278.0,1.0,95,34,17,10,5,4,12,7,0,3
70,228,71,35,11,282.0,1.0,105,35,9,5,9,6,-5,-3,-1,2
71,232,74,37,2,286.0,2.0,95,35,12,7,0,1,7,4,1,3
72,234,69,34,9,290.0,1.0,105,36,7,4,7,5,-7,-4,-1,2
73,238,79,40,7,294.0,1.0,95,36,17,10,5,4,3,2,1,3
74,242,69,34,9,298.0,1.0,105,37,7,4,7,5,-7,-4,-1,2
75,246,79,40,7,302.0,1.0,95,37,17,10,5,4,3,2,1,3
76,250,79,40,7,306.0,1.0,105,38,17,10,5,4,1,1,0,3
77,254,74,37,2,310.0,1.0,95,38,12,7,0,1,-2,-1,-1,2
78,258,69,34,9,314.0,4.0,105,39,7,4,7,5,-7,-4,-1,1
79,259,69,34,9,318.0,2.0,95,39,7,4,7,5,0,0,0,1
80,261,69,34,9,322.0,1.0,105,40,7,4,7,5,-7,-4,0,1
81,265,79,40,7,326.0,1.0,95,40,17,10,5,4,3,2,1,2
82,269,69,34,9,330.0,1.0,105,41,7,4,7,5,-7,-4,-1,1
83,273,79,40,7,334.0,1.0,95,41,17,10,5,4,3,2,1,2
84,277,79,40,7,338.0,2.0,105,42,17,10,5,4,1,1,0,2
85,280,79,40,7,342.0,1.0,95,42,17,10,5,4,12,7,0,2
86,284,71,35,11,346.0,1.0,105,43,9,5,9,6,-5,-3,-1,1
87,288,74,37,2,350.0,2.0,95,43,12,7,0,1,7,4,1,2
