,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,1,69,34,9,1.0,1.5,105,0,7,4,7,5,0,0,0,0
1,4,76,38,4,4.0,2.0,95,0,14,8,2,2,7,4,1,1
2,6,79,40,7,7.0,1.5,105,1,17,10,5,4,1,1,1,2
3,9,76,38,4,10.0,1.5,95,1,14,8,2,2,0,0,-1,1
4,12,69,34,9,13.0,1.5,105,2,7,4,7,5,-2,-1,-1,0
5,15,76,38,4,16.0,1.5,95,2,14,8,2,2,7,4,1,1
6,18,74,37,2,19.0,3.0,105,3,12,7,0,1,3,2,-1,0
7,19,76,38,4,22.0,2.0,95,3,14,8,2,2,2,1,1,1
8,21,79,40,7,25.0,1.5,105,4,17,10,5,4,1,1,1,2
9,24,76,38,4,28.0,1.5,95,4,14,8,2,2,0,0,-1,1
10,27,74,37,2,31.0,2.0,105,5,12,7,0,1,3,2,-1,0
11,29,71,35,11,34.0,1.5,95,5,9,5,9,6,-5,-3,-1,-1
12,32,69,34,9,37.0,1.5,105,6,7,4,7,5,2,1,-1,-2
13,35,76,38,4,40.0,2.0,95,6,14,8,2,2,2,1,1,-1
14,37,69,34,9,43.0,1.5,105,7,7,4,7,5,-2,-1,-1,-2
15,40,69,34,9,46.0,2.0,95,7,7,4,7,5,0,0,0,-2
16,42,69,34,9,49.0,1.5,105,8,7,4,7,5,-7,-4,0,-2
17,45,76,38,4,52.0,2.0,95,8,14,8,2,2,7,4,1,-1
18,47,79,40,7,55.0,1.5,105,9,17,10,5,4,1,1,1,0
19,50,76,38,4,58.0,1.5,95,9,14,8,2,2,0,0,-1,-1
20,53,69,34,9,61.0,1.5,105,10,7,4,7,5,-2,-1,-1,-2
21,56,76,38,4,64.0,1.5,95,10,14,8,2,2,7,4,1,-1
22,59,74,37,2,67.0,3.0,105,11,12,7,0,1,3,2,-1,-2
23,60,76,38,4,70.0,2.0,95,11,14,8,2,2,2,1,1,-1
