,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,1,69,34,9,1.0,1.5,105,0,7,4,7,5,0,0,0,0
1,5,76,38,4,5.0,1.0,95,0,14,8,2,2,2,1,1,1
2,9,73,36,1,9.0,1.0,105,1,11,6,11,7,-1,-1,-1,0
3,14,74,37,2,13.0,1.5,95,1,12,7,0,1,1,1,1,1
4,18,69,34,9,17.0,1.5,105,2,7,4,7,5,-2,-1,-1,0
5,22,76,38,4,21.0,1.0,95,2,14,8,2,2,2,1,1,1
6,26,73,36,1,25.0,1.0,105,3,11,6,11,7,-1,-1,-1,0
7,31,69,34,9,29.0,2.0,95,3,7,4,7,5,-2,-1,-1,-1
8,34,69,34,9,33.0,1.5,105,4,7,4,7,5,5,3,0,-1
9,38,76,38,4,37.0,1.0,95,4,14,8,2,2,2,1,1,0
10,42,73,36,1,41.0,1.0,105,5,11,6,11,7,-1,-1,-1,-1
11,47,74,37,2,45.0,1.5,95,5,12,7,0,1,1,1,1,0
12,51,69,34,9,49.0,1.5,105,6,7,4,7,5,-2,-1,-1,-1
13,55,76,38,4,53.0,1.0,95,6,14,8,2,2,2,1,1,0
14,59,73,36,1,57.0,1.0,105,7,11,6,11,7,-1,-1,-1,-1
15,64,69,34,9,61.0,2.0,95,7,7,4,7,5,-2,-1,-1,-2
16,68,76,38,4,65.0,1.0,105,8,14,8,2,2,-2,-1,1,-1
17,73,76,38,4,69.0,1.0,95,8,14,8,2,2,-2,-1,0,-1
18,77,73,36,1,73.0,1.0,105,9,11,6,11,7,-1,-1,-1,-2
19,82,74,37,2,77.0,1.5,95,9,12,7,0,1,1,1,1,-1
20,87,76,38,4,81.0,1.0,105,10,14,8,2,2,-2,-1,1,0
21,92,76,38,4,85.0,1.0,95,10,14,8,2,2,-2,-1,0,0
22,96,73,36,1,89.0,1.0,105,11,11,6,11,7,-1,-1,-1,-1
23,101,69,34,9,93.0,2.0,95,11,7,4,7,5,-2,-1,-1,-2
24,105,76,38,4,97.0,1.0,105,12,14,8,2,2,-2,-1,1,-1
25,110,76,38,4,101.0,1.0,95,12,14,8,2,2,-2,-1,0,-1
26,114,73,36,1,105.0,1.0,105,13,11,6,11,7,-1,-1,-1,-2
27,119,74,37,2,109.0,1.5,95,13,12,7,0,1,1,1,1,-1
28,123,69,34,9,113.0,1.5,105,14,7,4,7,5,-2,-1,-1,-2
29,127,76,38,4,117.0,1.0,95,14,14,8,2,2,2,1,1,-1
30,131,73,36,1,121.0,1.0,105,15,11,6,11,7,-1,-1,-1,-2
31,136,69,34,9,125.0,2.0,95,15,7,4,7,5,-2,-1,-1,-3
