,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,3,74,37,2,1.0,3.0,105,0,12,7,0,1,0,0,0,0
1,4,69,34,9,4.0,2.0,95,0,7,4,7,5,-5,-3,-1,-1
2,6,66,32,6,7.0,1.0,105,1,4,2,4,3,-1,-1,-1,-2
3,9,62,30,2,10.0,1.0,95,1,0,0,0,1,-4,-2,-1,-3
4,12,67,33,7,13.0,2.0,105,2,5,3,5,4,1,1,1,-2
5,14,76,38,4,16.0,2.0,95,2,14,8,2,2,5,3,1,-1
6,16,73,36,1,19.0,1.0,105,3,11,6,11,7,-1,-1,-1,-2
7,19,79,40,7,22.0,1.0,95,3,17,10,5,4,-2,-1,1,-1
8,22,74,37,2,25.0,3.0,105,4,12,7,0,1,-2,-1,-1,-2
9,23,69,34,9,28.0,2.0,95,4,7,4,7,5,-5,-3,-1,-3
10,25,66,32,6,31.0,1.0,105,5,4,2,4,3,-1,-1,-1,-4
11,28,62,30,2,34.0,1.0,95,5,0,0,0,1,-4,-2,-1,-5
12,31,67,33,7,37.0,1.0,105,6,5,3,5,4,1,1,1,-4
13,34,73,36,1,40.0,1.0,95,6,11,6,11,7,-3,-2,1,-3
14,37,74,37,2,43.0,3.0,105,7,12,7,0,1,1,1,1,-2
15,38,74,37,2,46.0,2.0,95,7,12,7,0,1,0,0,0,-2
16,42,74,37,2,49.0,3.0,105,8,12,7,0,1,1,1,0,-2
17,43,69,34,9,52.0,2.0,95,8,7,4,7,5,-5,-3,-1,-3
18,45,66,32,6,55.0,1.0,105,9,4,2,4,3,-1,-1,-1,-4
19,48,62,30,2,58.0,1.0,95,9,0,0,0,1,-4,-2,-1,-5
20,51,67,33,7,61.0,2.0,105,10,5,3,5,4,1,1,1,-4
21,53,76,38,4,64.0,2.0,95,10,14,8,2,2,5,3,1,-3
22,55,73,36,1,67.0,1.0,105,11,11,6,11,7,-1,-1,-1,-4
23,58,79,40,7,70.0,1.0,95,11,17,10,5,4,-2,-1,1,-3
24,61,74,37,2,73.0,3.0,105,12,12,7,0,1,-2,-1,-1,-4
25,62,69,34,9,76.0,2.0,95,12,7,4,7,5,-5,-3,-1,-5
26,64,66,32,6,79.0,1.0,105,13,4,2,4,3,-1,-1,-1,-6
27,67,62,30,2,82.0,1.0,95,13,0,0,0,1,-4,-2,-1,-7
28,70,67,33,7,85.0,1.0,105,14,5,3,5,4,1,1,1,-6
29,73,73,36,1,88.0,1.0,95,14,11,6,11,7,-3,-2,1,-5
30,76,74,37,2,91.0,3.0,105,15,12,7,0,1,1,1,1,-4
31,77,74,37,2,94.0,2.0,95,15,12,7,0,1,0,0,0,-4
32,80,76,38,4,97.0,2.0,105,16,14,8,2,2,2,1,1,-3
33,82,69,34,9,100.0,1.0,95,16,7,4,7,5,-4,-2,-1,-4
34,85,78,39,6,103.0,2.0,105,17,16,9,4,3,2,1,1,-3
35,87,69,34,9,106.0,1.0,95,17,7,4,7,5,-5,-3,-1,-4
36,90,79,40,7,109.0,1.0,105,18,17,10,5,4,1,1,1,-3
37,93,78,39,6,112.0,1.0,95,18,16,9,4,3,-1,-1,-1,-4
38,96,76,38,4,115.0,1.0,105,19,14,8,2,2,2,1,-1,-5
39,99,69,34,9,118.0,1.0,95,19,7,4,7,5,0,0,-1,-6
40,102,74,37,2,121.0,1.0,105,20,12,7,0,1,1,1,1,-5
41,105,67,33,7,124.0,1.0,95,20,5,3,5,4,1,1,-1,-6
42,108,73,36,1,127.0,1.0,105,21,11,6,11,7,-3,-2,1,-5
43,111,74,37,2,130.0,1.0,95,21,12,7,0,1,1,1,1,-4
44,114,78,39,6,133.0,1.0,105,22,16,9,4,3,-3,-2,1,-3
45,117,79,40,7,136.0,1.0,95,22,17,10,5,4,1,1,1,-2
46,120,74,37,2,139.0,3.0,105,23,12,7,0,1,1,1,-1,-3
47,121,74,37,2,142.0,2.0,95,23,12,7,0,1,0,0,0,-3
48,124,76,38,4,145.0,2.0,105,24,14,8,2,2,2,1,1,-2
49,126,69,34,9,148.0,1.0,95,24,7,4,7,5,-4,-2,-1,-3
50,129,78,39,6,151.0,2.0,105,25,16,9,4,3,2,1,1,-2
51,131,69,34,9,154.0,1.0,95,25,7,4,7,5,-5,-3,-1,-3
52,134,79,40,7,157.0,1.0,105,26,17,10,5,4,1,1,1,-2
53,137,78,39,6,160.0,1.0,95,26,16,9,4,3,-1,-1,-1,-3
54,140,76,38,4,163.0,1.0,105,27,14,8,2,2,2,1,-1,-4
55,143,69,34,9,166.0,1.0,95,27,7,4,7,5,0,0,-1,-5
56,146,74,37,2,169.0,1.0,105,28,12,7,0,1,1,1,1,-4
57,149,67,33,7,172.0,1.0,95,28,5,3,5,4,1,1,-1,-5
58,152,73,36,1,175.0,1.0,105,29,11,6,11,7,-3,-2,1,-4
59,155,74,37,2,178.0,1.0,95,29,12,7,0,1,1,1,1,-3
60,158,78,39,6,181.0,1.0,105,30,16,9,4,3,-3,-2,1,-2
61,161,79,40,7,184.0,1.0,95,30,17,10,5,4,1,1,1,-1
62,164,74,37,2,187.0,3.0,105,31,12,7,0,1,1,1,-1,-2
63,165,74,37,2,190.0,2.0,95,31,12,7,0,1,0,0,0,-2
