,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,62,30,2,0.0,2.0,105,0,0,0,0,1,0,0,0,0
1,3,71,35,11,4.0,1.0,95,0,9,5,9,6,9,5,1,1
2,7,62,30,2,8.0,1.0,105,1,0,0,0,1,-4,-2,-1,0
3,11,64,31,4,12.0,1.0,95,1,2,1,2,2,2,1,1,1
4,15,62,30,2,16.0,2.0,105,2,0,0,0,1,5,3,-1,0
5,18,71,35,11,20.0,1.0,95,2,9,5,9,6,9,5,1,1
6,22,64,31,4,24.0,1.0,105,3,2,1,2,2,2,1,-1,0
7,26,64,31,4,28.0,1.0,95,3,2,1,2,2,2,1,0,0
8,30,62,30,2,32.0,2.0,105,4,0,0,0,1,-2,-1,-1,-1
9,33,71,35,11,36.0,1.0,95,4,9,5,9,6,9,5,1,0
10,37,62,30,2,40.0,1.0,105,5,0,0,0,1,-4,-2,-1,-1
11,41,64,31,4,44.0,1.0,95,5,2,1,2,2,2,1,1,0
12,45,64,31,4,48.0,1.0,105,6,2,1,2,2,2,1,0,0
13,49,64,31,4,52.0,2.0,95,6,2,1,2,2,2,1,0,0
14,52,71,35,11,56.0,1.0,105,7,9,5,9,6,2,1,1,1
15,56,74,37,2,60.0,1.0,95,7,12,7,0,1,1,1,1,2
16,60,62,30,2,64.0,2.0,105,8,0,0,0,1,-4,-2,-1,1
17,63,71,35,11,68.0,1.0,95,8,9,5,9,6,9,5,1,2
18,67,62,30,2,72.0,1.0,105,9,0,0,0,1,-4,-2,-1,1
19,71,64,31,4,76.0,1.0,95,9,2,1,2,2,2,1,1,2
20,75,62,30,2,80.0,2.0,105,10,0,0,0,1,5,3,-1,1
21,78,71,35,11,84.0,1.0,95,10,9,5,9,6,9,5,1,2
22,82,64,31,4,88.0,1.0,105,11,2,1,2,2,2,1,-1,1
23,86,64,31,4,92.0,1.0,95,11,2,1,2,2,2,1,0,1
24,90,62,30,2,96.0,2.0,105,12,0,0,0,1,-2,-1,-1,0
25,93,71,35,11,100.0,1.0,95,12,9,5,9,6,9,5,1,1
26,97,62,30,2,104.0,1.0,105,13,0,0,0,1,-4,-2,-1,0
27,101,64,31,4,108.0,1.0,95,13,2,1,2,2,2,1,1,1
28,105,64,31,4,112.0,1.0,105,14,2,1,2,2,2,1,0,1
29,109,64,31,4,116.0,2.0,95,14,2,1,2,2,2,1,0,1
30,112,71,35,11,120.0,1.0,105,15,9,5,9,6,2,1,1,2
31,116,74,37,2,124.0,1.0,95,15,12,7,0,1,1,1,1,3
32,120,74,37,2,128.0,3.0,105,16,12,7,0,1,3,2,0,3
33,122,76,38,4,132.0,1.0,95,16,14,8,2,2,-2,-1,1,4
34,126,74,37,2,136.0,1.0,105,17,12,7,0,1,-4,-2,-1,3
35,130,74,37,2,140.0,1.0,95,17,12,7,0,1,0,0,0,3
36,134,74,37,2,144.0,3.0,105,18,12,7,0,1,3,2,0,3
37,136,76,38,4,148.0,1.0,95,18,14,8,2,2,-2,-1,1,4
38,140,74,37,2,152.0,1.0,105,19,12,7,0,1,-4,-2,-1,3
39,144,64,31,4,156.0,1.0,95,19,2,1,2,2,2,1,-1,2
40,148,74,37,2,160.0,3.0,105,20,12,7,0,1,17,10,1,3
41,150,76,38,4,164.0,1.0,95,20,14,8,2,2,-2,-1,1,4
42,154,74,37,2,168.0,1.0,105,21,12,7,0,1,-4,-2,-1,3
43,158,76,38,4,172.0,1.0,95,21,14,8,2,2,2,1,1,4
44,162,74,37,2,176.0,1.0,105,22,12,7,0,1,1,1,-1,3
45,166,64,31,4,180.0,2.0,95,22,2,1,2,2,-2,-1,-1,2
46,169,71,35,11,184.0,1.0,105,23,9,5,9,6,2,1,1,3
47,173,74,37,2,188.0,1.0,95,23,12,7,0,1,1,1,1,4
