,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,1,73,36,1,1.0,2.0,105,0,11,6,11,7,0,0,0,0
1,3,71,35,11,4.0,1.0,95,0,9,5,9,6,2,1,-1,-1
2,6,69,34,9,7.0,1.0,105,1,7,4,7,5,-5,-3,-1,-2
3,9,64,31,4,10.0,2.0,95,1,2,1,2,2,-2,-1,-1,-3
4,11,64,31,4,13.0,1.0,105,2,2,1,2,2,2,1,0,-3
5,14,64,31,4,16.0,2.0,95,2,2,1,2,2,0,0,0,-3
6,16,64,31,4,19.0,1.0,105,3,2,1,2,2,2,1,0,-3
7,19,64,31,4,22.0,2.0,95,3,2,1,2,2,0,0,0,-3
8,21,73,36,1,25.0,2.0,105,4,11,6,11,7,-1,-1,1,-2
9,23,71,35,11,28.0,1.0,95,4,9,5,9,6,2,1,-1,-3
10,26,69,34,9,31.0,1.0,105,5,7,4,7,5,-5,-3,-1,-4
11,29,64,31,4,34.0,2.0,95,5,2,1,2,2,-2,-1,-1,-5
12,31,66,32,6,37.0,2.0,105,6,4,2,4,3,4,2,1,-4
13,33,67,33,7,40.0,1.0,95,6,5,3,5,4,5,3,1,-3
14,36,62,30,2,43.0,1.0,105,7,0,0,0,1,1,1,-1,-4
15,39,62,30,2,46.0,2.0,95,7,0,0,0,1,0,0,0,-4
16,41,73,36,1,49.0,2.0,105,8,11,6,11,7,-1,-1,1,-3
17,43,71,35,11,52.0,1.0,95,8,9,5,9,6,2,1,-1,-4
18,46,69,34,9,55.0,1.0,105,9,7,4,7,5,-5,-3,-1,-5
19,49,64,31,4,58.0,2.0,95,9,2,1,2,2,-2,-1,-1,-6
20,51,64,31,4,61.0,1.0,105,10,2,1,2,2,2,1,0,-6
21,54,64,31,4,64.0,2.0,95,10,2,1,2,2,0,0,0,-6
22,56,64,31,4,67.0,1.0,105,11,2,1,2,2,2,1,0,-6
23,59,64,31,4,70.0,2.0,95,11,2,1,2,2,0,0,0,-6
24,61,73,36,1,73.0,2.0,105,12,11,6,11,7,-1,-1,1,-5
25,63,71,35,11,76.0,1.0,95,12,9,5,9,6,2,1,-1,-6
26,66,69,34,9,79.0,1.0,105,13,7,4,7,5,-5,-3,-1,-7
27,69,64,31,4,82.0,2.0,95,13,2,1,2,2,-2,-1,-1,-8
28,71,66,32,6,85.0,2.0,105,14,4,2,4,3,4,2,1,-7
29,73,67,33,7,88.0,1.0,95,14,5,3,5,4,5,3,1,-6
30,76,62,30,2,91.0,1.0,105,15,0,0,0,1,1,1,-1,-7
31,79,62,30,2,94.0,2.0,95,15,0,0,0,1,0,0,0,-7
32,82,69,34,9,97.0,3.0,105,16,7,4,7,5,2,1,1,-6
33,83,69,34,9,100.0,1.0,95,16,7,4,7,5,0,0,0,-6
34,86,66,32,6,103.0,1.0,105,17,4,2,4,3,4,2,-1,-7
35,89,69,34,9,106.0,1.0,95,17,7,4,7,5,7,4,1,-6
36,92,64,31,4,109.0,1.0,105,18,2,1,2,2,2,1,-1,-7
37,95,64,31,4,112.0,2.0,95,18,2,1,2,2,0,0,0,-7
38,97,64,31,4,115.0,1.0,105,19,2,1,2,2,2,1,0,-7
39,100,64,31,4,118.0,2.0,95,19,2,1,2,2,0,0,0,-7
40,103,69,34,9,121.0,3.0,105,20,7,4,7,5,2,1,1,-6
41,104,69,34,9,124.0,1.0,95,20,7,4,7,5,0,0,0,-6
42,107,66,32,6,127.0,1.0,105,21,4,2,4,3,4,2,-1,-7
43,110,69,34,9,130.0,1.0,95,21,7,4,7,5,7,4,1,-6
44,113,66,32,6,133.0,2.0,105,22,4,2,4,3,4,2,-1,-7
45,115,67,33,7,136.0,1.0,95,22,5,3,5,4,5,3,1,-6
46,118,62,30,2,139.0,1.0,105,23,0,0,0,1,1,1,-1,-7
47,121,62,30,2,142.0,2.0,95,23,0,0,0,1,0,0,0,-7
48,124,69,34,9,145.0,3.0,105,24,7,4,7,5,2,1,1,-6
49,125,69,34,9,148.0,1.0,95,24,7,4,7,5,0,0,0,-6
50,128,66,32,6,151.0,1.0,105,25,4,2,4,3,4,2,-1,-7
51,131,69,34,9,154.0,1.0,95,25,7,4,7,5,7,4,1,-6
52,134,64,31,4,157.0,1.0,105,26,2,1,2,2,2,1,-1,-7
53,137,64,31,4,160.0,2.0,95,26,2,1,2,2,0,0,0,-7
54,139,64,31,4,163.0,1.0,105,27,2,1,2,2,2,1,0,-7
55,142,64,31,4,166.0,2.0,95,27,2,1,2,2,0,0,0,-7
56,145,69,34,9,169.0,3.0,105,28,7,4,7,5,2,1,1,-6
57,146,69,34,9,172.0,1.0,95,28,7,4,7,5,0,0,0,-6
58,149,66,32,6,175.0,1.0,105,29,4,2,4,3,4,2,-1,-7
59,152,69,34,9,178.0,1.0,95,29,7,4,7,5,7,4,1,-6
60,155,66,32,6,181.0,2.0,105,30,4,2,4,3,4,2,-1,-7
61,157,67,33,7,184.0,1.0,95,30,5,3,5,4,5,3,1,-6
62,160,62,30,2,187.0,1.0,105,31,0,0,0,1,1,1,-1,-7
63,163,62,30,2,190.0,2.0,95,31,0,0,0,1,0,0,0,-7
