,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,1,67,33,7,2.0,1.0,105,0,7,4,7,5,0,0,0,0
1,5,60,29,0,6.0,1.0,95,0,0,0,0,1,-4,-2,-1,-1
2,9,55,26,7,10.0,1.0,105,1,-5,-3,7,5,-9,-5,-1,-2
3,13,67,33,7,14.0,1.0,95,1,7,4,7,5,3,2,1,-1
4,17,76,38,4,18.0,1.0,105,2,16,9,4,3,2,1,1,0
5,21,81,41,9,22.0,1.0,95,2,21,12,9,6,9,5,1,1
6,25,74,37,2,26.0,2.0,105,3,14,8,2,2,2,1,-1,0
7,28,71,35,11,30.0,1.0,95,3,11,6,11,7,-3,-2,-1,-1
8,32,72,36,0,34.0,1.0,105,4,12,7,0,1,1,1,1,0
9,36,69,34,9,38.0,1.0,95,4,9,5,9,6,2,1,-1,-1
10,40,60,29,0,42.0,2.0,105,5,0,0,0,1,-2,-1,-1,-2
11,43,67,33,7,46.0,1.0,95,5,7,4,7,5,7,4,1,-1
12,47,69,34,9,50.0,1.0,105,6,9,5,9,6,2,1,1,0
13,51,69,34,9,54.0,1.0,95,6,9,5,9,6,4,2,0,0
14,55,76,38,4,58.0,1.0,105,7,16,9,4,3,2,1,1,1
15,59,72,36,0,62.0,2.0,95,7,12,7,0,1,1,1,-1,0
16,61,67,33,7,66.0,1.0,105,8,7,4,7,5,-2,-1,-1,-1
17,65,60,29,0,70.0,1.0,95,8,0,0,0,1,-4,-2,-1,-2
18,69,55,26,7,74.0,1.0,105,9,-5,-3,7,5,-9,-5,-1,-3
19,73,67,33,7,78.0,1.0,95,9,7,4,7,5,3,2,1,-2
20,77,76,38,4,82.0,1.0,105,10,16,9,4,3,2,1,1,-1
21,81,81,41,9,86.0,1.0,95,10,21,12,9,6,9,5,1,0
22,85,74,37,2,90.0,2.0,105,11,14,8,2,2,2,1,-1,-1
23,88,71,35,11,94.0,1.0,95,11,11,6,11,7,-3,-2,-1,-2
24,92,72,36,0,98.0,1.0,105,12,12,7,0,1,1,1,1,-1
25,96,69,34,9,102.0,1.0,95,12,9,5,9,6,2,1,-1,-2
26,100,60,29,0,106.0,2.0,105,13,0,0,0,1,-2,-1,-1,-3
27,103,67,33,7,110.0,1.0,95,13,7,4,7,5,7,4,1,-2
28,107,69,34,9,114.0,1.0,105,14,9,5,9,6,2,1,1,-1
29,111,69,34,9,118.0,1.0,95,14,9,5,9,6,4,2,0,-1
30,115,76,38,4,122.0,1.0,105,15,16,9,4,3,2,1,1,0
31,119,72,36,0,126.0,2.0,95,15,12,7,0,1,1,1,-1,-1
32,121,76,38,4,130.0,2.0,105,16,16,9,4,3,2,1,1,0
33,124,76,38,4,134.0,1.0,95,16,16,9,4,3,2,1,0,0
34,128,72,36,0,138.0,1.0,105,17,12,7,0,1,-2,-1,-1,-1
35,132,79,40,7,142.0,1.0,95,17,19,11,7,5,3,2,1,0
36,136,79,40,7,146.0,1.0,105,18,19,11,7,5,3,2,0,0
37,140,88,45,4,150.0,1.0,95,18,28,16,4,3,4,2,1,1
38,144,77,39,5,154.0,1.0,105,19,17,10,5,4,1,1,-1,0
39,148,74,37,2,158.0,1.0,95,19,14,8,2,2,1,1,-1,-1
40,152,76,38,4,162.0,2.0,105,20,16,9,4,3,2,1,1,0
41,155,76,38,4,166.0,1.0,95,20,16,9,4,3,2,1,0,0
42,159,72,36,0,170.0,1.0,105,21,12,7,0,1,-2,-1,-1,-1
43,163,79,40,7,174.0,1.0,95,21,19,11,7,5,3,2,1,0
44,167,77,39,5,178.0,2.0,105,22,17,10,5,4,1,1,-1,-1
45,170,77,39,5,182.0,1.0,95,22,17,10,5,4,1,1,0,-1
46,174,76,38,4,186.0,1.0,105,23,16,9,4,3,-1,-1,-1,-2
47,178,72,36,0,190.0,2.0,95,23,12,7,0,1,1,1,-1,-3
48,180,76,38,4,194.0,2.0,105,24,16,9,4,3,2,1,1,-2
49,183,76,38,4,198.0,1.0,95,24,16,9,4,3,2,1,0,-2
50,187,72,36,0,202.0,1.0,105,25,12,7,0,1,-2,-1,-1,-3
51,191,79,40,7,206.0,1.0,95,25,19,11,7,5,3,2,1,-2
52,195,79,40,7,210.0,1.0,105,26,19,11,7,5,3,2,0,-2
53,199,88,45,4,214.0,1.0,95,26,28,16,4,3,4,2,1,-1
54,203,77,39,5,218.0,1.0,105,27,17,10,5,4,1,1,-1,-2
55,207,74,37,2,222.0,1.0,95,27,14,8,2,2,1,1,-1,-3
56,211,76,38,4,226.0,2.0,105,28,16,9,4,3,2,1,1,-2
57,214,76,38,4,230.0,1.0,95,28,16,9,4,3,2,1,0,-2
58,218,72,36,0,234.0,1.0,105,29,12,7,0,1,-2,-1,-1,-3
59,222,79,40,7,238.0,1.0,95,29,19,11,7,5,3,2,1,-2
60,226,77,39,5,242.0,2.0,105,30,17,10,5,4,1,1,-1,-3
61,229,77,39,5,246.0,1.0,95,30,17,10,5,4,1,1,0,-3
62,233,76,38,4,250.0,1.0,105,31,16,9,4,3,-1,-1,-1,-4
63,237,72,36,0,254.0,2.0,95,31,12,7,0,1,1,1,-1,-5
64,241,79,40,7,258.0,1.0,105,32,19,11,7,5,2,1,1,-4
65,245,64,31,4,262.0,1.0,95,32,4,2,4,3,-3,-2,-1,-5
66,249,76,38,4,266.0,1.0,105,33,16,9,4,3,2,1,1,-4
67,253,81,41,9,270.0,1.0,95,33,21,12,9,6,-3,-2,1,-3
68,257,77,39,5,274.0,1.0,105,34,17,10,5,4,1,1,-1,-4
69,261,74,37,2,278.0,1.0,95,34,14,8,2,2,1,1,-1,-5
70,265,69,34,9,282.0,1.0,105,35,9,5,9,6,0,0,-1,-6
71,270,67,33,7,286.0,2.0,95,35,7,4,7,5,-2,-1,-1,-7
72,274,79,40,7,290.0,1.0,105,36,19,11,7,5,12,7,1,-6
73,277,64,31,4,294.0,1.0,95,36,4,2,4,3,-3,-2,-1,-7
74,281,76,38,4,298.0,1.0,105,37,16,9,4,3,2,1,1,-6
75,285,81,41,9,302.0,1.0,95,37,21,12,9,6,-3,-2,1,-5
76,289,77,39,5,306.0,1.0,105,38,17,10,5,4,1,1,-1,-6
77,293,74,37,2,310.0,1.0,95,38,14,8,2,2,1,1,-1,-7
78,297,67,33,7,314.0,2.0,105,39,7,4,7,5,-2,-1,-1,-8
79,300,60,29,0,318.0,3.0,95,39,0,0,0,1,-2,-1,-1,-9
80,302,79,40,7,322.0,1.0,105,40,19,11,7,5,0,0,1,-8
81,306,64,31,4,326.0,1.0,95,40,4,2,4,3,-3,-2,-1,-9
82,310,76,38,4,330.0,1.0,105,41,16,9,4,3,2,1,1,-8
83,314,81,41,9,334.0,1.0,95,41,21,12,9,6,-3,-2,1,-7
84,318,77,39,5,338.0,1.0,105,42,17,10,5,4,1,1,-1,-8
85,322,74,37,2,342.0,1.0,95,42,14,8,2,2,1,1,-1,-9
86,326,69,34,9,346.0,1.0,105,43,9,5,9,6,0,0,-1,-10
87,331,67,33,7,350.0,2.0,95,43,7,4,7,5,-2,-1,-1,-11
88,335,79,40,7,354.0,1.0,105,44,19,11,7,5,12,7,1,-10
89,338,64,31,4,358.0,1.0,95,44,4,2,4,3,-3,-2,-1,-11
90,342,76,38,4,362.0,1.0,105,45,16,9,4,3,2,1,1,-10
91,346,81,41,9,366.0,1.0,95,45,21,12,9,6,-3,-2,1,-9
92,350,77,39,5,370.0,1.0,105,46,17,10,5,4,1,1,-1,-10
93,354,74,37,2,374.0,1.0,95,46,14,8,2,2,1,1,-1,-11
94,358,67,33,7,378.0,2.0,105,47,7,4,7,5,-2,-1,-1,-12
95,361,60,29,0,382.0,2.0,95,47,0,0,0,1,-2,-1,-1,-13
