,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,71,35,11,0.0,1.0,105,0,7,4,7,5,0,0,0,0
1,4,71,35,11,4.0,1.0,95,0,7,4,7,5,-3,-2,0,0
2,8,71,35,11,8.0,1.0,105,1,7,4,7,5,-3,-2,0,0
3,12,79,40,7,12.0,1.0,95,1,15,9,3,3,1,1,1,1
4,16,71,35,11,16.0,1.0,105,2,7,4,7,5,-3,-2,-1,0
5,20,71,35,11,20.0,1.0,95,2,7,4,7,5,-3,-2,0,0
6,24,71,35,11,24.0,1.0,105,3,7,4,7,5,-3,-2,0,0
7,28,67,33,7,28.0,1.0,95,3,3,2,3,3,-2,-1,-1,-1
8,32,71,35,11,32.0,1.0,105,4,7,4,7,5,5,3,1,0
9,36,71,35,11,36.0,1.0,95,4,7,4,7,5,-3,-2,0,0
10,40,71,35,11,40.0,1.0,105,5,7,4,7,5,-3,-2,0,0
11,44,79,40,7,44.0,1.0,95,5,15,9,3,3,1,1,1,1
12,48,83,42,11,48.0,1.0,105,6,19,11,7,5,2,1,1,2
13,52,79,40,7,52.0,1.0,95,6,15,9,3,3,-2,-1,-1,1
14,56,71,35,11,56.0,1.0,105,7,7,4,7,5,-3,-2,-1,0
15,60,76,38,4,60.0,2.0,95,7,12,7,0,1,2,1,1,1
16,62,71,35,11,64.0,1.0,105,8,7,4,7,5,-5,-3,-1,0
17,66,71,35,11,68.0,1.0,95,8,7,4,7,5,-3,-2,0,0
18,70,71,35,11,72.0,1.0,105,9,7,4,7,5,-3,-2,0,0
19,74,79,40,7,76.0,1.0,95,9,15,9,3,3,1,1,1,1
20,78,71,35,11,80.0,1.0,105,10,7,4,7,5,-3,-2,-1,0
21,82,71,35,11,84.0,1.0,95,10,7,4,7,5,-3,-2,0,0
22,86,71,35,11,88.0,1.0,105,11,7,4,7,5,-3,-2,0,0
23,90,67,33,7,92.0,1.0,95,11,3,2,3,3,-2,-1,-1,-1
24,94,71,35,11,96.0,1.0,105,12,7,4,7,5,5,3,1,0
25,98,71,35,11,100.0,1.0,95,12,7,4,7,5,-3,-2,0,0
26,102,71,35,11,104.0,1.0,105,13,7,4,7,5,-3,-2,0,0
27,106,79,40,7,108.0,1.0,95,13,15,9,3,3,1,1,1,1
28,110,83,42,11,112.0,1.0,105,14,19,11,7,5,2,1,1,2
29,114,79,40,7,116.0,1.0,95,14,15,9,3,3,-2,-1,-1,1
30,118,71,35,11,120.0,1.0,105,15,7,4,7,5,-3,-2,-1,0
31,122,76,38,4,124.0,1.0,95,15,12,7,0,1,2,1,1,1
32,126,71,35,11,128.0,1.0,105,16,7,4,7,5,-10,-6,-1,0
33,130,76,38,4,132.0,1.0,95,16,12,7,0,1,7,4,1,1
34,134,76,38,4,136.0,1.0,105,17,12,7,0,1,0,0,0,1
35,138,76,38,4,140.0,1.0,95,17,12,7,0,1,0,0,0,1
36,142,71,35,11,144.0,1.0,105,18,7,4,7,5,-10,-6,-1,0
37,146,74,37,2,148.0,1.0,95,18,10,6,10,7,5,3,1,1
38,150,74,37,2,152.0,1.0,105,19,10,6,10,7,0,0,0,1
39,154,76,38,4,156.0,1.0,95,19,12,7,0,1,2,1,1,2
40,158,71,35,11,160.0,1.0,105,20,7,4,7,5,-10,-6,-1,1
41,162,72,36,0,164.0,1.0,95,20,8,5,8,6,3,2,1,2
42,166,72,36,0,168.0,1.0,105,21,8,5,8,6,0,0,0,2
43,170,76,38,4,172.0,1.0,95,21,12,7,0,1,4,2,1,3
44,174,83,42,11,176.0,1.0,105,22,19,11,7,5,2,1,1,4
45,178,79,40,7,180.0,1.0,95,22,15,9,3,3,-2,-1,-1,3
46,182,71,35,11,184.0,1.0,105,23,7,4,7,5,-3,-2,-1,2
47,186,67,33,7,188.0,1.0,95,23,3,2,3,3,-2,-1,-1,1
