,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,1,69,34,9,1.0,1.0,105,0,0,0,0,1,0,0,0,0
1,4,71,35,11,4.0,1.0,95,0,2,1,2,2,2,1,1,1
2,7,76,38,4,7.0,1.0,105,1,7,4,7,5,2,1,1,2
3,10,78,39,6,10.0,2.0,95,1,9,5,9,6,9,5,1,3
4,12,81,41,9,13.0,1.5,105,2,12,7,0,1,1,1,1,4
5,15,76,38,4,16.0,1.0,95,2,7,4,7,5,-2,-1,-1,3
6,18,71,35,11,19.0,1.5,105,3,2,1,2,2,2,1,-1,2
7,21,66,32,6,22.0,2.0,95,3,-3,-2,9,6,-2,-1,-1,1
8,23,69,34,9,25.0,1.0,105,4,0,0,0,1,5,3,1,2
9,26,71,35,11,28.0,1.0,95,4,2,1,2,2,2,1,1,3
10,29,76,38,4,31.0,1.0,105,5,7,4,7,5,2,1,1,4
11,32,78,39,6,34.0,2.0,95,5,9,5,9,6,9,5,1,5
12,34,81,41,9,37.0,1.5,105,6,12,7,0,1,1,1,1,6
13,37,83,42,11,40.0,1.0,95,6,14,8,2,2,-2,-1,1,7
14,40,78,39,6,43.0,3.0,105,7,9,5,9,6,-5,-3,-1,6
15,42,69,34,9,49.0,1.0,105,8,0,0,0,1,5,3,-1,5
16,45,71,35,11,52.0,1.0,95,8,2,1,2,2,2,1,1,6
17,48,76,38,4,55.0,1.0,105,9,7,4,7,5,2,1,1,7
18,51,78,39,6,58.0,2.0,95,9,9,5,9,6,9,5,1,8
19,53,81,41,9,61.0,1.5,105,10,12,7,0,1,1,1,1,9
20,56,76,38,4,64.0,1.0,95,10,7,4,7,5,-2,-1,-1,8
21,59,71,35,11,67.0,1.5,105,11,2,1,2,2,2,1,-1,7
22,62,66,32,6,70.0,2.0,95,11,-3,-2,9,6,-2,-1,-1,6
23,64,69,34,9,73.0,1.0,105,12,0,0,0,1,5,3,1,7
24,67,71,35,11,76.0,1.0,95,12,2,1,2,2,2,1,1,8
25,70,76,38,4,79.0,1.0,105,13,7,4,7,5,2,1,1,9
26,73,78,39,6,82.0,2.0,95,13,9,5,9,6,9,5,1,10
27,75,81,41,9,85.0,1.5,105,14,12,7,0,1,1,1,1,11
28,78,83,42,11,88.0,1.0,95,14,14,8,2,2,-2,-1,1,12
29,81,78,39,6,91.0,3.0,105,15,9,5,9,6,-5,-3,-1,11
30,83,73,36,1,97.0,1.0,105,16,4,2,4,3,-3,-2,-1,10
31,86,73,36,1,100.0,1.0,95,16,4,2,4,3,2,1,0,10
32,89,64,31,4,103.0,1.0,105,17,-5,-3,7,5,-2,-1,-1,9
33,92,66,32,6,106.0,1.0,95,17,-3,-2,9,6,2,1,1,10
34,97,73,36,1,109.0,1.0,105,18,4,2,4,3,2,1,1,11
35,100,76,38,4,112.0,1.0,95,18,7,4,7,5,3,2,1,12
36,103,78,39,6,115.0,1.0,105,19,9,5,9,6,2,1,1,13
37,106,71,35,11,118.0,1.0,95,19,2,1,2,2,-2,-1,-1,12
38,111,66,32,6,121.0,2.0,105,20,-3,-2,9,6,-3,-2,-1,11
39,113,69,34,9,124.0,1.5,95,20,0,0,0,1,5,3,1,12
40,116,64,31,4,127.0,1.0,105,21,-5,-3,7,5,-2,-1,-1,11
41,119,66,32,6,130.0,1.0,95,21,-3,-2,9,6,2,1,1,12
42,124,73,36,1,133.0,1.0,105,22,4,2,4,3,2,1,1,13
43,127,76,38,4,136.0,1.0,95,22,7,4,7,5,3,2,1,14
44,130,78,39,6,139.0,3.0,105,23,9,5,9,6,2,1,1,15
45,132,69,34,9,145.0,1.0,105,24,0,0,0,1,5,3,-1,14
46,135,71,35,11,148.0,1.0,95,24,2,1,2,2,2,1,1,15
47,138,76,38,4,151.0,1.0,105,25,7,4,7,5,2,1,1,16
48,141,78,39,6,154.0,2.0,95,25,9,5,9,6,9,5,1,17
49,143,81,41,9,157.0,1.5,105,26,12,7,0,1,1,1,1,18
50,146,76,38,4,160.0,1.0,95,26,7,4,7,5,-2,-1,-1,17
51,149,71,35,11,163.0,1.5,105,27,2,1,2,2,2,1,-1,16
52,152,66,32,6,166.0,2.0,95,27,-3,-2,9,6,-2,-1,-1,15
53,154,69,34,9,169.0,1.0,105,28,0,0,0,1,5,3,1,16
54,157,71,35,11,172.0,1.0,95,28,2,1,2,2,2,1,1,17
55,160,76,38,4,175.0,1.0,105,29,7,4,7,5,2,1,1,18
56,163,78,39,6,178.0,2.0,95,29,9,5,9,6,9,5,1,19
57,165,81,41,9,181.0,1.5,105,30,12,7,0,1,1,1,1,20
58,168,83,42,11,184.0,1.0,95,30,14,8,2,2,-2,-1,1,21
59,171,78,39,6,187.0,3.0,105,31,9,5,9,6,-5,-3,-1,20
