,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,2,66,32,6,2.0,1.0,105,0,-1,-1,11,7,0,0,0,0
1,5,69,34,9,5.0,1.0,95,0,2,1,2,2,7,4,1,1
2,8,66,32,6,8.0,1.0,105,1,-1,-1,11,7,2,1,-1,0
3,10,74,37,2,11.0,1.0,95,1,7,4,7,5,0,0,1,1
4,13,66,32,6,14.0,1.0,105,2,-1,-1,11,7,-1,-1,-1,0
5,16,69,34,9,17.0,1.0,95,2,2,1,2,2,7,4,1,1
6,19,72,36,0,20.0,1.0,105,3,5,3,5,4,1,1,1,2
7,22,67,33,7,23.0,1.0,95,3,0,0,0,1,1,1,-1,1
8,25,66,32,6,26.0,1.0,105,4,-1,-1,11,7,-1,-1,-1,0
9,28,69,34,9,29.0,1.0,95,4,2,1,2,2,7,4,1,1
10,31,66,32,6,32.0,1.0,105,5,-1,-1,11,7,2,1,-1,0
11,34,74,37,2,35.0,1.0,95,5,7,4,7,5,0,0,1,1
12,37,72,36,0,38.0,1.0,105,6,5,3,5,4,1,1,-1,0
13,42,72,36,0,41.0,1.0,95,6,5,3,5,4,0,0,0,0
14,45,67,33,7,44.0,1.0,105,7,0,0,0,1,1,1,-1,-1
15,50,67,33,7,47.0,1.0,95,7,0,0,0,1,0,0,0,-1
16,53,66,32,6,50.0,1.0,105,8,-1,-1,11,7,-1,-1,-1,-2
17,56,69,34,9,53.0,1.0,95,8,2,1,2,2,7,4,1,-1
18,59,66,32,6,56.0,1.0,105,9,-1,-1,11,7,2,1,-1,-2
19,62,74,37,2,59.0,1.0,95,9,7,4,7,5,0,0,1,-1
20,65,66,32,6,62.0,1.0,105,10,-1,-1,11,7,-1,-1,-1,-2
21,68,69,34,9,65.0,1.0,95,10,2,1,2,2,7,4,1,-1
22,71,72,36,0,68.0,1.0,105,11,5,3,5,4,1,1,1,0
23,74,67,33,7,71.0,1.0,95,11,0,0,0,1,1,1,-1,-1
24,77,66,32,6,74.0,1.0,105,12,-1,-1,11,7,-1,-1,-1,-2
25,80,69,34,9,77.0,1.0,95,12,2,1,2,2,7,4,1,-1
26,83,66,32,6,80.0,1.0,105,13,-1,-1,11,7,2,1,-1,-2
27,85,74,37,2,83.0,1.0,95,13,7,4,7,5,0,0,1,-1
28,88,72,36,0,86.0,1.0,105,14,5,3,5,4,1,1,-1,-2
29,93,72,36,0,89.0,1.0,95,14,5,3,5,4,0,0,0,-2
30,96,67,33,7,92.0,1.0,105,15,0,0,0,1,1,1,-1,-3
31,101,67,33,7,95.0,1.0,95,15,0,0,0,1,0,0,0,-3
32,104,66,32,6,98.0,1.0,105,16,-1,-1,11,7,-1,-1,-1,-4
33,107,74,37,2,101.0,1.0,95,16,7,4,7,5,0,0,1,-3
34,110,71,35,11,104.0,1.0,105,17,4,2,4,3,-3,-2,-1,-4
35,113,69,34,9,107.0,1.0,95,17,2,1,2,2,2,1,-1,-5
36,116,66,32,6,110.0,1.0,105,18,-1,-1,11,7,4,2,-1,-6
37,119,66,32,6,113.0,1.0,95,18,-1,-1,11,7,4,2,0,-6
38,122,71,35,11,116.0,1.0,105,19,4,2,4,3,-3,-2,1,-5
39,125,64,31,4,119.0,1.0,95,19,-3,-2,9,6,-2,-1,-1,-6
40,128,66,32,6,122.0,1.0,105,20,-1,-1,11,7,-1,-1,1,-5
41,131,74,37,2,125.0,1.0,95,20,7,4,7,5,0,0,1,-4
42,134,71,35,11,128.0,1.0,105,21,4,2,4,3,-3,-2,-1,-5
43,137,69,34,9,131.0,1.0,95,21,2,1,2,2,2,1,-1,-6
44,140,74,37,2,134.0,1.0,105,22,7,4,7,5,12,7,1,-5
45,143,72,36,0,137.0,1.0,95,22,5,3,5,4,-2,-1,-1,-6
46,146,67,33,7,140.0,1.0,105,23,0,0,0,1,1,1,-1,-7
47,151,67,33,7,143.0,1.0,95,23,0,0,0,1,0,0,0,-7
