,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,2,74,37,2,1.0,1.0,105,0,12,7,0,1,0,0,0,0
1,5,67,33,7,4.0,2.0,95,0,5,3,5,4,1,1,-1,-1
2,7,69,34,9,7.0,1.0,105,1,7,4,7,5,-2,-1,1,0
3,10,64,31,4,10.0,2.0,95,1,2,1,2,2,2,1,-1,-1
4,12,62,30,2,13.0,1.0,105,2,0,0,0,1,-4,-2,-1,-2
5,15,66,32,6,16.0,2.0,95,2,4,2,4,3,4,2,1,-1
6,17,62,30,2,19.0,1.0,105,3,0,0,0,1,-2,-1,-1,-2
7,20,78,39,6,22.0,2.0,95,3,16,9,4,3,9,5,1,-1
8,22,74,37,2,25.0,1.0,105,4,12,7,0,1,-2,-1,-1,-2
9,25,67,33,7,28.0,2.0,95,4,5,3,5,4,1,1,-1,-3
10,27,69,34,9,31.0,1.0,105,5,7,4,7,5,-2,-1,1,-2
11,30,64,31,4,34.0,2.0,95,5,2,1,2,2,2,1,-1,-3
12,32,62,30,2,37.0,1.0,105,6,0,0,0,1,-4,-2,-1,-4
13,35,66,32,6,40.0,2.0,95,6,4,2,4,3,4,2,1,-3
14,37,62,30,2,43.0,1.0,105,7,0,0,0,1,-2,-1,-1,-4
15,40,62,30,2,46.0,2.0,95,7,0,0,0,1,0,0,0,-4
16,43,74,37,2,49.0,1.0,105,8,12,7,0,1,-2,-1,1,-3
17,46,67,33,7,52.0,2.0,95,8,5,3,5,4,1,1,-1,-4
18,48,69,34,9,55.0,1.0,105,9,7,4,7,5,-2,-1,1,-3
19,51,64,31,4,58.0,2.0,95,9,2,1,2,2,2,1,-1,-4
20,53,62,30,2,61.0,1.0,105,10,0,0,0,1,-4,-2,-1,-5
21,56,66,32,6,64.0,2.0,95,10,4,2,4,3,4,2,1,-4
22,58,62,30,2,67.0,1.0,105,11,0,0,0,1,-2,-1,-1,-5
23,61,78,39,6,70.0,2.0,95,11,16,9,4,3,9,5,1,-4
24,63,74,37,2,73.0,1.0,105,12,12,7,0,1,-2,-1,-1,-5
25,66,67,33,7,76.0,2.0,95,12,5,3,5,4,1,1,-1,-6
26,68,69,34,9,79.0,1.0,105,13,7,4,7,5,-2,-1,1,-5
27,71,64,31,4,82.0,2.0,95,13,2,1,2,2,2,1,-1,-6
28,73,62,30,2,85.0,1.0,105,14,0,0,0,1,-4,-2,-1,-7
29,76,66,32,6,88.0,2.0,95,14,4,2,4,3,4,2,1,-6
30,78,62,30,2,91.0,1.0,105,15,0,0,0,1,-2,-1,-1,-7
31,81,62,30,2,94.0,2.0,95,15,0,0,0,1,0,0,0,-7
32,84,71,35,11,97.0,2.0,105,16,9,5,9,6,2,1,1,-6
33,86,66,32,6,100.0,2.0,95,16,4,2,4,3,-3,-2,-1,-7
34,88,71,35,11,103.0,2.0,105,17,9,5,9,6,2,1,1,-6
35,90,66,32,6,106.0,2.0,95,17,4,2,4,3,-3,-2,-1,-7
36,92,71,35,11,109.0,2.0,105,18,9,5,9,6,2,1,1,-6
37,94,66,32,6,112.0,2.0,95,18,4,2,4,3,-3,-2,-1,-7
38,96,74,37,2,115.0,1.0,105,19,12,7,0,1,5,3,1,-6
39,99,74,37,2,118.0,2.0,95,19,12,7,0,1,0,0,0,-6
40,101,71,35,11,121.0,2.0,105,20,9,5,9,6,2,1,-1,-7
41,103,66,32,6,124.0,2.0,95,20,4,2,4,3,-3,-2,-1,-8
42,105,71,35,11,127.0,2.0,105,21,9,5,9,6,2,1,1,-7
43,107,66,32,6,130.0,2.0,95,21,4,2,4,3,-3,-2,-1,-8
44,109,64,31,4,133.0,1.0,105,22,2,1,2,2,-5,-3,-1,-9
45,112,66,32,6,136.0,2.0,95,22,4,2,4,3,-1,-1,1,-8
46,114,62,30,2,139.0,1.0,105,23,0,0,0,1,-2,-1,-1,-9
47,117,62,30,2,142.0,1.0,95,23,0,0,0,1,0,0,0,-9
48,120,71,35,11,145.0,2.0,105,24,9,5,9,6,2,1,1,-8
49,122,66,32,6,148.0,2.0,95,24,4,2,4,3,-3,-2,-1,-9
50,124,71,35,11,151.0,2.0,105,25,9,5,9,6,2,1,1,-8
51,126,66,32,6,154.0,2.0,95,25,4,2,4,3,-3,-2,-1,-9
52,128,71,35,11,157.0,2.0,105,26,9,5,9,6,2,1,1,-8
53,130,66,32,6,160.0,2.0,95,26,4,2,4,3,-3,-2,-1,-9
54,132,74,37,2,163.0,2.0,105,27,12,7,0,1,5,3,1,-8
55,134,78,39,6,166.0,2.0,95,27,16,9,4,3,2,1,1,-7
56,136,74,37,2,169.0,1.0,105,28,12,7,0,1,-2,-1,-1,-8
57,139,73,36,1,172.0,1.0,95,28,11,6,11,7,-1,-1,-1,-9
58,142,71,35,11,175.0,1.0,105,29,9,5,9,6,-2,-1,-1,-10
59,145,69,34,9,178.0,1.0,95,29,7,4,7,5,-2,-1,-1,-11
60,148,71,35,11,181.0,2.0,105,30,9,5,9,6,2,1,1,-10
61,150,73,36,1,184.0,1.0,95,30,11,6,11,7,4,2,1,-9
62,153,74,37,2,187.0,1.0,105,31,12,7,0,1,1,1,1,-8
63,156,74,37,2,190.0,2.0,95,31,12,7,0,1,0,0,0,-8
