,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,69,34,9,0.0,1.0,105,0,2,1,2,2,0,0,0,0
1,3,69,34,9,4.0,1.0,95,0,2,1,2,2,7,4,0,0
2,7,69,34,9,8.0,1.0,105,1,2,1,2,2,2,1,0,0
3,10,69,34,9,12.0,2.0,95,1,2,1,2,2,7,4,0,0
4,13,69,34,9,16.0,1.0,105,2,2,1,2,2,-2,-1,0,0
5,16,69,34,9,20.0,1.0,95,2,2,1,2,2,7,4,0,0
6,20,64,31,4,24.0,2.0,105,3,-3,-2,9,6,-3,-2,-1,-1
7,23,67,33,7,28.0,2.0,95,3,0,0,0,1,-2,-1,1,0
8,26,69,34,9,32.0,1.0,105,4,2,1,2,2,2,1,1,1
9,29,69,34,9,36.0,1.0,95,4,2,1,2,2,7,4,0,1
10,33,69,34,9,40.0,1.0,105,5,2,1,2,2,2,1,0,1
11,36,69,34,9,44.0,1.0,95,5,2,1,2,2,7,4,0,1
12,39,69,34,9,48.0,1.0,105,6,2,1,2,2,7,4,0,1
13,42,69,34,9,52.0,1.0,95,6,2,1,2,2,7,4,0,1
14,46,64,31,4,56.0,2.0,105,7,-3,-2,9,6,-3,-2,-1,0
15,49,67,33,7,60.0,2.0,95,7,0,0,0,1,-2,-1,1,1
16,52,69,34,9,64.0,1.0,105,8,2,1,2,2,2,1,1,2
17,56,69,34,9,68.0,1.0,95,8,2,1,2,2,-3,-2,0,2
18,60,69,34,9,72.0,1.0,105,9,2,1,2,2,2,1,0,2
19,64,69,34,9,76.0,3.0,95,9,2,1,2,2,-3,-2,0,2
20,66,66,32,6,80.0,1.0,105,10,-1,-1,11,7,-1,-1,-1,1
21,70,69,34,9,84.0,1.0,95,10,2,1,2,2,-3,-2,1,2
22,74,64,31,4,88.0,2.0,105,11,-3,-2,9,6,-3,-2,-1,1
23,77,67,33,7,92.0,2.0,95,11,0,0,0,1,-2,-1,1,2
24,80,69,34,9,96.0,1.0,105,12,2,1,2,2,2,1,1,3
25,84,69,34,9,100.0,1.0,95,12,2,1,2,2,-3,-2,0,3
26,88,69,34,9,104.0,1.0,105,13,2,1,2,2,2,1,0,3
27,92,69,34,9,108.0,2.0,95,13,2,1,2,2,-3,-2,0,3
28,95,74,37,2,112.0,1.0,105,14,7,4,7,5,2,1,1,4
29,99,71,35,11,116.0,1.0,95,14,4,2,4,3,2,1,-1,3
30,103,64,31,4,120.0,2.0,105,15,-3,-2,9,6,-3,-2,-1,2
31,106,67,33,7,124.0,2.0,95,15,0,0,0,1,-2,-1,1,3
32,109,78,39,6,128.0,2.0,105,16,11,6,11,7,-1,-1,1,4
33,112,78,39,6,132.0,2.0,95,16,11,6,11,7,-1,-1,0,4
34,115,78,39,6,136.0,2.0,105,17,11,6,11,7,-1,-1,0,4
35,118,81,41,9,140.0,3.0,95,17,14,8,2,2,3,2,1,5
36,120,78,39,6,144.0,2.0,105,18,11,6,11,7,-1,-1,-1,4
37,123,78,39,6,148.0,2.0,95,18,11,6,11,7,-1,-1,0,4
38,126,76,38,4,152.0,3.0,105,19,9,5,9,6,-2,-1,-1,3
39,128,79,40,7,156.0,2.0,95,19,12,7,0,1,1,1,1,4
40,131,78,39,6,160.0,2.0,105,20,11,6,11,7,-1,-1,-1,3
41,134,78,39,6,164.0,2.0,95,20,11,6,11,7,-1,-1,0,3
42,137,78,39,6,168.0,2.0,105,21,11,6,11,7,-1,-1,0,3
43,140,81,41,9,172.0,3.0,95,21,14,8,2,2,3,2,1,4
44,142,78,39,6,176.0,2.0,105,22,11,6,11,7,-1,-1,-1,3
45,145,78,39,6,180.0,2.0,95,22,11,6,11,7,-1,-1,0,3
46,148,76,38,4,184.0,3.0,105,23,9,5,9,6,-2,-1,-1,2
47,150,79,40,7,188.0,2.0,95,23,12,7,0,1,1,1,1,3
48,153,78,39,6,192.0,1.0,105,24,11,6,11,7,-1,-1,-1,2
49,157,74,37,2,196.0,2.0,95,24,7,4,7,5,1,1,-1,1
50,160,69,34,9,200.0,1.0,105,25,2,1,2,2,-2,-1,-1,0
51,163,69,34,9,204.0,2.0,95,25,2,1,2,2,7,4,0,0
52,166,74,37,2,208.0,1.0,105,26,7,4,7,5,2,1,1,1
53,170,71,35,11,212.0,1.0,95,26,4,2,4,3,2,1,-1,0
54,174,64,31,4,216.0,2.0,105,27,-3,-2,9,6,-3,-2,-1,-1
55,177,67,33,7,220.0,2.0,95,27,0,0,0,1,-2,-1,1,0
56,180,78,39,6,224.0,1.0,105,28,11,6,11,7,-1,-1,1,1
57,184,74,37,2,228.0,2.0,95,28,7,4,7,5,1,1,-1,0
58,187,69,34,9,232.0,1.0,105,29,2,1,2,2,-2,-1,-1,-1
59,190,69,34,9,236.0,1.0,95,29,2,1,2,2,7,4,0,-1
60,193,74,37,2,240.0,1.0,105,30,7,4,7,5,12,7,1,0
61,197,71,35,11,244.0,1.0,95,30,4,2,4,3,2,1,-1,-1
62,201,64,31,4,248.0,2.0,105,31,-3,-2,9,6,-3,-2,-1,-2
63,204,67,33,7,252.0,2.0,95,31,0,0,0,1,-2,-1,1,-1
