,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,64,31,4,0.0,1.0,105,0,-3,-2,9,6,0,0,0,0
1,4,81,41,9,4.0,1.0,95,0,14,8,2,2,12,7,1,1
2,7,81,41,9,8.0,1.0,105,1,14,8,2,2,2,1,0,1
3,11,79,40,7,12.0,1.0,95,1,12,7,0,1,1,1,-1,0
4,15,71,35,11,16.0,1.0,105,2,4,2,4,3,-1,-1,-1,-1
5,19,64,31,4,20.0,1.0,95,2,-3,-2,9,6,-3,-2,-1,-2
6,23,71,35,11,24.0,1.0,105,3,4,2,4,3,4,2,1,-1
7,28,79,40,7,28.0,1.0,95,3,12,7,0,1,5,3,1,0
8,31,64,31,4,32.0,1.0,105,4,-3,-2,9,6,-10,-6,-1,-1
9,35,81,41,9,36.0,1.0,95,4,14,8,2,2,12,7,1,0
10,38,81,41,9,40.0,1.0,105,5,14,8,2,2,2,1,0,0
11,42,79,40,7,44.0,1.0,95,5,12,7,0,1,1,1,-1,-1
12,46,81,41,9,48.0,1.0,105,6,14,8,2,2,2,1,1,0
13,50,79,40,7,52.0,1.0,95,6,12,7,0,1,-4,-2,-1,-1
14,54,67,33,7,56.0,1.0,105,7,0,0,0,1,-4,-2,-1,-2
15,58,69,34,9,60.0,2.0,95,7,2,1,2,2,2,1,1,-1
16,59,64,31,4,64.0,1.0,105,8,-3,-2,9,6,-5,-3,-1,-2
17,63,81,41,9,68.0,1.0,95,8,14,8,2,2,12,7,1,-1
18,66,81,41,9,72.0,1.0,105,9,14,8,2,2,2,1,0,-1
19,70,79,40,7,76.0,1.0,95,9,12,7,0,1,1,1,-1,-2
20,74,71,35,11,80.0,1.0,105,10,4,2,4,3,-1,-1,-1,-3
21,78,64,31,4,84.0,1.0,95,10,-3,-2,9,6,-3,-2,-1,-4
22,82,71,35,11,88.0,1.0,105,11,4,2,4,3,4,2,1,-3
23,87,79,40,7,92.0,1.0,95,11,12,7,0,1,5,3,1,-2
24,90,64,31,4,96.0,1.0,105,12,-3,-2,9,6,-10,-6,-1,-3
25,94,81,41,9,100.0,1.0,95,12,14,8,2,2,12,7,1,-2
26,97,81,41,9,104.0,1.0,105,13,14,8,2,2,2,1,0,-2
27,101,79,40,7,108.0,1.0,95,13,12,7,0,1,1,1,-1,-3
28,105,81,41,9,112.0,1.0,105,14,14,8,2,2,2,1,1,-2
29,109,79,40,7,116.0,1.0,95,14,12,7,0,1,-4,-2,-1,-3
30,113,67,33,7,120.0,1.0,105,15,0,0,0,1,-4,-2,-1,-4
31,117,69,34,9,124.0,2.0,95,15,2,1,2,2,2,1,1,-3
32,118,81,41,9,128.0,2.0,105,16,14,8,2,2,12,7,1,-2
33,121,81,41,9,132.0,1.0,95,16,14,8,2,2,0,0,0,-2
34,125,81,41,9,136.0,1.0,105,17,14,8,2,2,2,1,0,-2
35,129,79,40,7,140.0,1.0,95,17,12,7,0,1,1,1,-1,-3
36,133,71,35,11,144.0,1.0,105,18,4,2,4,3,-1,-1,-1,-4
37,137,64,31,4,148.0,1.0,95,18,-3,-2,9,6,-3,-2,-1,-5
38,141,71,35,11,152.0,1.0,105,19,4,2,4,3,4,2,1,-4
39,146,79,40,7,156.0,1.0,95,19,12,7,0,1,5,3,1,-3
40,150,76,38,4,160.0,1.0,105,20,9,5,9,6,-3,-2,-1,-4
41,154,81,41,9,164.0,2.0,95,20,14,8,2,2,-2,-1,1,-3
42,157,83,42,11,168.0,1.0,105,21,16,9,4,3,2,1,1,-2
43,161,81,41,9,172.0,1.0,95,21,14,8,2,2,-2,-1,-1,-3
44,165,79,40,7,176.0,1.0,105,22,12,7,0,1,1,1,-1,-4
45,171,79,40,7,180.0,1.0,95,22,12,7,0,1,-2,-1,0,-4
46,175,67,33,7,184.0,1.0,105,23,0,0,0,1,-4,-2,-1,-5
47,179,69,34,9,188.0,2.0,95,23,2,1,2,2,-2,-1,1,-4
48,180,81,41,9,192.0,2.0,105,24,14,8,2,2,12,7,1,-3
49,183,81,41,9,196.0,1.0,95,24,14,8,2,2,0,0,0,-3
50,187,81,41,9,200.0,1.0,105,25,14,8,2,2,2,1,0,-3
51,191,79,40,7,204.0,1.0,95,25,12,7,0,1,1,1,-1,-4
52,195,71,35,11,208.0,1.0,105,26,4,2,4,3,-1,-1,-1,-5
53,199,64,31,4,212.0,1.0,95,26,-3,-2,9,6,-3,-2,-1,-6
54,203,71,35,11,216.0,1.0,105,27,4,2,4,3,4,2,1,-5
55,208,79,40,7,220.0,1.0,95,27,12,7,0,1,5,3,1,-4
56,212,76,38,4,224.0,1.0,105,28,9,5,9,6,-3,-2,-1,-5
57,216,81,41,9,228.0,2.0,95,28,14,8,2,2,-2,-1,1,-4
58,219,83,42,11,232.0,1.0,105,29,16,9,4,3,2,1,1,-3
59,223,81,41,9,236.0,1.0,95,29,14,8,2,2,-2,-1,-1,-4
60,227,79,40,7,240.0,1.0,105,30,12,7,0,1,1,1,-1,-5
61,233,79,40,7,244.0,1.0,95,30,12,7,0,1,-2,-1,0,-5
62,237,67,33,7,248.0,1.0,105,31,0,0,0,1,-4,-2,-1,-6
63,241,69,34,9,252.0,2.0,95,31,2,1,2,2,-2,-1,1,-5
