,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,3,74,37,2,2.0,2.0,105,0,12,7,0,1,0,0,0,0
1,6,66,32,6,6.0,1.33,95,0,4,2,4,3,-1,-1,-1,-1
2,10,71,35,11,10.0,1.33,105,1,9,5,9,6,2,1,1,0
3,14,73,36,1,14.0,1.33,95,1,11,6,11,7,-1,-1,1,1
4,18,78,39,6,18.0,1.33,105,2,16,9,4,3,2,1,1,2
5,22,81,41,9,22.0,1.33,95,2,19,11,7,5,5,3,1,3
6,26,73,36,1,26.0,2.0,105,3,11,6,11,7,-1,-1,-1,2
7,28,76,38,4,30.0,1.33,95,3,14,8,2,2,0,0,1,3
8,32,74,37,2,34.0,2.0,105,4,12,7,0,1,-2,-1,-1,2
9,35,66,32,6,38.0,1.33,95,4,4,2,4,3,-1,-1,-1,1
10,39,71,35,11,42.0,1.33,105,5,9,5,9,6,2,1,1,2
11,43,73,36,1,46.0,1.33,95,5,11,6,11,7,-1,-1,1,3
12,47,78,39,6,50.0,1.33,105,6,16,9,4,3,2,1,1,4
13,51,78,39,6,54.0,1.33,95,6,16,9,4,3,2,1,0,4
14,55,74,37,2,58.0,2.0,105,7,12,7,0,1,1,1,-1,3
15,57,74,37,2,62.0,2.0,95,7,12,7,0,1,0,0,0,3
16,61,74,37,2,66.0,2.0,105,8,12,7,0,1,1,1,0,3
17,64,66,32,6,70.0,1.33,95,8,4,2,4,3,-1,-1,-1,2
18,68,71,35,11,74.0,1.33,105,9,9,5,9,6,2,1,1,3
19,72,73,36,1,78.0,1.33,95,9,11,6,11,7,-1,-1,1,4
20,76,78,39,6,82.0,1.33,105,10,16,9,4,3,2,1,1,5
21,80,81,41,9,86.0,1.33,95,10,19,11,7,5,5,3,1,6
22,84,73,36,1,90.0,2.0,105,11,11,6,11,7,-1,-1,-1,5
23,86,76,38,4,94.0,1.33,95,11,14,8,2,2,0,0,1,6
24,90,74,37,2,98.0,2.0,105,12,12,7,0,1,-2,-1,-1,5
25,93,66,32,6,102.0,1.33,95,12,4,2,4,3,-1,-1,-1,4
26,97,71,35,11,106.0,1.33,105,13,9,5,9,6,2,1,1,5
27,101,73,36,1,110.0,1.33,95,13,11,6,11,7,-1,-1,1,6
28,105,78,39,6,114.0,1.33,105,14,16,9,4,3,2,1,1,7
29,109,78,39,6,118.0,1.33,95,14,16,9,4,3,2,1,0,7
30,113,74,37,2,122.0,2.0,105,15,12,7,0,1,1,1,-1,6
31,115,74,37,2,126.0,2.0,95,15,12,7,0,1,0,0,0,6
32,119,83,42,11,130.0,2.0,105,16,21,12,9,6,2,1,1,7
33,122,78,39,6,134.0,1.33,95,16,16,9,4,3,-1,-1,-1,6
34,126,79,40,7,138.0,2.0,105,17,17,10,5,4,-2,-1,1,7
35,129,73,36,1,142.0,1.33,95,17,11,6,11,7,-1,-1,-1,6
36,133,78,39,6,146.0,1.33,105,18,16,9,4,3,2,1,1,7
37,137,81,41,9,150.0,1.33,95,18,19,11,7,5,5,3,1,8
38,141,73,36,1,154.0,2.0,105,19,11,6,11,7,-1,-1,-1,7
39,143,69,34,9,158.0,2.0,95,19,7,4,7,5,0,0,-1,6
40,146,71,35,11,162.0,2.0,105,20,9,5,9,6,-2,-1,1,7
41,149,79,40,7,166.0,2.0,95,20,17,10,5,4,12,7,1,8
42,152,73,36,1,170.0,2.0,105,21,11,6,11,7,-3,-2,-1,7
43,155,81,41,9,174.0,1.33,95,21,19,11,7,5,12,7,1,8
44,159,78,39,6,178.0,1.33,105,22,16,9,4,3,2,1,-1,7
45,163,76,38,4,182.0,1.33,95,22,14,8,2,2,-2,-1,-1,6
46,167,74,37,2,186.0,2.0,105,23,12,7,0,1,-2,-1,-1,5
47,169,74,37,2,190.0,2.0,95,23,12,7,0,1,0,0,0,5
48,173,83,42,11,194.0,2.0,105,24,21,12,9,6,2,1,1,6
49,176,78,39,6,198.0,1.33,95,24,16,9,4,3,-1,-1,-1,5
50,180,79,40,7,202.0,2.0,105,25,17,10,5,4,-2,-1,1,6
51,183,73,36,1,206.0,1.33,95,25,11,6,11,7,-1,-1,-1,5
52,187,78,39,6,210.0,1.33,105,26,16,9,4,3,2,1,1,6
53,191,81,41,9,214.0,1.33,95,26,19,11,7,5,5,3,1,7
54,195,73,36,1,218.0,2.0,105,27,11,6,11,7,-1,-1,-1,6
55,197,69,34,9,222.0,2.0,95,27,7,4,7,5,0,0,-1,5
56,200,71,35,11,226.0,2.0,105,28,9,5,9,6,-2,-1,1,6
57,203,79,40,7,230.0,2.0,95,28,17,10,5,4,12,7,1,7
58,206,73,36,1,234.0,2.0,105,29,11,6,11,7,-3,-2,-1,6
59,209,81,41,9,238.0,1.33,95,29,19,11,7,5,12,7,1,7
60,213,78,39,6,242.0,1.33,105,30,16,9,4,3,2,1,-1,6
61,217,76,38,4,246.0,1.33,95,30,14,8,2,2,-2,-1,-1,5
62,221,74,37,2,250.0,2.0,105,31,12,7,0,1,-2,-1,-1,4
63,223,74,37,2,254.0,2.0,95,31,12,7,0,1,0,0,0,4
