,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,67,33,7,0.0,2.0,105,0,7,4,7,5,0,0,0,0
1,3,71,35,11,4.0,1.0,95,0,11,6,11,7,2,1,1,1
2,8,76,38,4,12.0,1.0,95,0,16,9,4,3,2,1,1,2
3,12,67,33,7,16.0,1.0,105,1,7,4,7,5,-4,-2,-1,1
4,18,71,35,11,20.0,1.0,95,1,11,6,11,7,2,1,1,2
5,24,76,38,4,24.0,1.0,105,2,16,9,4,3,2,1,1,3
6,28,69,34,9,28.0,1.0,95,2,9,5,9,6,-2,-1,-1,2
7,34,67,33,7,32.0,2.0,105,3,7,4,7,5,-4,-2,-1,1
8,37,71,35,11,36.0,1.0,95,3,11,6,11,7,2,1,1,2
9,42,76,38,4,44.0,1.0,95,3,16,9,4,3,2,1,1,3
10,46,67,33,7,48.0,1.0,105,4,7,4,7,5,-4,-2,-1,2
11,52,71,35,11,52.0,1.0,95,4,11,6,11,7,2,1,1,3
12,58,76,38,4,56.0,1.0,105,5,16,9,4,3,2,1,1,4
13,62,69,34,9,60.0,1.0,95,5,9,5,9,6,-2,-1,-1,3
14,68,74,37,2,64.0,2.0,105,6,14,8,2,2,3,2,1,4
15,71,67,33,7,68.0,1.0,95,6,7,4,7,5,-7,-4,-1,3
16,77,74,37,2,72.0,2.0,105,7,14,8,2,2,3,2,1,4
17,80,71,35,11,76.0,1.0,95,7,11,6,11,7,-3,-2,-1,3
18,84,74,37,2,80.0,2.0,105,8,14,8,2,2,3,2,1,4
19,87,67,33,7,84.0,1.0,95,8,7,4,7,5,-7,-4,-1,3
20,93,76,38,4,88.0,1.0,105,9,16,9,4,3,2,1,1,4
21,97,69,34,9,92.0,1.0,95,9,9,5,9,6,-2,-1,-1,3
22,103,74,37,2,96.0,2.0,105,10,14,8,2,2,3,2,1,4
23,106,67,33,7,100.0,1.0,95,10,7,4,7,5,-7,-4,-1,3
24,112,74,37,2,104.0,2.0,105,11,14,8,2,2,3,2,1,4
25,115,71,35,11,108.0,1.0,95,11,11,6,11,7,-3,-2,-1,3
26,119,74,37,2,112.0,2.0,105,12,14,8,2,2,3,2,1,4
27,122,67,33,7,116.0,1.0,95,12,7,4,7,5,-7,-4,-1,3
28,128,76,38,4,120.0,1.0,105,13,16,9,4,3,2,1,1,4
29,132,69,34,9,124.0,1.0,95,13,9,5,9,6,-2,-1,-1,3
