,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,2,76,38,4,2.0,0.5,105,0,9,5,9,6,0,0,0,0
1,7,74,37,2,6.0,2.0,95,0,7,4,7,5,3,2,-1,-1
2,10,79,40,7,10.0,2.0,105,1,12,7,0,1,1,1,1,0
3,13,79,40,7,14.0,1.0,95,1,12,7,0,1,1,1,0,0
4,17,83,42,11,18.0,1.0,105,2,16,9,4,3,9,5,1,1
5,21,79,40,7,22.0,1.0,95,2,12,7,0,1,1,1,-1,0
6,25,71,35,11,26.0,1.0,105,3,4,2,4,3,-3,-2,-1,-1
7,29,69,34,9,30.0,2.0,95,3,2,1,2,2,-2,-1,-1,-2
8,32,76,38,4,34.0,0.5,105,4,9,5,9,6,0,0,1,-1
9,37,74,37,2,38.0,2.0,95,4,7,4,7,5,3,2,-1,-2
10,40,79,40,7,42.0,2.0,105,5,12,7,0,1,1,1,1,-1
11,43,79,40,7,46.0,1.0,95,5,12,7,0,1,1,1,0,-1
12,47,83,42,11,50.0,1.0,105,6,16,9,4,3,9,5,1,0
13,51,79,40,7,54.0,1.0,95,6,12,7,0,1,1,1,-1,-1
14,55,76,38,4,58.0,1.0,105,7,9,5,9,6,2,1,-1,-2
15,59,79,40,7,62.0,2.0,95,7,12,7,0,1,-2,-1,1,-1
16,62,71,35,11,66.0,2.0,105,8,4,2,4,3,2,1,-1,-2
17,65,69,34,9,70.0,2.0,95,8,2,1,2,2,-2,-1,-1,-3
18,68,67,33,7,74.0,1.0,105,9,0,0,0,1,-2,-1,-1,-4
19,72,69,34,9,78.0,1.0,95,9,2,1,2,2,2,1,1,-3
20,76,71,35,11,82.0,2.0,105,10,4,2,4,3,9,5,1,-2
21,79,69,34,9,86.0,2.0,95,10,2,1,2,2,-2,-1,-1,-3
22,82,67,33,7,90.0,1.0,105,11,0,0,0,1,-2,-1,-1,-4
23,86,69,34,9,94.0,2.0,95,11,2,1,2,2,2,1,1,-3
24,89,74,37,2,98.0,1.0,105,12,7,4,7,5,-2,-1,1,-2
25,93,74,37,2,102.0,2.0,95,12,7,4,7,5,3,2,0,-2
26,96,79,40,7,106.0,2.0,105,13,12,7,0,1,1,1,1,-1
27,100,79,40,7,110.0,1.0,95,13,12,7,0,1,1,1,0,-1
28,104,83,42,11,114.0,1.0,105,14,16,9,4,3,9,5,1,0
29,108,79,40,7,118.0,1.0,95,14,12,7,0,1,1,1,-1,-1
30,112,76,38,4,122.0,1.0,105,15,9,5,9,6,2,1,-1,-2
31,116,79,40,7,126.0,2.0,95,15,12,7,0,1,-2,-1,1,-1
