,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,69,34,9,0.0,1.0,105,0,2,1,2,2,0,0,0,0
1,3,69,34,9,3.0,2.0,95,0,2,1,2,2,2,1,0,0
2,5,72,36,0,6.0,1.0,105,1,5,3,5,4,1,1,1,1
3,8,64,31,4,9.0,1.0,95,1,-3,-2,9,6,-3,-2,-1,0
4,11,64,31,4,12.0,1.0,105,2,-3,-2,9,6,2,1,0,0
5,14,69,34,9,15.0,1.0,95,2,2,1,2,2,2,1,1,1
6,17,64,31,4,18.0,1.0,105,3,-3,-2,9,6,-3,-2,-1,0
7,20,64,31,4,21.0,2.0,95,3,-3,-2,9,6,-3,-2,0,0
8,22,69,34,9,24.0,1.0,105,4,2,1,2,2,2,1,1,1
9,25,69,34,9,27.0,2.0,95,4,2,1,2,2,2,1,0,1
10,27,72,36,0,30.0,1.0,105,5,5,3,5,4,1,1,1,2
11,30,64,31,4,33.0,2.0,95,5,-3,-2,9,6,-3,-2,-1,1
12,32,72,36,0,36.0,1.0,105,6,5,3,5,4,1,1,1,2
13,35,69,34,9,39.0,1.0,95,6,2,1,2,2,0,0,-1,1
14,38,66,32,6,42.0,1.0,105,7,-1,-1,11,7,-1,-1,-1,0
15,41,62,30,2,45.0,1.0,95,7,-5,-3,7,5,0,0,-1,-1
16,44,69,34,9,48.0,1.0,105,8,2,1,2,2,2,1,1,0
17,47,69,34,9,51.0,2.0,95,8,2,1,2,2,2,1,0,0
18,49,72,36,0,54.0,1.0,105,9,5,3,5,4,1,1,1,1
19,52,64,31,4,57.0,1.0,95,9,-3,-2,9,6,-3,-2,-1,0
20,55,64,31,4,60.0,1.0,105,10,-3,-2,9,6,2,1,0,0
21,58,69,34,9,63.0,1.0,95,10,2,1,2,2,2,1,1,1
22,61,64,31,4,66.0,1.0,105,11,-3,-2,9,6,-3,-2,-1,0
23,64,64,31,4,69.0,2.0,95,11,-3,-2,9,6,-3,-2,0,0
24,66,69,34,9,72.0,1.0,105,12,2,1,2,2,2,1,1,1
25,69,69,34,9,75.0,2.0,95,12,2,1,2,2,2,1,0,1
26,71,72,36,0,78.0,1.0,105,13,5,3,5,4,1,1,1,2
27,74,64,31,4,81.0,2.0,95,13,-3,-2,9,6,-3,-2,-1,1
28,76,72,36,0,84.0,1.0,105,14,5,3,5,4,1,1,1,2
29,79,69,34,9,87.0,1.0,95,14,2,1,2,2,0,0,-1,1
30,82,66,32,6,90.0,1.0,105,15,-1,-1,11,7,-1,-1,-1,0
31,85,62,30,2,93.0,2.0,95,15,-5,-3,7,5,0,0,-1,-1
32,87,78,39,6,96.0,1.0,105,16,11,6,11,7,2,1,1,0
33,90,76,38,4,99.0,1.0,95,16,9,5,9,6,2,1,-1,-1
34,93,78,39,6,102.0,1.0,105,17,11,6,11,7,4,2,1,0
35,96,74,37,2,105.0,2.0,95,17,7,4,7,5,0,0,-1,-1
36,98,78,39,6,108.0,1.0,105,18,11,6,11,7,2,1,1,0
37,101,76,38,4,111.0,1.0,95,18,9,5,9,6,2,1,-1,-1
38,104,72,36,0,114.0,1.0,105,19,5,3,5,4,-2,-1,-1,-2
39,107,69,34,9,117.0,2.0,95,19,2,1,2,2,3,2,-1,-3
40,109,78,39,6,120.0,1.0,105,20,11,6,11,7,2,1,1,-2
41,112,76,38,4,123.0,1.0,95,20,9,5,9,6,2,1,-1,-3
42,115,78,39,6,126.0,1.0,105,21,11,6,11,7,4,2,1,-2
43,118,74,37,2,129.0,2.0,95,21,7,4,7,5,0,0,-1,-3
44,120,71,35,11,132.0,1.0,105,22,4,2,4,3,2,1,-1,-4
45,123,71,35,11,135.0,1.0,95,22,4,2,4,3,0,0,0,-4
46,126,69,34,9,138.0,1.0,105,23,2,1,2,2,-2,-1,-1,-5
47,129,62,30,2,141.0,1.0,95,23,-5,-3,7,5,0,0,-1,-6
