,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,62,30,2,0.0,1.0,105,0,2,1,2,2,0,0,0,0
1,3,67,33,7,3.0,1.0,95,0,7,4,7,5,0,0,1,1
2,6,65,32,5,6.0,1.0,105,1,5,3,5,4,-2,-1,-1,0
3,9,65,32,5,9.0,1.0,95,1,5,3,5,4,1,1,0,0
4,12,62,30,2,12.0,1.0,105,2,2,1,2,2,2,1,-1,-1
5,15,69,34,9,15.0,1.0,95,2,9,5,9,6,2,1,1,0
6,18,74,37,2,18.0,1.0,105,3,14,8,2,2,2,1,1,1
7,21,78,39,6,21.0,1.0,95,3,18,10,6,4,-1,-1,1,2
8,24,71,35,11,24.0,1.0,105,4,11,6,11,7,-1,-1,-1,1
9,27,67,33,7,27.0,1.0,95,4,7,4,7,5,-4,-2,-1,0
10,30,65,32,5,30.0,1.0,105,5,5,3,5,4,-2,-1,-1,-1
11,33,65,32,5,33.0,2.0,95,5,5,3,5,4,1,1,0,-1
12,35,72,36,0,36.0,1.0,105,6,12,7,0,1,-2,-1,1,0
13,38,66,32,6,39.0,1.0,95,6,6,3,6,4,-1,-1,-1,-1
14,41,71,35,11,42.0,1.0,105,7,11,6,11,7,2,1,1,0
15,44,67,33,7,45.0,2.0,95,7,7,4,7,5,0,0,-1,-1
16,46,67,33,7,48.0,1.0,95,7,7,4,7,5,5,3,0,-1
17,49,69,34,9,51.0,1.0,95,7,9,5,9,6,2,1,1,0
18,51,65,32,5,53.0,1.0,105,8,5,3,5,4,-2,-1,-1,-1
19,54,65,32,5,56.0,1.0,95,8,5,3,5,4,1,1,0,-1
20,57,62,30,2,59.0,1.0,105,9,2,1,2,2,2,1,-1,-2
21,60,69,34,9,62.0,1.0,95,9,9,5,9,6,2,1,1,-1
22,63,74,37,2,65.0,1.0,105,10,14,8,2,2,2,1,1,0
23,66,78,39,6,68.0,1.0,95,10,18,10,6,4,-1,-1,1,1
24,69,71,35,11,71.0,1.0,105,11,11,6,11,7,-1,-1,-1,0
25,72,67,33,7,74.0,1.0,95,11,7,4,7,5,-4,-2,-1,-1
26,75,65,32,5,77.0,1.0,105,12,5,3,5,4,-2,-1,-1,-2
27,78,65,32,5,80.0,2.0,95,12,5,3,5,4,1,1,0,-2
28,80,72,36,0,83.0,1.0,105,13,12,7,0,1,-2,-1,1,-1
29,83,66,32,6,86.0,1.0,95,13,6,3,6,4,-1,-1,-1,-2
30,86,71,35,11,89.0,1.0,105,14,11,6,11,7,2,1,1,-1
31,89,67,33,7,92.0,2.0,95,14,7,4,7,5,0,0,-1,-2
32,93,76,38,4,98.0,1.0,95,14,16,9,4,3,2,1,1,-1
33,95,72,36,0,100.0,1.0,105,15,12,7,0,1,-5,-3,-1,-2
34,98,65,32,5,103.0,1.0,95,15,5,3,5,4,0,0,-1,-3
35,101,67,33,7,106.0,2.0,105,16,7,4,7,5,-2,-1,1,-2
36,103,74,37,2,109.0,1.0,95,16,14,8,2,2,-5,-3,1,-1
37,106,77,39,5,112.0,0.5,105,17,17,10,5,4,0,0,1,0
38,110,74,37,2,115.0,1.0,95,17,14,8,2,2,2,1,-1,-1
39,113,79,40,7,118.0,1.0,105,18,19,11,7,5,1,1,1,0
40,116,71,35,11,121.0,1.0,95,18,11,6,11,7,-8,-5,-1,-1
41,119,71,35,11,124.0,0.5,105,19,11,6,11,7,0,0,0,-1
42,122,65,32,5,127.0,1.0,95,19,5,3,5,4,-2,-1,-1,-2
43,125,71,35,11,130.0,1.0,105,20,11,6,11,7,2,1,1,-1
44,128,72,36,0,133.0,1.0,95,20,12,7,0,1,1,1,1,0
45,131,67,33,7,136.0,1.0,105,21,7,4,7,5,1,1,-1,-1
46,134,67,33,7,139.0,2.0,95,21,7,4,7,5,0,0,0,-1
47,138,76,38,4,145.0,1.0,95,21,16,9,4,3,2,1,1,0
48,140,72,36,0,147.0,1.0,105,22,12,7,0,1,-5,-3,-1,-1
49,143,65,32,5,150.0,1.0,95,22,5,3,5,4,0,0,-1,-2
50,146,67,33,7,153.0,2.0,105,23,7,4,7,5,-2,-1,1,-1
51,148,74,37,2,156.0,1.0,95,23,14,8,2,2,-5,-3,1,0
52,151,77,39,5,159.0,0.5,105,24,17,10,5,4,0,0,1,1
53,155,74,37,2,162.0,1.0,95,24,14,8,2,2,2,1,-1,0
54,158,79,40,7,165.0,1.0,105,25,19,11,7,5,1,1,1,1
55,161,71,35,11,168.0,1.0,95,25,11,6,11,7,-8,-5,-1,0
56,164,71,35,11,171.0,0.5,105,26,11,6,11,7,0,0,0,0
57,167,65,32,5,174.0,1.0,95,26,5,3,5,4,-2,-1,-1,-1
58,170,71,35,11,177.0,1.0,105,27,11,6,11,7,2,1,1,0
59,173,72,36,0,180.0,1.0,95,27,12,7,0,1,1,1,1,1
60,176,67,33,7,183.0,1.0,105,28,7,4,7,5,1,1,-1,0
61,179,67,33,7,186.0,2.0,95,28,7,4,7,5,0,0,0,0
