,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,79,40,7,0.0,2.0,105,0,12,7,0,1,0,0,0,0
1,3,79,40,7,4.0,2.0,95,0,12,7,0,1,0,0,0,0
2,6,79,40,7,8.0,1.0,105,1,12,7,0,1,3,2,0,0
3,10,69,34,9,12.0,1.0,95,1,2,1,2,2,-2,-1,-1,-1
4,14,79,40,7,16.0,2.0,105,2,12,7,0,1,5,3,1,0
5,16,79,40,7,20.0,2.0,95,2,12,7,0,1,-4,-2,0,0
6,19,71,35,11,24.0,1.0,105,3,4,2,4,3,-1,-1,-1,-1
7,23,71,35,11,28.0,1.0,95,3,4,2,4,3,-1,-1,0,-1
8,26,79,40,7,32.0,2.0,105,4,12,7,0,1,12,7,1,0
9,29,79,40,7,36.0,2.0,95,4,12,7,0,1,0,0,0,0
10,32,79,40,7,40.0,1.0,105,5,12,7,0,1,3,2,0,0
11,36,69,34,9,44.0,1.0,95,5,2,1,2,2,-2,-1,-1,-1
12,40,79,40,7,48.0,2.0,105,6,12,7,0,1,5,3,1,0
13,42,79,40,7,52.0,2.0,95,6,12,7,0,1,-4,-2,0,0
14,45,71,35,11,56.0,1.0,105,7,4,2,4,3,-1,-1,-1,-1
15,49,71,35,11,60.0,1.0,95,7,4,2,4,3,-1,-1,0,-1
16,52,71,35,11,64.0,1.0,105,8,4,2,4,3,4,2,0,-1
17,56,74,37,2,68.0,1.0,95,8,7,4,7,5,7,4,1,0
18,60,69,34,9,72.0,1.0,105,9,2,1,2,2,0,0,-1,-1
19,64,72,36,0,76.0,1.0,95,9,5,3,5,4,1,1,1,0
20,68,71,35,11,80.0,1.0,105,10,4,2,4,3,4,2,-1,-1
21,72,74,37,2,84.0,1.0,95,10,7,4,7,5,7,4,1,0
22,76,69,34,9,88.0,1.0,105,11,2,1,2,2,0,0,-1,-1
23,80,71,35,11,92.0,1.0,95,11,4,2,4,3,-1,-1,1,0
