,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,64,31,4,0.0,1.0,105,0,-3,-2,9,6,0,0,0,0
1,4,69,34,9,4.0,1.0,95,0,2,1,2,2,2,1,1,1
2,8,76,38,4,8.0,2.0,105,1,9,5,9,6,2,1,1,2
3,11,72,36,0,12.0,1.0,95,1,5,3,5,4,1,1,-1,1
4,15,64,31,4,16.0,1.0,105,2,-3,-2,9,6,-3,-2,-1,0
5,19,67,33,7,20.0,2.0,95,2,0,0,0,1,1,1,1,1
6,22,72,36,0,24.0,1.0,105,3,5,3,5,4,1,1,1,2
7,26,69,34,9,28.0,1.0,95,3,2,1,2,2,2,1,-1,1
8,30,64,31,4,32.0,1.0,105,4,-3,-2,9,6,2,1,-1,0
9,34,69,34,9,36.0,1.0,95,4,2,1,2,2,2,1,1,1
10,38,76,38,4,40.0,1.0,105,5,9,5,9,6,2,1,1,2
11,42,76,38,4,44.0,1.0,95,5,9,5,9,6,-3,-2,0,2
12,46,74,37,2,48.0,2.0,105,6,7,4,7,5,-2,-1,-1,1
13,50,76,38,4,52.0,1.0,95,6,9,5,9,6,2,1,1,2
14,54,74,37,2,56.0,1.0,105,7,7,4,7,5,-2,-1,-1,1
15,58,69,34,9,60.0,2.0,95,7,2,1,2,2,-2,-1,-1,0
16,61,64,31,4,64.0,1.0,105,8,-3,-2,9,6,-3,-2,-1,-1
17,65,69,34,9,68.0,1.0,95,8,2,1,2,2,2,1,1,0
18,69,76,38,4,72.0,2.0,105,9,9,5,9,6,2,1,1,1
19,72,72,36,0,76.0,1.0,95,9,5,3,5,4,1,1,-1,0
20,76,64,31,4,80.0,1.0,105,10,-3,-2,9,6,-3,-2,-1,-1
21,80,67,33,7,84.0,2.0,95,10,0,0,0,1,1,1,1,0
22,83,72,36,0,88.0,1.0,105,11,5,3,5,4,1,1,1,1
23,87,69,34,9,92.0,1.0,95,11,2,1,2,2,2,1,-1,0
24,91,64,31,4,96.0,1.0,105,12,-3,-2,9,6,2,1,-1,-1
25,95,69,34,9,100.0,1.0,95,12,2,1,2,2,2,1,1,0
26,99,76,38,4,104.0,1.0,105,13,9,5,9,6,2,1,1,1
27,103,76,38,4,108.0,1.0,95,13,9,5,9,6,-3,-2,0,1
28,107,74,37,2,112.0,2.0,105,14,7,4,7,5,-2,-1,-1,0
29,111,76,38,4,116.0,1.0,95,14,9,5,9,6,2,1,1,1
30,115,74,37,2,120.0,1.0,105,15,7,4,7,5,-2,-1,-1,0
31,119,69,34,9,124.0,2.0,95,15,2,1,2,2,-2,-1,-1,-1
32,123,76,38,4,128.0,1.0,105,16,9,5,9,6,2,1,1,0
33,127,81,41,9,132.0,2.0,95,16,14,8,2,2,2,1,1,1
34,130,83,42,11,136.0,1.0,105,17,16,9,4,3,2,1,1,2
35,134,79,40,7,140.0,1.0,95,17,12,7,0,1,-4,-2,-1,1
36,138,74,37,2,144.0,2.0,105,18,7,4,7,5,3,2,-1,0
37,142,76,38,4,148.0,1.0,95,18,9,5,9,6,2,1,1,1
38,147,76,38,4,152.0,1.0,105,19,9,5,9,6,2,1,0,1
39,151,79,40,7,156.0,1.0,95,19,12,7,0,1,-2,-1,1,2
40,155,76,38,4,160.0,1.0,105,20,9,5,9,6,5,3,-1,1
41,159,81,41,9,164.0,2.0,95,20,14,8,2,2,2,1,1,2
42,162,83,42,11,168.0,1.0,105,21,16,9,4,3,2,1,1,3
43,166,79,40,7,172.0,1.0,95,21,12,7,0,1,-4,-2,-1,2
44,170,74,37,2,176.0,2.0,105,22,7,4,7,5,3,2,-1,1
45,174,76,38,4,180.0,1.0,95,22,9,5,9,6,2,1,1,2
46,178,74,37,2,184.0,1.0,105,23,7,4,7,5,-2,-1,-1,1
47,182,69,34,9,188.0,2.0,95,23,2,1,2,2,-2,-1,-1,0
48,186,76,38,4,192.0,1.0,105,24,9,5,9,6,2,1,1,1
49,190,81,41,9,196.0,2.0,95,24,14,8,2,2,2,1,1,2
50,193,83,42,11,200.0,1.0,105,25,16,9,4,3,2,1,1,3
51,197,79,40,7,204.0,1.0,95,25,12,7,0,1,-4,-2,-1,2
52,201,74,37,2,208.0,2.0,105,26,7,4,7,5,3,2,-1,1
53,205,76,38,4,212.0,1.0,95,26,9,5,9,6,2,1,1,2
54,210,76,38,4,216.0,1.0,105,27,9,5,9,6,2,1,0,2
55,214,79,40,7,220.0,1.0,95,27,12,7,0,1,-2,-1,1,3
56,218,76,38,4,224.0,1.0,105,28,9,5,9,6,5,3,-1,2
57,222,81,41,9,228.0,2.0,95,28,14,8,2,2,2,1,1,3
58,225,83,42,11,232.0,1.0,105,29,16,9,4,3,2,1,1,4
59,229,79,40,7,236.0,1.0,95,29,12,7,0,1,-4,-2,-1,3
60,233,74,37,2,240.0,2.0,105,30,7,4,7,5,3,2,-1,2
61,237,76,38,4,244.0,1.0,95,30,9,5,9,6,2,1,1,3
62,241,74,37,2,248.0,1.0,105,31,7,4,7,5,-2,-1,-1,2
63,245,69,34,9,252.0,3.0,95,31,2,1,2,2,-2,-1,-1,1
