,index,midi_note_num,diatonic_note_num,chromatic_pitch_class,onset,duration,velocity,bar_count,relative_chromatic_pitch,relative_diatonic_pitch,chromatic_scale_degree,diatonic_scale_degree,chromatic_interval,diatonic_interval,parsons_code,parsons_cumsum
0,0,62,30,2,0.0,2.0,105,0,0,0,0,1,0,0,0,0
1,3,72,36,0,4.0,1.0,95,0,10,6,10,7,10,6,1,1
2,10,67,33,7,12.0,1.0,95,0,5,3,5,4,-2,-1,-1,0
3,14,62,30,2,16.0,2.0,105,1,0,0,0,1,-3,-2,-1,-1
4,17,72,36,0,20.0,1.0,95,1,10,6,10,7,10,6,1,0
5,21,67,33,7,24.0,3.0,105,2,5,3,5,4,5,3,-1,-1
6,23,69,34,9,28.0,1.0,95,2,7,4,7,5,-1,-1,1,0
7,27,62,30,2,32.0,2.0,105,3,0,0,0,1,-3,-2,-1,-1
8,30,72,36,0,36.0,1.0,95,3,10,6,10,7,10,6,1,0
9,37,67,33,7,44.0,1.0,95,3,5,3,5,4,-2,-1,-1,-1
10,41,58,28,10,48.0,1.0,105,4,-4,-2,8,6,-2,-1,-1,-2
11,45,69,34,9,52.0,2.0,95,4,7,4,7,5,2,1,1,-1
12,48,64,31,4,56.0,1.0,105,5,2,1,2,2,2,1,-1,-2
13,52,69,34,9,60.0,1.0,95,5,7,4,7,5,-1,-1,1,-1
14,56,62,30,2,64.0,2.0,105,6,0,0,0,1,-3,-2,-1,-2
15,59,72,36,0,68.0,1.0,95,6,10,6,10,7,10,6,1,-1
16,66,67,33,7,76.0,1.0,95,6,5,3,5,4,-2,-1,-1,-2
17,70,62,30,2,80.0,2.0,105,7,0,0,0,1,-3,-2,-1,-3
18,73,72,36,0,84.0,1.0,95,7,10,6,10,7,10,6,1,-2
19,77,67,33,7,88.0,3.0,105,8,5,3,5,4,5,3,-1,-3
20,79,69,34,9,92.0,1.0,95,8,7,4,7,5,-1,-1,1,-2
21,83,62,30,2,96.0,2.0,105,9,0,0,0,1,-3,-2,-1,-3
22,86,72,36,0,100.0,1.0,95,9,10,6,10,7,10,6,1,-2
23,93,67,33,7,108.0,1.0,95,9,5,3,5,4,-2,-1,-1,-3
24,97,58,28,10,112.0,1.0,105,10,-4,-2,8,6,-2,-1,-1,-4
25,101,69,34,9,116.0,2.0,95,10,7,4,7,5,2,1,1,-3
26,104,64,31,4,120.0,1.0,105,11,2,1,2,2,2,1,-1,-4
27,108,69,34,9,124.0,1.0,95,11,7,4,7,5,-1,-1,1,-3
28,112,62,30,2,128.0,1.0,105,12,0,0,0,1,-3,-2,-1,-4
29,116,69,34,9,132.0,1.0,95,12,7,4,7,5,-1,-1,1,-3
30,120,69,34,9,136.0,1.0,105,13,7,4,7,5,4,2,0,-3
31,124,62,30,2,140.0,2.0,95,13,0,0,0,1,-3,-2,-1,-4
32,127,64,31,4,144.0,2.0,105,14,2,1,2,2,-1,-1,1,-3
33,130,64,31,4,148.0,1.0,95,14,2,1,2,2,2,1,0,-3
34,135,72,36,0,152.0,1.0,105,15,10,6,10,7,5,3,1,-2
35,139,72,36,0,156.0,1.0,95,15,10,6,10,7,-2,-1,0,-2
36,143,62,30,2,160.0,1.0,105,16,0,0,0,1,-2,-1,-1,-3
37,147,69,34,9,164.0,1.0,95,16,7,4,7,5,-1,-1,1,-2
38,151,69,34,9,168.0,1.0,105,17,7,4,7,5,4,2,0,-2
39,155,62,30,2,172.0,2.0,95,17,0,0,0,1,-3,-2,-1,-3
40,158,64,31,4,176.0,1.0,105,18,2,1,2,2,-1,-1,1,-2
41,162,64,31,4,180.0,1.0,95,18,2,1,2,2,-1,-1,0,-2
42,166,64,31,4,184.0,1.0,105,19,2,1,2,2,-1,-1,0,-2
43,170,64,31,4,188.0,1.0,95,19,2,1,2,2,-1,-1,0,-2
44,174,62,30,2,192.0,1.0,105,20,0,0,0,1,-3,-2,-1,-3
45,178,69,34,9,196.0,1.0,95,20,7,4,7,5,-1,-1,1,-2
46,182,69,34,9,200.0,1.0,105,21,7,4,7,5,4,2,0,-2
47,186,62,30,2,204.0,2.0,95,21,0,0,0,1,-3,-2,-1,-3
48,189,64,31,4,208.0,2.0,105,22,2,1,2,2,-1,-1,1,-2
49,192,64,31,4,212.0,1.0,95,22,2,1,2,2,2,1,0,-2
50,197,72,36,0,216.0,1.0,105,23,10,6,10,7,5,3,1,-1
51,201,72,36,0,220.0,1.0,95,23,10,6,10,7,-2,-1,0,-1
52,205,69,34,9,224.0,1.0,105,24,7,4,7,5,-1,-1,-1,-2
53,210,67,33,7,228.0,1.0,95,24,5,3,5,4,2,1,-1,-3
54,214,65,32,5,232.0,1.0,105,25,3,2,3,3,-2,-1,-1,-4
55,219,64,31,4,236.0,1.0,95,25,2,1,2,2,2,1,-1,-5
56,223,58,28,10,240.0,1.0,105,26,-4,-2,8,6,1,1,-1,-6
57,227,69,34,9,244.0,2.0,95,26,7,4,7,5,2,1,1,-5
58,230,64,31,4,248.0,1.0,105,27,2,1,2,2,2,1,-1,-6
59,234,69,34,9,252.0,1.0,95,27,7,4,7,5,-1,-1,1,-5
